x,radial_tension,radial_compression,ring_tension,ring_compression,skin
-2.1,0.0,476.95266763227676,0.0,0.0,0.0
-2.0500000000000003,0.0,468.4857041470182,0.0,0.0,0.0
-2.0,3.380270735026171,482.93577806603,0.0,0.0,0.0
-1.9500000000000002,5.872810909416353,489.4671776490881,0.0,0.0,0.0
-1.9000000000000001,7.587199861342454,487.67967022089226,0.0,0.0,0.0
-1.85,8.700650867764676,478.63557373518034,0.0,0.0,0.0
-1.8,9.384493434601161,464.3560036588843,0.0,0.0,0.0
-1.75,9.786472604905393,447.32928682903315,0.0,0.0,0.0
-1.7000000000000002,10.015026880455803,429.62676669996347,0.0,0.0,0.0
-1.6500000000000001,10.141440899629252,412.8708153404147,0.0,0.0,0.0
-1.6,10.210813233378367,398.05618286898635,0.0,0.0,0.0
-1.55,10.248885732670475,385.1539674404829,0.0,0.0,0.0
-1.5,10.27006429306845,373.20864266439366,0.0,0.0,0.0
-1.4500000000000002,10.282529521945216,360.95124537161723,0.0,0.0,0.0
-1.4,10.292033757970747,348.36577939553365,0.0,0.0,0.0
-1.35,10.299809601991203,335.61843708938966,0.0,0.0,0.0
-1.3,10.309670478496257,293.1585899477311,0.0,0.0,0.0
-1.25,10.323531566529452,239.2871083909188,0.0,0.0,0.0
-1.2000000000000002,10.340674575601112,169.5071970158093,0.0,0.0,0.0
-1.15,10.364560740968082,106.81861406711506,0.0,0.0,0.0
-1.1,10.425663974395219,125.28200032702216,0.0,0.0,0.0
-1.05,10.657541503858496,146.90788683518272,0.0,0.0,0.0
-1.0,11.387849334538561,177.7324320458503,0.0,0.0,343.95506812990965
-0.95,12.172673432261114,212.99436990024776,0.0,0.0,184.12448076737212
-0.8999999999999999,12.615824356584453,245.45473743729485,0.0,0.0,79.51983691000432
-0.8500000000000001,12.743159606929327,269.3218200182326,0.0,0.0,42.15746008774022
-0.8,12.449420658875704,269.55401230679746,0.0,0.0,120.00993304903207
-0.75,11.702285740185793,249.3191499572431,0.0,0.0,334.6418504733035
-0.7,11.092186445943257,227.75370133446904,0.0,0.0,475.9561714622298
-0.6499999999999999,10.868976342023476,210.76759355672638,0.0,0.0,475.24440794778474
-0.6000000000000001,10.810104537589076,194.10974255073214,0.0,0.0,0.0
-0.55,10.791905506178411,176.03166022804348,0.0,125.33949726383042,0.0
-0.5,10.734571853409909,156.12445753298599,0.0,0.0,0.0
