s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.0,-0.20214036673420838,1.0,-0.5,0.0,0.0,7.107627469157379,7.098091186478014,0.20214036673420838,639.9997297183107,1603.1539408829524
0.005,-0.19657604239257814,1.0,-0.5,0.0,0.0,7.122446849516778,7.11290065704374,0.19657604239257814,640.4230704156247,1605.1797958416716
0.01,-0.19125189474758336,1.0,-0.5,0.0,0.0,7.137609395186704,7.128053074155884,0.19125189474758336,640.1070129579405,1607.743510217901
0.015,-0.18614521843470647,1.0,-0.5,0.0,0.0,7.153116163002887,7.14354949463619,0.18614521843470647,639.0468757418822,1610.575160626062
0.02,-0.18240980155543465,0.9921875,-0.5125734449331633,0.0,0.0,7.168968428946406,7.159391194320889,0.1812353449910627,637.2376471891846,1613.5788533130562
0.025,-0.18083597672867446,0.9921875,-0.5126308362409853,0.0,0.0,7.185167800342993,7.175579780186205,0.17650372323014477,634.674032312918,1616.7184943523635
0.03,-0.1788736162822786,0.9921875,-0.5127032052777881,0.0,0.0,7.201716320459646,7.192117294876785,0.17193197316561284,631.3505125026217,1619.9787262946975
0.035,-0.17630254356046304,0.9921875,-0.5127865424983714,0.0,0.0,7.218616453461316,7.209006201673949,0.16750125426353074,627.2614143293467,1623.3519911533235
0.04,-0.17309513921293385,0.984375,-0.5254081282371087,0.0,0.0,7.235871119885464,7.226249419948548,0.16319300140300724,622.4009991477653,1626.8349297247119
0.045,-0.17157787434935245,0.984375,-0.5255359023383583,0.0,0.0,7.253483618249728,7.243850246822321,0.15898965673757234,616.7635686459032,1630.426679232533
0.05,-0.16938023251862366,0.984375,-0.525673409011278,0.0,0.0,7.271457545524956,7.261812277695144,0.1622241665661431,610.3435973515102,1634.1273752203015
0.055,-0.1665389528957123,0.984375,-0.5258164921335521,0.0,0.0,7.289796730124787,7.280139339280285,0.17815163148089544,603.1358988621853,1637.9370408049224
0.06,-0.1631849928102492,0.984375,-0.5259616427753324,0.0,0.0,7.30850508725931,7.298835345054456,0.19396746037631202,595.1358288626623,1641.855406108089
0.065,-0.16158824050628784,0.9765625,-0.5385295374394488,0.0,0.0,7.3275865769061905,7.3179042532572876,0.2096585350125136,586.3395428547253,1645.8807814068443
0.07,-0.15984022399525896,0.9765625,-0.5387106666535892,0.0,0.0,7.347045108264336,7.33734997140817,0.22521231804363254,576.7443114465851,1650.0116017788519
0.075,-0.15744578971266032,0.9765625,-0.5388971260887658,0.0,0.0,7.366884497994327,7.357176314574081,0.24061689406449352,566.3489112131278,1654.2461233333713
0.08,-0.15444156574141432,0.9765625,-0.5390856217007919,0.0,0.0,7.387108484891822,7.377387020033265,0.25586100615618734,555.1541061394671,1658.5820642055976
0.085,-0.15091447294883514,0.9765625,-0.5392733404207767,0.0,0.0,7.407720696263499,7.397985713672912,0.27093490927847824,543.1632332346625,1663.0175738787711
0.09,-0.14796953132974255,0.96875,-0.5517687292092022,0.0,0.0,7.428724724217718,7.418975986229732,0.2858326603150379,530.3829212825976,1667.5514557680297
0.095,-0.14479622351741192,0.96875,-0.5519756915265952,0.0,0.0,7.450124140226889,7.440361407842775,0.30055012747237814,516.8239620048763,1672.1831261944212
0.1,-0.1408647758022599,0.96875,-0.5521803860376552,0.0,0.0,7.471922538243497,7.462145571141377,0.315084323160609,502.5023705400923,1676.9125076038017
0.105,-0.13623452937252475,0.96875,-0.5523798055130953,0.0,0.0,7.494123599323635,7.484332155827001,0.3294333302127811,487.4406734804968,1681.739819830829
0.11,-0.1309911694889124,0.96875,-0.5525713645286477,0.0,0.0,7.516731071527101,7.506924908586799,0.3435962208094632,471.66946631488025,1686.66518937518
0.115,-0.12523292989688198,0.96875,-0.5527529415012001,0.0,0.0,7.5397488237654935,7.529927696907383,0.35757297659254367,455.22929900865455,1691.688697232915
0.12,-0.11905716412559937,0.96875,-0.5529228646803673,0.0,0.0,7.563180813323276,7.553344476617558,0.37136440387722025,438.1729418010896,1696.8101600228651
0.125,-0.11350555781603973,0.9765625,-0.5405809248771289,0.0,0.0,7.587031067662516,7.577179273705461,0.38497204958606007,420.56809490156377,1702.029257689184
0.13,-0.10801647855598939,0.984375,-0.527780248413955,0.0,0.0,7.6113036865267905,7.601436186421645,0.39839811903370786,402.50059526437605,1707.3457286040948
0.135,-0.10257654447156715,0.984375,-0.5278778103195713,0.0,0.0,7.636002771477302,7.626119314861024,0.4116453912987041,384.0781491673418,1712.75930904158
0.14,-0.09675053772958415,0.984375,-0.5279654494379005,0.0,0.0,7.661132447419953,7.6512327824763595,0.4247171412513001,365.4345775509695,1718.2699865113616
0.145,-0.09053947899590428,0.984375,-0.5280417703467506,0.0,0.0,7.686696822405048,7.676780695903977,0.43761706037518333,346.73445565538674,1723.877907965762
