s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_sound2,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.0,0,0.24999999999999967,-2.1,0.20214036673420838,0.9993385140716606,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,25793.672771511076,991.0745200737522,0.0,26.30271505087351,0.0,0.0,0.0,60.86654819068326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6809229994191197e-05,2.9144760200130957,-1.3,0.00418178040893795,1.0210785740059045,0.25,0.00809974303359699,7.178036414026874,7.168500131347508,956.6859907043711,556.7638137101845,2.3895926197923147
0.005,10,0.24999999999999967,-2.1,0.19657604239257814,0.999339201578857,0.0021483306948778124,0.1643205522309856,0.9999779337170924,0.15500000000000003,25765.869646161267,992.5066231579736,0.0,26.293324994179645,-3.537570624105255e-11,-2.2082335959794364e-13,-3.306662829948027e-15,60.99289844133203,-2.105425168413743,-0.10707724799635929,-0.0007472369693705827,0.0,-4.255224890751397,6.724518444194305,-0.9462041737157184,-9.033126423046658e-06,2.911032564404611,-1.299999992168882,0.0041946552009556595,1.0198996890868837,0.25052487440455756,0.007946030591190322,7.193002929601059,7.183456736973168,958.1305074207245,557.3434647610678,2.3963031975981335
0.01,20,0.24999999999999967,-2.1,0.19125189474758336,0.9993399028580021,0.002148502990277885,0.1644952398128748,0.999826061139121,0.16000000000000003,25736.940172403694,993.9779322580508,0.0,26.285783728253836,-4.608729918528686e-11,-2.107203300738547e-13,-6.444382029523761e-15,61.122186385679804,-4.322005331493892,-0.19263145969768458,-0.0013473518440018518,0.0,-8.531096936689847,13.450034459105355,-1.8760497553562263,1.1141823656440983e-05,2.9082808539205915,-1.2999999366069086,0.004207838478397477,1.0188061541789721,0.25110913782939254,0.007796758969719992,7.208317404696448,7.198761082437141,959.6121360496742,557.9359711811048,2.403779161629813
0.015,30,0.24999999999999967,-2.1,0.18614521843470647,0.9993406178760013,0.0021495500785379046,0.16467373228778506,0.9994328569810431,0.16500000000000004,25706.930832409114,995.4883975016511,0.0,26.280077037014415,-6.738910725002477e-11,-8.038014698286133e-14,2.12541986597401e-15,61.254431718111185,-6.645705608202209,-0.25699858251923685,-0.00180147590372898,0.0,-12.824024692463578,20.176567878115055,-2.787816037106827,4.431884801243516e-05,2.906222313103985,-1.2999997835549086,0.004221333528634339,1.0177886631050606,0.2517509483598462,0.007651188888776966,7.2239822030432626,7.21441553060382,961.1308714261627,558.5413830608094,2.4120005388210766
0.02,40,0.24999999999999967,-2.1,0.1812353449910627,0.9993413465968048,0.002151430388960486,0.16485604418773367,0.9987257276046115,0.17000000000000004,25675.88359977269,997.038026920427,0.0,26.27618993399989,-7.11574003752733e-11,2.930988785010413e-14,2.997386990476168e-16,61.38965419920258,-9.07283930848949,-0.30052515393701157,-0.002110801733263414,0.0,-17.13053423296211,26.904137120962694,-3.6797432255591405,9.109339509671071e-05,2.904857993357707,-1.2999994810742166,0.004235143439012116,1.0168391057447246,0.252448462270482,0.007509128663836988,7.239999696633117,7.23042245261237,962.6867629411237,559.1597496899677,2.4209475372763682
0.025,50,0.24999999999999967,-2.1,0.17650372323014477,0.999342088982263,0.002153409917034669,0.16504219001923146,0.9976840950009072,0.17500000000000004,25643.83558163357,998.626878499711,0.0,26.274106662108657,-7.131435445768369e-11,8.171241461241152e-14,-5.068308911168793e-16,61.5278738156203,-11.60009660887389,-0.32356810512235024,-0.002276583242910539,0.0,-21.4473011703122,33.632759203878614,-4.550178605395065,0.0001520538186318548,2.9041885674978887,-1.2999989750763796,0.00424927109657848,1.015950450096815,0.2531997900388037,0.0073709293763624655,7.256372284411615,7.246784246557125,964.2799069945582,559.7911202718533,2.428844871805617
0.03,60,0.24999999999999967,-2.1,0.17396064900610025,0.9993428449942741,0.002153009584318378,0.16523218480141338,0.996342805922187,0.18000000000000005,25610.824298842857,1000.255042791372,0.0,26.27381069752718,-7.933854472420235e-11,4.707345624410664e-14,-1.5150428788224994e-15,61.669111183508484,-14.224124654617004,-0.3264944763517473,-0.0023001353559716125,0.0,-25.771179022253214,40.362449767206556,-5.397699271035262,0.00022778201749484912,2.9042143295713556,-1.2999982093549678,0.004263719227277583,1.0154834779397046,0.25400306668745676,0.007236916002475878,7.2731024398347826,7.263503385013005,965.9104300218531,560.4355457484604,2.4366205454478695
0.035,70,0.24999999999999967,-2.1,0.17314420939144198,0.9993436145933456,0.002153386896326732,0.16542604370679667,0.9947875413736709,0.18500000000000005,25576.884776760984,1001.9226391371783,0.0,26.275284745266955,-5.977927576106955e-11,-2.5757174171303632e-14,-6.0274727481211664e-15,61.81338728931054,-16.941759193516383,-0.30968129020748947,-0.00218283436390184,0.0,-30.099248005767713,47.09322311839593,-6.221208949355623,0.0003188540175350827,2.904935183296087,-1.2999971256134453,0.004278490345329219,1.0153351311415055,0.2548563473464089,0.007107485633461011,7.290192679927912,7.280582384114969,967.578484820921,561.0930775820269,2.445212821709345
0.04,80,0.24999999999999967,-2.1,0.17203830150228472,0.9993443977413848,0.0021545026270266983,0.16562378276684944,0.9931428854872939,0.19000000000000006,25542.05204274197,1003.6298133197049,0.0,26.27851074614047,-4.563387628054573e-11,-1.1901590823981678e-13,-4.408883773264036e-15,61.96072401871759,-19.749826195399827,-0.2735151885907351,-0.0019261173711827384,0.0,-34.42886591998772,53.825092288999905,-7.019987042586623,0.00042584049597001314,2.9063506453195664,-1.2999956634909593,0.004293586816229433,1.0151354036610534,0.2557154100735049,0.006982547020400111,7.307645627769775,7.298023866001594,969.2842481985213,561.7637701481856,2.4546002603905515
0.045,90,0.24999999999999967,-2.1,0.170520862557733,0.9993451944009354,0.0021563179434066384,0.16582541868629508,0.9915558681343475,0.19500000000000006,25506.354983507128,1005.3767448291846,0.0,26.28346987587033,-4.799551204054738e-11,-2.1049828546892968e-13,3.122732264623353e-15,62.11114402708932,-22.645630881043537,-0.2183922184814653,-0.0015314823662125041,0.0,-38.757687109013965,60.558069104050496,-7.793696435175039,0.0005493070453553612,2.9084598377185555,-1.299993760589357,0.004309010834925452,1.0148636256546757,0.25650272841681665,0.006823512138392784,7.3254639969645545,7.315830543297622,971.027928296583,562.4476801061204,2.46476149071204
