id,layout,module,compartment_count,compartment,domain,boundary,angular_index,geometry_stride,nodes,control,lowest_squared_frequency
42,broad,0,32,1,"[np.float64(-2.732270692433058), np.float64(-2.5249986981858816)]",dirichlet,0,1,257,mesh,197.51110676774962
43,broad,0,32,1,"[np.float64(-2.732270692433058), np.float64(-2.5249986981858816)]",dirichlet,0,1,513,mesh,197.50923277910738
44,broad,0,32,1,"[np.float64(-2.732270692433058), np.float64(-2.5249986981858816)]",dirichlet,0,1,1025,mesh,197.50876428421833
45,broad,0,32,2,"[np.float64(-2.5249986981858816), np.float64(-2.337278589944766)]",dirichlet,0,1,257,mesh,197.2632853407055
46,broad,0,32,2,"[np.float64(-2.5249986981858816), np.float64(-2.337278589944766)]",dirichlet,0,1,513,mesh,197.261404007091
47,broad,0,32,2,"[np.float64(-2.5249986981858816), np.float64(-2.337278589944766)]",dirichlet,0,1,1025,mesh,197.2609336759534
48,broad,0,32,3,"[np.float64(-2.337278589944766), np.float64(-2.1735135121382765)]",dirichlet,0,1,257,mesh,197.37780960443135
49,broad,0,32,3,"[np.float64(-2.337278589944766), np.float64(-2.1735135121382765)]",dirichlet,0,1,513,mesh,197.37592928555407
50,broad,0,32,3,"[np.float64(-2.337278589944766), np.float64(-2.1735135121382765)]",dirichlet,0,1,1025,mesh,197.37545920811937
51,broad,0,32,4,"[np.float64(-2.1735135121382765), np.float64(-2.0299572371258274)]",dirichlet,0,1,257,mesh,197.8182004364634
52,broad,0,32,4,"[np.float64(-2.1735135121382765), np.float64(-2.0299572371258274)]",dirichlet,0,1,513,mesh,197.81632868043332
53,broad,0,32,4,"[np.float64(-2.1735135121382765), np.float64(-2.0299572371258274)]",dirichlet,0,1,1025,mesh,197.81586074354203
54,broad,0,32,5,"[np.float64(-2.0299572371258274), np.float64(-1.8995328009041108)]",dirichlet,0,1,257,mesh,198.58931905256637
55,broad,0,32,5,"[np.float64(-2.0299572371258274), np.float64(-1.8995328009041108)]",dirichlet,0,1,513,mesh,198.58745446604144
56,broad,0,32,5,"[np.float64(-2.0299572371258274), np.float64(-1.8995328009041108)]",dirichlet,0,1,1025,mesh,198.58698832165692
57,broad,0,32,6,"[np.float64(-1.8995328009041108), np.float64(-1.7759436731435398)]",dirichlet,0,1,257,mesh,200.21098569208092
58,broad,0,32,6,"[np.float64(-1.8995328009041108), np.float64(-1.7759436731435398)]",dirichlet,0,1,513,mesh,200.20912414381291
59,broad,0,32,6,"[np.float64(-1.8995328009041108), np.float64(-1.7759436731435398)]",dirichlet,0,1,1025,mesh,200.2086587593626
60,broad,0,32,7,"[np.float64(-1.7759436731435398), np.float64(-1.6544248432915611)]",dirichlet,0,1,257,mesh,204.20814305163947
61,broad,0,32,7,"[np.float64(-1.7759436731435398), np.float64(-1.6544248432915611)]",dirichlet,0,1,513,mesh,204.20628173721082
62,broad,0,32,7,"[np.float64(-1.7759436731435398), np.float64(-1.6544248432915611)]",dirichlet,0,1,1025,mesh,204.20581641054653
