s,l,required_negative_null,worst_null_direction_cosine,required_negative_radial_plus,required_negative_radial_minus,velocity,heat,electric_density,geometry_rho,geometry_p_r,geometry_j,geometry_p_t,endpoint_rho,endpoint_p_r,endpoint_j,endpoint_p_t,reservoir_rho,reservoir_p_r,reservoir_j,reservoir_p_t
0.0,-2.1,0.04768843162882288,-0.004270414123128683,0.013282145837930184,0.013864874579997482,4.062611865024905e-12,0.25,0.024594736028104795,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,0.03408476807327601,-0.024594736028104795,3.855431678617914e-14,0.024594736028104795
0.0,-2.0875,0.04944072402034574,-0.0036308114386047223,0.012346296062882256,0.012881136694568729,5.498436997148725e-12,0.2500013300521968,0.025348878743628515,0.0025980748332075005,-0.006265975606407043,-0.00013378793518045853,0.007611124201722828,-1.173860135462144e-06,-1.0098856985411383e-06,-7.777730804066477e-08,4.854600423707438e-06,0.03429687809498847,-0.025348878743628515,4.920001068398037e-14,0.025348878743628515
0.0,-2.075,0.05112058424379331,-0.003093797549722284,0.011455121784603723,0.011942966173867592,7.19054886885851e-12,0.25006941528712057,0.026088057843625497,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,0.034517561043361455,-0.026088057843625497,6.061275469790058e-14,0.026088057843625497
0.0,-2.0625,0.052739565107794276,-0.0026286939159812237,0.010603413819375457,0.01104414585281231,9.099786902919063e-12,0.2506337057868362,0.02680779740709278,0.0030659503660693636,-0.006000792877586352,-0.00011192378195276084,0.005827792364113965,-2.5976073671665695e-05,-2.2284932536154e-05,-1.74077366577442e-06,0.00010620112927527803,0.03474499573787749,-0.02680779740709278,7.222681341634573e-14,0.02680779740709278
0.0,-2.0500000000000003,0.054309268591532456,-0.0022173161564398025,0.009793050891983865,0.010186131904559881,1.1149721362387775e-11,0.25279831892537685,0.02750562996118124,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,0.0349826439761512,-0.02750562996118124,8.336662288958336e-14,0.02750562996118124
0.0,-2.0375,0.05584073867799259,-0.0018493312582170325,0.00903058442572014,0.009375577159984072,1.324786160791167e-11,0.25820562436381556,0.028181188699082465,0.003459723708155112,-0.005783627887950775,-9.268360466907976e-05,0.004409843481239693,-9.538582540993106e-05,-8.168465619163042e-05,-6.435421196576705e-06,0.0003869076985125558,0.03523743579374047,-0.028181188699082465,9.348018498125798e-14,0.028181188699082465
0.0,-2.025,0.05734117815305748,-0.001519322101122138,0.00832238738257615,0.008619385553983368,1.5281764148929053e-11,0.2683696007809093,0.02883605264473658,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,0.035515402186496174,-0.02883605264473658,1.020722443654275e-13,0.02883605264473658
0.0,-2.0125,0.05881031671106382,-0.0012248338705013496,0.007669946959155482,0.007919888139431152,1.713032289884763e-11,0.2837704713919269,0.029473265886258877,0.0037885330750679702,-0.0056110985809793585,-7.603450918957283e-05,0.0032998014165130547,-0.00020026005099254632,-0.000171333805348339,-1.3549214229329038e-05,0.0008083570472909951,0.0358172117859817,-0.029473265886258884,1.0867384171507222e-13,0.029473265886258884
0.0,-2.0,0.060239099898064724,-0.0009650188440697051,0.007067911223658651,0.007272760462269114,1.8664569562056987e-11,0.3031989753580895,0.030096604083113772,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,0.0361362537802555,-0.030096604083113772,1.1272746190275823e-13,0.030096604083113772
0.0,-1.9875,0.06161223469513641,-0.0007396692275325865,0.006506078261641079,0.0066688786483445305,1.9747203897987907e-11,0.3238147834981069,0.03070980267238125,0.004061769103138422,-0.0054788046497589405,-6.184966406942809e-05,0.002443533276420805,-0.00031280806397061405,-0.0002675788728250186,-2.1149567507127944e-05,0.0012598798441267578,0.03646063251754916,-0.03070980267238125,1.1356280953516495e-13,0.03070980267238125
