s,l,required_negative_null,worst_null_direction_cosine,required_negative_radial_plus,required_negative_radial_minus,velocity,heat,electric_density,geometry_rho,geometry_p_r,geometry_j,geometry_p_t,endpoint_rho,endpoint_p_r,endpoint_j,endpoint_p_t,reservoir_rho,reservoir_p_r,reservoir_j,reservoir_p_t
1.285,-1.7000000000000002,0.07684615728521421,0.018033276958720576,0.05004872813099928,0.04804409809052192,-3.18869280609378e-47,5.319642997670846,0.015230901248683988,0.005439982570261201,-0.005454688203550709,-0.0014077244288764857,-0.004123662900937354,-0.0027027596396836926,-0.00129855730842801,-0.0019088819389958282,-0.0026386278409089425,0.06826392567426678,-0.015230901248683988,-1.6910602347125157e-48,0.015230901248683988
1.285,-1.675,0.07693584292519656,1.0,0.07693584292519656,0.07523713163589749,-1.220360007161765e-46,9.074883989819467,0.0005476496921897669,0.005532540058876436,-0.005490066543977283,-0.0013645450141278768,-0.0037585246325509414,-0.002764115988108274,-0.001550555638906727,-0.0017892228364526437,-0.0028605743809528134,0.08099128211465094,-0.0005476496921897669,-9.817019183919311e-48,0.0005476496921897669
1.285,-1.6500000000000001,0.07184421630180801,0.314787937536295,0.07131488966319338,0.06989533596738018,-3.039651350542815e-46,8.871479179705172,0.0023051798573322973,0.005450728751063316,-0.00552922165439652,-0.0013175826317996576,-0.0033088682238393077,-0.002840460990290275,-0.0018131917303827333,-0.0016724710557529583,-0.003075809123000644,0.07748545248995888,-0.0023051798573322973,-2.285218172419404e-47,0.0023051798573322973
1.285,-1.625,0.07102920158363801,0.04077186162182399,0.06423778854251018,0.06303403699886155,-1.508899002015918e-44,8.363186882358768,0.005705292618993341,0.005425240451785732,-0.00556855964855578,-0.0012584533394324358,-0.0028971429942586738,-0.002770114415546853,-0.0019230960116432016,-0.001559391225344592,-0.0032812455802218045,0.07389109662009921,-0.005705292618993341,-1.0288549160892164e-45,0.005705292618993341
1.285,-1.6,0.07177929750876665,0.019298923606469814,0.058917298090937355,0.057884945005832945,-2.1031026451486803e-43,7.9316494065994245,0.009106371362216379,0.00544817790358988,-0.00561027833937756,-0.0011926597023992663,-0.002527629103805557,-0.0023913960331951633,-0.001716898911475299,-0.0014507479736753685,-0.0034737972657856477,0.07145368741948431,-0.009106371362216379,-1.3112280531796096e-44,0.009106371362216379
1.285,-1.5750000000000002,0.07219809455430475,0.011577603801956785,0.05340532753474314,0.052514519245033364,-3.0107518078860725e-42,7.27711445192354,0.012621868391272637,0.005504478917560373,-0.0056557445828293775,-0.0011247122870784673,-0.0021984318261620917,-0.0016105832673117524,-0.001098984341345427,-0.0013474143595059098,-0.0036498155591673494,0.06814009372454907,-0.012621868391272637,-1.671515972927884e-43,0.012621868391272637
1.285,-1.55,0.07239058406973396,0.007758387106217714,0.047898609836118856,0.047126604402709764,-4.1864537891553756e-41,6.466616813769752,0.01611716343712162,0.005580774267657348,-0.005705544030604535,-0.0010576958044957619,-0.0019063498890592382,-0.0006057841610107215,-0.0002447501434369131,-0.001250697162848036,-0.0038034033050653223,0.06435553509803638,-0.01611716343712162,-2.019477138225219e-42,0.01611716343712162
1.285,-1.525,0.07249726081734281,0.005601316676651049,0.04274301348361462,0.04206883016019522,-5.823787605233618e-40,5.626770816664175,0.019366178108326602,0.005667641028961846,-0.005759723652413062,-0.0009934657631715193,-0.0016485159244960413,0.0003769355878344138,0.0006026523573876661,-0.0011620115940263697,-0.003928101214483782,0.06070042936155823,-0.019366178108326602,-2.4072190012018247e-41,0.019366178108326602
1.285,-1.5,0.07261400688495168,0.004316812054142777,0.03821741628713761,0.03761832061672586,-8.084428635411724e-39,4.892441606210498,0.02215419416134659,0.005759212966986301,-0.005818019830118152,-0.0009329989457625956,-0.0014226452292846919,0.0010915102813501376,0.0012000718362657299,-0.0010827728633655313,-0.00401744999842695,0.05772167363253061,-0.022154194161346594,-2.875427495262587e-40,0.022154194161346594
1.285,-1.475,0.07278726989162566,0.0035437639243285466,0.03440215777779614,0.03385416967648474,-1.1239442659281249e-37,4.356686352419092,0.02437670525091945,0.00585215777701636,-0.0058800187661249784,-0.0008767064276421635,-0.0012268594122090417,0.0013637016776866422,0.0013752995386763468,-0.0010137034529700134,-0.004066330929877481,0.05573800677258828,-0.02437670525091945,-3.5248355017322655e-39,0.02437670525091945
1.285,-1.4500000000000002,0.07308037655326924,0.0030439323432584586,0.03125478205371419,0.030742410432513884,-1.5634119309196803e-36,3.999217269567022,0.026141034628380792,0.005944755950790792,-0.0059452542750793895,-0.0008246620267637166,-0.0010594599435325021,0.0013065813590888656,0.001239896991465095,-0.0009527549320637926,-0.00407498752973177,0.05459265419665227,-0.026141034628380792,-4.4481601487023476e-38,0.026141034628380792
1.285,-1.425,0.07354807993776188,0.002664528268645682,0.02859007714411956,0.028108345913928506,-2.1761517532650213e-35,3.7418836095765835,0.027657213524076556,0.00603624513150636,-0.006013261969207926,-0.0007767533341029541,-0.0009187546058563132,0.0011050483638254337,0.0009763682918191809,-0.0008971861416507166,-0.004045003880864652,0.0539479915597544,-0.027657213524076556,-5.721272271704186e-37,0.027657213524076556
1.285,-1.4,0.07421936836370584,0.0023113917509722565,0.026211269568298223,0.025765348459759953,-3.0308031703211545e-34,3.4931461181854155,0.029128323150406657,0.006126400852988716,-0.006083607168180707,-0.0007327756456000659,-0.0008029441455279406,0.000944001730164976,0.0007672175369258181,-0.0008442559227346334,-0.003977964066150953,0.05344820658215296,-0.029128323150406657,-7.370877980677763e-36,0.029128323150406657
1.285,-1.375,0.0751040437948721,0.0019715560612028555,0.0240164242176555,0.023611942448804005,-4.223628588242781e-33,3.1889129488354993,0.030673656086788004,0.0062152838300237115,-0.006155897500671954,-0.0006924876496552509,-0.0007100540033356817,0.0009522064728438803,0.0007419862868529938,-0.0007936080918681241,-0.0038698212923651523,0.052853032989672644,-0.030673656086788004,-9.367745035643519e-35,0.030673656086788004
1.285,-1.35,0.07639715666236764,0.0018156913893840182,0.022189080399145928,0.02179394626929929,-5.88954363801067e-32,2.894860010699289,0.03225486294705998,0.006303094613859169,-0.006229788228623963,-0.0006556428353370362,-0.0006378975173118376,0.001033891512469552,0.0008183659531917891,-0.0007544263677986964,-0.003694005261880314,0.05246742520085645,-0.03225486294705998,-1.1904276742974158e-33,0.03225486294705998
