s,l,rest_energy_residual,rest_force_residual,energy_term_scale,force_term_scale,endpoint_rest_power,endpoint_rest_force
0.002509765625,-2.09375,1.355259387363223e-07,9.258124210905367e-06,0.0012508834409161289,0.012824851485403905,-7.825180381365122e-07,-1.010430749994731e-05
0.002509765625,-2.00625,2.3986494825501055e-06,-3.437971896034409e-06,0.0005571103720668862,0.006241750793894836,-3.408888277624154e-05,-0.0005759736760024502
0.002509765625,-1.90625,3.307968649252334e-06,4.30349041953401e-06,0.00013875019263643782,0.002812068055529402,1.0378260399911337e-05,-0.00016844371730564473
0.002509765625,-1.80625,1.606805219461864e-06,2.8923564068865477e-08,2.6910848163059346e-05,0.0012759400049477002,1.1829219381060135e-05,-4.933148144446934e-05
0.002509765625,-1.6062500000000002,4.1489246771719696e-07,1.688712500802834e-08,3.1073350639897514e-05,0.00023089927445627456,5.562106395930726e-06,7.807987848312446e-06
0.002509765625,-1.50625,2.475521854343466e-07,-2.2446831429538165e-08,8.678869246542581e-06,0.00011185208515677097,3.341894293630795e-06,7.045816575787604e-06
0.002509765625,-1.40625,1.6348397894840027e-07,-3.5354566192307894e-09,3.8980733644423625e-06,6.091072513942973e-05,2.0307786766016397e-06,3.967486134087202e-06
0.002509765625,-1.20625,6.974381140083774e-08,2.9785712193273976e-09,2.798886269271452e-05,2.3432150773692748e-05,8.112186291106202e-07,-8.142954881275095e-07
0.002509765625,-1.1062500000000002,-1.2592910886878615e-08,-3.4171686238260223e-09,1.9155791147402157e-05,1.6575289463520515e-05,7.4455730198118e-08,1.2704930174226746e-07
0.002509765625,-1.00625,-1.61819960489029e-08,-1.7380955214687838e-09,1.5118742147276114e-05,6.784299770200285e-06,-1.7403957333277155e-08,-3.047618271421998e-08
0.002509765625,-0.80625,-6.663780752312088e-09,-4.779772133554659e-09,2.9376030452908995e-05,3.205237377885377e-06,-1.1407841117760823e-09,-1.8825130109029213e-09
0.002509765625,-0.7062499999999999,6.34669428876702e-08,-5.685211143521385e-10,3.5216706781388545e-05,5.563384407873553e-06,3.4843521473959395e-10,5.706702741739295e-10
0.002509765625,-0.6062500000000001,1.6502550030254992e-07,-4.298681686418859e-08,3.031568622457992e-05,1.4072782535134993e-05,-1.2161379777517282e-10,-2.1275523813985554e-10
0.002509765625,-0.50625,1.759719476943062e-07,3.39668508443016e-07,6.513726265910215e-06,4.5490486123674585e-05,5.3693152055175876e-11,9.734992364002121e-11
0.082822265625,-2.09375,7.954327313332811e-07,1.0117479938752853e-05,0.001138258493408682,0.013416587567444016,-1.4262618857797234e-06,-1.0987175495326533e-05
0.082822265625,-2.00625,2.615891235664282e-06,-3.687408410311613e-06,0.0007897315471808239,0.006624180772381544,-0.00013925717210869052,-0.0006383220820555371
0.082822265625,-1.90625,2.6832028283966156e-06,4.576813549809864e-06,0.0003783926156315995,0.003010305233085859,-9.111198837192692e-05,-0.0001990866165786584
0.082822265625,-1.80625,1.265227441317184e-06,1.5273730899100163e-08,0.00011717068426497224,0.0013693967536753896,-3.9824145575769304e-05,-6.270944736010622e-05
0.082822265625,-1.6062500000000002,3.3207803073558903e-07,1.1899960477304256e-08,5.17101743011209e-05,0.0002543176459959308,-8.566253941696515e-06,6.184548428810375e-06
0.082822265625,-1.50625,2.1428302488572464e-07,-2.614692603944334e-08,1.9059020145532793e-05,0.00012229995265130856,-4.91907464913975e-06,6.4687987231880976e-06
0.082822265625,-1.40625,1.4184841114207913e-07,-5.211255573395463e-09,8.382892795998076e-06,6.622898324194971e-05,-3.2854258141969442e-06,3.59631924120062e-06
0.082822265625,-1.20625,2.9673483396613115e-08,-3.047982254485604e-09,3.3355317753175424e-05,3.239159540668006e-05,-2.144165899455123e-06,-1.4374802253685895e-06
0.082822265625,-1.1062500000000002,-1.3724298528211339e-08,-7.333820219122339e-10,1.6625719547024507e-05,2.1641575492547122e-05,-5.8111149099988515e-08,2.952891220129243e-07
0.082822265625,-1.00625,-1.6388346965908772e-08,-3.4571086530011033e-09,1.2343570564596383e-05,8.662300682918308e-06,1.3124606316274041e-08,-7.032616504595186e-08
0.082822265625,-0.80625,-1.3263747432452922e-08,1.0496041086890711e-08,9.255888637836458e-06,1.694669166290633e-07,8.455702144806355e-10,-4.183171152299374e-09
0.082822265625,-0.7062499999999999,-7.503109583455689e-10,-5.0904836254675724e-09,5.021752789130973e-06,4.326830942746717e-06,-2.261757633863906e-10,1.0932540068389725e-09
0.082822265625,-0.6062500000000001,1.3471724708788923e-08,3.557062506011423e-08,6.9016264193981135e-06,1.7004226846943423e-06,5.195861314373019e-11,-3.325048208769403e-10
0.082822265625,-0.50625,1.2688966930923363e-08,-1.1636873158497528e-08,6.866620687247691e-07,5.296944100954323e-06,-4.106286643348343e-12,1.289061227645593e-10
0.16313476562499998,-2.09375,5.065720627036849e-07,1.2113581886872666e-05,0.0027258221063404804,0.014265593809161734,-2.2290779295299485e-06,-1.3125222322829982e-05
0.16313476562499998,-2.00625,-1.4566212957137962e-06,-4.304320134642878e-06,0.0016489702267300295,0.007215448434910974,-0.0001956205872042506,-0.0007682381819278312
0.16313476562499998,-1.90625,-1.8219233802861866e-06,5.218638133013407e-06,0.0006730328194034975,0.0033349316237637444,-0.00011850129799473139,-0.0002488788163319341
0.16313476562499998,-1.80625,-1.1457228064595529e-06,-1.35597056587625e-08,0.00018422356052446464,0.0015203467955194653,-5.269574173437781e-05,-8.568548134643536e-05
0.16313476562499998,-1.6062500000000002,-4.095774172368039e-07,6.401245665256854e-10,0.00010995505304502634,0.00029298842422476154,-1.2322108296087707e-05,2.313349944316745e-06
0.16313476562499998,-1.50625,-1.9164915576166087e-07,-3.2780034625730215e-08,3.8100746480330075e-05,0.00013896567571375294,-7.4063881332481866e-06,4.55408384462161e-06
0.16313476562499998,-1.40625,-1.0408792490271459e-07,-9.321767972819574e-09,1.4341502749209441e-05,7.456959840026147e-05,-5.0596500173315815e-06,2.3545579142110394e-06
0.16313476562499998,-1.20625,-2.0078695547877723e-07,-1.8748805150322486e-08,8.969231886971729e-05,4.8841739814335894e-05,-3.030996787687032e-06,-2.0322997150393908e-06
0.16313476562499998,-1.1062500000000002,-7.471693272193608e-08,1.05115794230702e-08,5.1064998290690555e-05,3.138867871886749e-05,2.1018283616745746e-08,1.2585309865683973e-06
0.16313476562499998,-1.00625,-6.096427508015959e-08,-1.0931275929106084e-08,3.988365909719252e-05,1.1890205996367816e-05,-5.773681387054655e-09,-2.979720818664334e-07
0.16313476562499998,-0.80625,-6.419875059242568e-09,-5.347734021115813e-09,4.033490850011638e-06,5.188478739102405e-07,-3.305402065630456e-10,-1.8091146849641127e-08
0.16313476562499998,-0.7062499999999999,-8.260014968584545e-09,8.099169969758192e-09,4.622957098633686e-06,9.693339198999425e-07,1.0546403250278747e-10,4.5264768431175795e-09
0.16313476562499998,-0.6062500000000001,4.4078796500472725e-11,-9.639978237973065e-09,3.364362103595031e-08,2.9642991735205517e-06,-4.727419454249943e-11,-1.237753740987905e-09
0.16313476562499998,-0.50625,3.5374364171345644e-09,4.181172305395013e-09,1.6354969274697202e-06,1.4876138222018915e-07,4.07554566960152e-11,3.977750062845429e-10
0.24344726562499996,-2.09375,-5.89856592480864e-07,1.4166305729632179e-05,0.004797088542738259,0.01566210826967766,-3.0441307558281205e-06,-1.5285677359262616e-05
0.24344726562499996,-2.00625,-5.092321790586501e-06,-4.969374611982563e-06,0.002504106146656165,0.008120785235888116,-0.00017260719701627983,-0.000891129635824833
0.24344726562499996,-1.90625,-4.282409240134102e-06,5.911778342230937e-06,0.0007569629804841198,0.0037791467709608123,-3.622563509529938e-05,-0.0002851644122053501
0.24344726562499996,-1.80625,-2.5452045399592676e-06,-5.3444127717400566e-08,0.00013622931328468988,0.001716185710302883,-6.017984005403459e-06,-0.00010079751784381028
0.24344726562499996,-1.6062500000000002,-9.691628059112739e-07,-2.017193027660584e-08,0.00016612112646881115,0.0003641205012490069,1.5648695367931863e-06,1.307903683601786e-06
0.24344726562499996,-1.50625,-4.805884493358092e-07,-4.401226278893217e-08,4.804040688032835e-05,0.00016918670807150452,4.101959877630634e-07,4.42754320435895e-06
0.24344726562499996,-1.40625,-2.7091188487405053e-07,-1.4376142454765964e-08,1.0115720976327473e-05,8.922987289751764e-05,-2.3441722391958038e-07,2.2119402294090213e-06
0.24344726562499996,-1.20625,-1.7700733949640422e-07,-3.122503231014293e-08,1.5356132824856786e-05,6.35664118345663e-05,-2.2371020430724747e-07,-2.298066104007699e-06
0.24344726562499996,-1.1062500000000002,-1.26590715286174e-08,1.9954823589025814e-08,4.305733015090038e-06,4.0294519217883997e-05,2.729405497783941e-07,2.1601065613930668e-06
