case,cells,medium,forcing,initialization,status,failure,final_time,elapsed_seconds,initial_proper_energy,s,steps,minimum_thermal,minimum_inverse_stretch,maximum_inverse_stretch,maximum_abs_velocity,minimum_sound2,maximum_sound2,maximum_density,maximum_abs_radial_stress,proper_energy,thermal_inventory,minimum_packet_distance,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral,coldest_l,minimum_thermal_over_run,maximum_velocity_over_run,maximum_sound2_over_run
stiff_high_dense_n128_force1_prepared_reference,128,dense,1.0,prepared_reference,constitutive_domain_limit,stored thermal energy reached zero,0.2696176853429232,1.570585290901363,452.8350432653123,0.2696176853429232,62.0,1.8118657809651495e-06,0.0007282010402870483,0.4966373290878002,0.9113997994619467,0.0006043637334325004,0.2372331565450023,0.03302236121955088,0.02226435104340531,389.7268260853704,6.746329209170227,0.4258676853429232,-2.220446049250313e-16,0.0,0.0,0.0,-2.6645352591003757e-15,-0.6967402832501943,-4.379178433374257,0.05392635967214375,-9.308109838457312e-13,2223.9045601083167,-2264.055586613958,-0.03901385498810296,-1.11875,1.8118657809651495e-06,0.9113997994619467,0.2372331565450023
soft_high_dense_n128_force1_prepared_reference,128,dense,1.0,prepared_reference,constitutive_domain_limit,stored thermal energy reached zero,0.28124194556222437,1.6202573459595442,101.78745337675981,0.28124194556222437,63.0,1.9125209842485447e-06,0.0010140030260427438,0.7357954062289045,0.8542016849293077,0.00010404589486240484,0.053279759076215294,0.04960009882803704,0.004451795768693618,91.21258348721808,6.813669890937262,0.43749194556222437,0.0,0.0,0.0,0.0,4.440892098500626e-16,-0.1401565048284853,-0.7549614126794603,0.053596509770838685,-1.4210854715202004e-13,466.3471998198954,-519.2706863706372,0.007202017618500315,-1.13125,1.9125209842485447e-06,0.8542016849293077,0.053279759076215294
