case,cells,medium,forcing,status,failure,final_time,elapsed_seconds,initial_proper_energy,s,steps,minimum_thermal,minimum_inverse_stretch,maximum_inverse_stretch,maximum_abs_velocity,minimum_sound2,maximum_sound2,maximum_density,maximum_abs_radial_stress,proper_energy,thermal_inventory,minimum_packet_distance,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral,coldest_l,minimum_thermal_over_run,maximum_velocity_over_run,maximum_sound2_over_run
soft_low_baseline_n128_force0,128,baseline,0.0,constitutive_domain_limit,stored thermal energy reached zero,0.925486463109002,5.874652732163668,418.0486972723804,0.925486463109002,210.0,4.370441244461176e-07,0.6945802292336148,60.474565548786934,0.9981781339166673,0.05721669805678334,0.6145563273326289,7.800321545915616,3.946161508157379,2694.0999437695414,136.81493671053616,1.081736463109002,0.0,0.0,0.0,0.0,0.0,-0.003569047451103474,181.12597235269763,0.0,-4.547473508864641e-13,-189.46012335966842,-2883.653317939529,0.0,-2.03125,4.370441244461176e-07,0.9981781339166673,0.6145563273326289
stiff_low_baseline_n128_force0,128,baseline,0.0,constitutive_domain_limit,stored thermal energy reached zero,0.9549076131706198,7.014948694035411,423.45761411258655,0.9549076131706198,246.0,2.9399959133868947e-08,0.6795469257903133,36.33413105897173,0.9989482147988156,0.33197020872094624,0.9350373129340915,5.148474140916566,4.59545547197002,2899.3768650476363,120.74356524005269,1.1111576131706196,0.0,0.0,0.0,0.0,0.0,-0.09727272556565833,197.12466646691368,0.0,4.547473508864641e-13,-639.5936829898044,-2935.876340288608,0.0,-1.96875,2.9399959133868947e-08,0.9989482147988156,0.9350373129340915
