s,steps,minimum_thermal,minimum_inverse_stretch,maximum_inverse_stretch,maximum_abs_velocity,minimum_sound2,maximum_sound2,maximum_density,maximum_abs_radial_stress,proper_energy,thermal_inventory,minimum_packet_distance,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999933,0.7499999999999903,0.7500000000000148,0.1977128324659816,0.3333333333333305,0.3333333333333377,0.08789586715166625,0.008822263059685304,1693.8304564503462,332.7235662786464,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,13,0.2498601865792225,0.5921225257869622,0.8391740372068116,0.15203823119747994,0.28302103679928464,0.35776208198045134,0.08153909666554945,0.014189662080318792,1699.3759902530376,332.84137877706024,0.20625000000000004,-5.684341886080802e-14,0.0,0.0,0.0,-3.097522238704187e-14,-0.0800117572653713,0.5223124950953858,-0.0010011794392162361,1.1368683772161603e-13,93.90608629712015,-810.4515693408359,-0.38902396922620214
0.1,24,0.24997155177932928,0.49200308200387666,1.0249610878231865,0.2985393526854523,0.24698471071297437,0.40218074747872307,0.079992388507381,0.01662848379050473,1716.0429559059285,333.08362291507893,0.25625,-5.684341886080802e-14,0.0,0.0,0.0,-3.086420008457935e-14,-0.17012427110211278,1.9264326671224081,0.011306147370712031,-2.2737367544323206e-13,269.6923703100808,-1781.3531934183413,-0.4162067676070563
0.15000000000000002,35,0.2499133047748039,0.4727048648983842,1.2770335342930828,0.43375733978734843,0.23961107848128058,0.4529724707465536,0.08232535656113665,0.016904830264413268,1742.7634431146028,333.39541393343893,0.30625,-5.684341886080802e-14,0.0,0.0,0.0,-1.4654943925052066e-14,-0.2590429202026363,4.122254334402683,0.0307519397330846,-1.3642420526593924e-12,554.3053494513654,-2854.2652081333295,-0.1467483149822297
0.2,46,0.2498195700369028,0.4848368687267924,1.5895103175290983,0.5537683422188593,0.24231052447485052,0.5048074894008748,0.09899214727292062,0.020170072427313446,1782.0721929514596,333.6899739554323,0.35625000000000007,0.0,0.0,0.0,0.0,-2.6645352591003757e-15,-0.32574829734739214,7.301041469043986,0.04676110388575663,0.0,914.5900763551958,-3961.665099264321,0.21466880571886462
0.25,58,0.24960017440643645,0.4909416466715668,1.9790230786970857,0.6565276984659931,0.24465485667996406,0.5567957696019069,0.13013453587762058,0.040399196904919395,1838.7727787154063,333.87407412532207,0.40625,0.0,0.0,0.0,0.0,-2.6645352591003757e-14,-0.3646866451169681,11.846368686357494,0.052461484610892485,0.0,1292.0382675687158,-5062.76200206982,0.5006801281743748
0.30000000000000004,70,0.24916101225442389,0.5566104506795618,2.457661340117229,0.7416001477714644,0.2684706086492017,0.6069619925947032,0.17342737373682685,0.07131419376696368,1919.3408429455683,333.8887527020343,0.45625000000000004,-5.684341886080802e-14,0.0,0.0,0.0,-2.1316282072803006e-14,-0.3832063054436208,18.283175331750463,0.045577338332379064,0.0,1632.8242586063377,-6128.6587760825705,0.6216877164288621
0.35000000000000003,82,0.24860304363594032,0.6917012964718879,3.0354523059287963,0.8097122649452331,0.31287122411488544,0.6536775076299011,0.23305837241087626,0.1180996318998212,2031.736092198405,333.81925179487365,0.50625,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-0.3902125985704569,27.24807923011211,0.031809482414870624,0.0,1882.9694451559626,-7116.066300619229,0.6274088839361741
0.4,94,0.24818059681277416,0.762803715320312,3.7398519176657437,0.862519077536831,0.33713842390342186,0.6969368619392836,0.3167572827844715,0.18860203215237148,2185.159312002189,333.8166514554003,0.55625,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-0.3918639227739457,39.4718947285887,0.01867721656502875,3.637978807091713e-12,1994.6677556461686,-7986.231683841962,0.6090561384438254
0.45,106,0.2472192577082566,0.7561696371875427,4.646905788592527,0.9022485706362886,0.33514803184090086,0.7378782269479662,0.4427624915362895,0.29465670072975353,2390.0236049730943,334.15035565985323,0.6062500000000001,0.0,0.0,0.0,0.0,0.0,-0.39154670907634315,55.779763041643,0.013074134486033989,-2.7284841053187847e-12,1940.8272063958714,-8729.094268798268,0.6479071165740878
0.5,118,0.24658012286032194,0.7500232707494697,5.7583799615751605,0.9313829849505737,0.33337976066294017,0.7738373240920696,0.6245712663175529,0.4541395640013814,2658.3430981887923,334.98080444578903,0.6562500000000001,0.0,0.0,0.0,0.0,2.842170943040401e-14,-0.39077182846643094,77.1277249449374,0.01652418717700383,-3.637978807091713e-12,1715.2907426901893,-9357.359258812277,0.7566536816564028
0.55,130,0.24620947065479948,0.744946620425571,7.004125684356603,0.9523363842721437,0.3319626323444899,0.8034419363293831,0.8636937938406647,0.6939941554848564,3004.3941121078296,336.4693210006447,0.7062499999999999,0.0,0.0,0.0,0.0,-4.263256414560601e-14,-0.3900976537147614,104.65584267060947,0.025597000341884862,-3.637978807091713e-12,1342.571580033996,-9886.31982972286,0.8880058748778304
0.6000000000000001,142,0.24578784120760933,0.7412404636125967,8.651891746048985,0.967201430064847,0.3310061326722972,0.8309240309051459,1.240813636175153,1.0546312741130135,3445.2141430038882,338.86784881197315,0.7562500000000002,0.0,0.0,0.0,0.0,2.842170943040401e-14,-0.3896432036075794,139.72406338043984,0.03626530591913663,-3.637978807091713e-12,868.4177487770158,-10329.161342755744,0.9796793915076194
