s,steps,minimum_thermal,minimum_inverse_stretch,maximum_inverse_stretch,maximum_abs_velocity,minimum_sound2,maximum_sound2,maximum_density,maximum_abs_radial_stress,proper_energy,thermal_inventory,minimum_packet_distance,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.25,0.002147804611281285,0.15901062377248615,0.1977128324659816,6.783499723917988e-05,0.013638432016544072,0.010855827359908385,0.004422080081134028,101.78745337675981,5.963903743488333,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.2500051686881395,0.0021479865787867487,0.1593368473459704,0.1595773689886073,6.813879817380808e-05,0.013665969435551466,0.010874919444079065,0.004432785993100616,101.90040142552385,5.943077599586644,0.16125,0.0,0.0,0.0,0.0,-1.3530843112619095e-16,-0.004546587523017195,0.015193706835033145,-0.001658999175325445,6.661338147750939e-16,4.097966516885297,-4.943980596734149,-0.0591254777067511
0.01,2,0.2500242440737481,0.00214876416393055,0.16011439190878787,0.14176439426034904,6.842914449695457e-05,0.013731517328912703,0.010921112961885531,0.004439379799941207,102.00179745727266,5.924231385764811,0.16625,0.0,0.0,0.0,0.0,1.0859368959614812e-15,-0.009084605100023627,0.02929809563703461,-0.003156530568958393,-6.661338147750939e-16,8.45169807652653,-10.16164304237241,-0.11690616709190696
0.015,3,0.2500568026011871,0.002148614152981021,0.16133469659547967,0.12707953420056128,6.870741755468551e-05,0.013834133828074758,0.010993790770102372,0.0044433098542294895,102.09175732468654,5.90738058128809,0.17125,0.0,0.0,0.0,0.0,6.245004513516506e-17,-0.013601644757755906,0.04230863283209416,-0.004491249316879681,8.881784197001252e-16,13.052240499277552,-15.643947590913903,-0.17311924084405195
0.02,4,0.25008416405329803,0.002148884894845622,0.1629883393805285,0.11325544889871253,6.897507067603914e-05,0.013972765993777052,0.011092290475665624,0.004445619491102464,102.17037216656318,5.892542599736889,0.17625000000000002,0.0,0.0,0.0,0.0,2.5326962749261384e-16,-0.018087342793495484,0.05422094259022364,-0.005661890696742211,1.3322676295501878e-15,17.890643600390653,-21.38062512611827,-0.2275486582571758
0.025,5,0.2501174439186453,0.0021497449747379985,0.1650642966825538,0.10003056783432385,6.923367152206444e-05,0.01414620287476618,0.011215877117042864,0.004446978377656039,102.2376961136674,5.8797382903842506,0.18125000000000002,0.0,0.0,0.0,0.0,8.326672684688674e-16,-0.022532751839006816,0.06502920203540663,-0.006667271611368004,3.552713678800501e-15,22.957793051953978,-27.360488369252455,-0.27998535723310286
0.03,6,0.2501583505376963,0.0021505921951964473,0.16755130028799253,0.10749191942261405,6.948488703428789e-05,0.014353204328887313,0.011363827121693069,0.0044477979928524295,102.29381174460242,5.868968054515908,0.18625000000000003,0.0,0.0,0.0,0.0,2.6367796834847468e-15,-0.026929899638336398,0.07473091008648339,-0.007506291839102421,2.6645352591003757e-15,28.244358813301293,-33.57180157470149,-0.3302274311098201
0.034999999999999996,7,0.2502091551909331,0.00215131500660576,0.17043850796507382,0.1257079297369046,6.973047623997214e-05,0.014592569643919279,0.011535471386982106,0.004448322604636333,102.3388219754467,5.860246129856058,0.19125000000000003,0.0,0.0,0.0,0.0,1.6445178552260131e-15,-0.03127155280318679,0.08332600728407139,-0.008177935507551685,2.6645352591003757e-15,33.741044773901564,-40.0029870839664,-0.37808029918791985
0.039999999999999994,8,0.2502727479537499,0.0021525679157454332,0.1737153762964026,0.14390745425669138,6.997198260944407e-05,0.01486313354118166,0.011730192239982989,0.0044486889178879255,102.37284339612692,5.85357337353661,0.19625000000000004,-2.220446049250313e-16,0.0,0.0,0.0,2.130240428499519e-15,-0.03555126119360723,0.09081649232316037,-0.008681373520087349,3.552713678800501e-15,39.439170120002345,-46.64338538196075,-0.42337256456078526
0.04499999999999999,9,0.2496365087261081,0.002154408417027739,0.17737193267845644,0.16205055929447099,7.021016894373003e-05,0.015163791983852256,0.011947439409413407,0.004448974341026401,102.39591759492164,5.848960284437549,0.20125000000000004,0.0,0.0,0.0,0.0,1.4432899320127035e-15,-0.03976340733581635,0.0971996171138593,-0.009016165770544402,5.329070518200751e-15,45.331169157125665,-53.483809841292256,-0.46598524624059795
