s,l,material_label,n,velocity,thermal,endpoint_power,endpoint_force,heat_power_part,heat_force_work_part,heat_rate,packet_edge_distance,integrated_heat_rate,heat_from_material_balance
0.0,-1.3327474885733337,0.7672525114266228,0.004529118002685387,-9.44278767572155e-06,0.2619002126360575,1.369646253950583e-06,1.4113898021309824e-06,-0.7754510297818976,-7.545589291100492e-06,-0.7754585753711887,0.9827474885733337,0.0,0.2619002126360575
0.005,-1.3327798100343846,0.7672525114266228,0.0045419758838500714,-0.017262115649136146,0.2583045441111976,1.154607888595361e-06,1.4189185555045535e-06,-0.649495516933043,-0.013778220393311044,-0.6632737373263541,0.9877798100343845,-0.0035968307817438572,0.2583033818543137
0.01,-1.3328766454126584,0.7672525114266228,0.004553435781200482,-0.0345856662459725,0.2552693360611609,9.370192967887743e-07,1.4251551132435705e-06,-0.5237209304496653,-0.02754924349296573,-0.5512701739426311,0.9928766454126584,-0.0066331905599163205,0.25526702207614116
0.015,-1.3330381078692868,0.7672525114266228,0.004563478970684439,-0.05194776234373496,0.25279408996687264,7.167053950876732e-07,1.4300197634602032e-06,-0.39803063993126797,-0.04125577176424436,-0.43928641169551236,0.9980381078692867,-0.00910958202401168,0.2527906306120458
0.02,-1.333264175134262,0.7672525114266228,0.004572085313869178,-0.06931626206722893,0.2508792269283298,4.934973556966376e-07,1.4334345669819987e-06,-0.27233332765024226,-0.05483135407147534,-0.3271646817217176,1.003264175134262,-0.011025709757554755,0.25087450287850277
0.025,-1.3335546782205943,0.7672525114266228,0.0045792505174004445,-0.08665894628088527,0.24952579352526513,2.6722558842955373e-07,1.435320857940903e-06,-0.14653779814551288,-0.0682077964965673,-0.21474559464208018,1.008554678220594,-0.01238048544846425,0.24951972718759324
0.03,-1.333909297668707,0.7672525114266228,0.004584979963538008,-0.10394408928572052,0.24873543488684205,3.772488247671693e-08,1.4355979583016717e-06,-0.02055748269082572,-0.08131574930208704,-0.10187323199291277,1.013909297668707,-0.013172032515051732,0.24872818012100578
0.035,-1.3343276437689704,0.7672525114266228,0.004589292459311455,-0.1211399405536094,0.24851092274245895,-1.9516722780471377e-07,1.4341845338319264e-06,0.10568961040200239,-0.09408443790516924,0.011605172496833162,1.0193276437689702,-0.013397702663791932,0.24850250997226558
0.04,-1.3348091882294144,0.7672525114266228,0.004592217051384025,-0.13821597464667965,0.24885550469276793,-4.3161294768140866e-07,1.4309935332018641e-06,0.23228101261292505,-0.10644252250527513,0.12583849010764991,1.0248091882294146,-0.013054093507280725,0.24884611912877677
0.045,-1.3353532942155382,0.7672525114266228,0.004593793633111267,-0.15514298703775717,0.24977295534137606,-6.717686452459379e-07,1.425931901098853e-06,0.3592858113658255,-0.11831812302199494,0.2409676883438305,1.030353294215538,-0.012137078061152025,0.24976313457490548
0.05,-1.3359592106054534,0.7672525114266228,0.004594076728173562,-0.1718923732825837,0.25126763455267903,-9.15791224397845e-07,1.4188974228599551e-06,0.48676664515008883,-0.12963788631912543,0.35712875883096346,1.0359592106054536,-0.010641836943215039,0.2512583756928425
0.055,-1.3366253980595109,0.7672525114266228,0.004593235292853058,-0.18840620104026326,0.25334920000067157,-1.163832366502016e-06,1.409747787912272e-06,0.6147629728557804,-0.1402987771402323,0.4744641957155481,1.041625398059511,-0.008562854556848761,0.25333735807920876
0.06,-1.3373513457961623,0.7672525114266228,0.004591233794263228,-0.20468435934952864,0.25602015753000523,-1.41603914099611e-06,1.3983765922300146e-06,0.7433244389546347,-0.15024912702573773,0.593075311928897,1.0473513457961623,-0.00589400578773765,0.2560062068483199
0.065,-1.3381360396034963,0.7672525114266228,0.004588148278729948,-0.22070487548670764,0.25928594578060193,-1.6725572016333062e-06,1.3846450686945292e-06,0.8724834260806024,-0.15941405040452306,0.7130693756760793,1.0531360396034963,-0.002628644068725207,0.2592715685673323
0.07,-1.3389784242464016,0.7672525114266228,0.004584063150083583,-0.2364484032891185,0.26315201731779,-1.9335246137827195e-06,1.3684004571478091e-06,1.0022583301769026,-0.16771795784380528,0.8345403723330972,1.0589784242464018,0.0012403803012977378,0.26314059293735526
0.075,-1.3398757049126035,0.7672525114266228,0.004579257668644148,-0.25184139969953373,0.26763818384746385,-2.1990706989486918e-06,1.349398079351365e-06,1.1326120373031414,-0.17502867017791024,0.9575833671252313,1.0648757049126036,0.0057206896499435505,0.26762090228600105
0.08,-1.3408277069315342,0.7672525114266228,0.004573672049435689,-0.2669087017251271,0.27274153347156904,-2.4693044194714304e-06,1.327494695162347e-06,1.2635512252470495,-0.18130665546555857,1.0822445697814909,1.0708277069315342,0.010820259492210361,0.2727204721282679
0.085,-1.341833402313729,0.7672525114266228,0.004567368509404126,-0.28164831513227573,0.27845234864294083,-2.732421346924368e-06,1.3039236482136064e-06,1.388999199119807,-0.18668681445521423,1.2023123846645927,1.0768334023137291,0.016531651878325573,0.27843186451438307
0.09,-1.3428895975590953,0.7672525114266228,0.004560505453697484,-0.29600803506509843,0.28475067875525106,-2.9781460725059414e-06,1.2800003379691053e-06,1.5037852551569277,-0.19131693352145196,1.3124683216354758,1.0828895975590953,0.02281860364407573,0.28471881628013324
0.095,-1.343995545197183,0.7672525114266228,0.004553205275980953,-0.310018195872072,0.29157965693689275,-3.2061781044027643e-06,1.2561088829735868e-06,1.607873322053394,-0.19528939364622583,1.4125839284071682,1.0889955451971831,0.029631234269182346,0.29153144690523985
0.1,-1.345151217283145,0.7672525114266228,0.004545463154927273,-0.3237250418320746,0.2988692703446312,-3.4161978727739284e-06,1.2326595943585097e-06,1.7012610773387418,-0.19872266565359517,1.5025384116851466,1.0951512172831452,0.03691904011941314,0.29881925275547067
0.105,-1.3463517063485995,0.7672525114266228,0.004537295629185297,-0.33705100490974715,0.30659056169041143,-3.607811351540998e-06,1.2098383308875486e-06,1.7839403629859494,-0.20163200906751289,1.5823083539184366,1.1013517063485994,0.04463115703342208,0.3065313696694796
0.11,-1.3475986838049903,0.7672525114266228,0.004528931162339505,-0.35008967883131586,0.31468822929469464,-3.780647746584533e-06,1.188119595065955e-06,1.8558031427681894,-0.2041762188694202,1.651626923898769,1.1075986838049903,0.05271599522796511,0.3146162078640226
0.115,-1.3488901015062258,0.7672525114266228,0.004520263533455301,-0.362838123224065,0.32309101122519834,-3.934273339433735e-06,1.1678050728357615e-06,1.9168718453790619,-0.20644854103217813,1.7104233043468837,1.1138901015062257,0.061121120798579245,0.32302133343463674
0.12,-1.3502227948825947,0.7672525114266228,0.004511390123236128,-0.3752735628807573,0.3317741145573071,-4.068202637899985e-06,1.1491415608064462e-06,1.9670835086127376,-0.20851712236147496,1.7585663862512626,1.1202227948825945,0.0697935950250746,0.3316938076611321
0.125,-1.3515997479656408,0.7672525114266228,0.004502477666983166,-0.38750703613290316,0.34066137653267614,-4.181985826190432e-06,1.1326473242892754e-06,2.006332728570531,-0.21056912724796248,1.7957636013225686,1.1265997479656407,0.07867941999400918,0.3405796326300667
0.13,-1.353013189717011,0.7672525114266228,0.004493228099525446,-0.39941913039267046,0.34970843281613606,-4.275011101476175e-06,1.1183564253769912e-06,2.0347265378793247,-0.21260716753508288,1.8221193703442418,1.133013189717011,0.08772412742317622,0.3496243400592337
0.135,-1.354469471409214,0.7672525114266228,0.0044840889515735125,-0.4111852176968194,0.35886103480231984,-4.346798002927985e-06,1.1069240269107398e-06,2.0520249733096256,-0.214866391627546,1.8371585816820797,1.139469471409214,0.09687232230324203,0.3587725349392995
0.14,-1.355960683390469,0.7672525114266228,0.004474657704626851,-0.42268865050191784,0.3680547491089369,-4.396653973617276e-06,1.0983715995015116e-06,2.058381849489985,-0.21735695351768394,1.8410248959723008,1.1459606833904687,0.10606778099737799,0.36796799363343546
0.145,-1.3574923444221056,0.7672525114266228,0.004465333613467406,-0.4340769034402181,0.37724473583913604,-4.424015354420768e-06,1.093308386902777e-06,2.0535736297238083,-0.22029417372384877,1.8332794559999595,1.1524923444221056,0.1152535418773086,0.3771537545133661
0.15,-1.359057421584119,0.7672525114266228,0.004455762436211465,-0.4452556998565352,0.3863605916522394,-4.428116840634403e-06,1.0917947422670801e-06,2.0377299025239113,-0.2237062063863219,1.8140236961375897,1.159057421584119,0.12437179975765249,0.38627201239371
0.155,-1.3606615496351184,0.7672525114266228,0.004446270775128739,-0.4563638578374745,0.3953544752509811,-4.4083185326214805e-06,1.0944379365999499e-06,2.0106592505322585,-0.22780743272394,1.7828518178083181,1.1656615496351184,0.13336398854251727,0.39526420117857475
0.16,-1.3622969732996573,0.7672525114266228,0.0044365189601424755,-0.46729860999525663,0.4041608199409669,-4.363758139592541e-06,1.1012743041023187e-06,1.9724790273202757,-0.23261714304024034,1.7398618842800353,1.172296973299657,0.14217077279773815,0.40407098543379566
0.165,-1.363971527505952,0.7672525114266228,0.0044268275587838425,-0.47822574848796884,0.41271779289661237,-4.293740609336227e-06,1.1129995185221538e-06,1.9230009250822693,-0.23838099084184272,1.6846199342404267,1.178971527505952,0.15073197734403931,0.4126321899800968
0.17,-1.3656743574060635,0.7672525114266228,0.0044167994004837,-0.4889952675074545,0.4209799653895973,-4.198361132181737e-06,1.1294386717799976e-06,1.8628404704624775,-0.2450547819086748,1.6177856885538024,1.1856743574060635,0.1589879914010249,0.4208882040370824
