front,side,r,zeta,alpha,d_zeta_alpha,d_r_alpha,kappa,transverse_over_along,normal_norm
current_front,front,0.0,6.160294646012737,2.100000000000002,-9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,rear,0.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,front,0.5,6.160294646012737,2.100000000000002,-9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,rear,0.5,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,front,1.0,6.160294646012737,2.100000000000002,-9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,rear,1.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,front,2.0,6.160294646012737,2.100000000000002,-9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,rear,2.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,front,3.5,6.160294646012737,2.100000000000002,-9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,rear,3.5,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
current_front,front,5.0,6.163982114209191,2.099999999999997,-9.176774674877208,0.06819719634565402,9.176774674877208,0.007431499493210184,0.08204112787715136
current_front,rear,5.0,-6.163982114209147,2.100000000000398,9.17677467488609,0.06819719634565402,9.17677467488609,0.007431499493202991,0.08204112787718268
current_front,front,6.5,6.18039179428832,2.0999999999999983,-9.449861650079328,0.11080877768243624,9.449861650079328,0.011725968250710428,0.21659424313042888
current_front,rear,6.5,-6.180391794288319,2.0999999999999983,9.449861650079328,0.11080877768243624,9.449861650079328,0.011725968250710428,0.21659424313042888
current_front,front,8.0,6.192095818232844,2.0999999999999845,-9.641685670127575,0.027933122264123256,9.641685670127575,0.002897120194518191,0.013763774394611964
current_front,rear,8.0,-6.192095818232842,2.1000000000000005,9.641685670132016,0.02793312226190281,9.641685670132016,0.00289712019428656,0.013763774392423964
current_front,front,9.0,6.192884348972008,2.0999999999999917,-9.654519571611342,0.0,9.654519571611342,0.0,0.0
current_front,rear,9.0,-6.192884348972007,2.1000000000000005,9.654519571606901,0.0,9.654519571606901,0.0,0.0
current_front,front,10.0,6.1847023119098345,2.099999999999048,-9.38904775299898,-0.2851090980771076,9.38904775299898,0.030366135691027897,1.4339061693025685
current_front,rear,10.0,-6.184702311909733,2.0999999999999983,9.389047752992319,-0.2851090980771076,9.389047752992319,0.03036613569104944,1.4339061693038664
current_front,front,11.0,6.102393467864023,2.0999999999999983,-7.195618149826721,-1.1489142608311909,7.195618149826721,0.15966859787561935,23.28487018499617
current_front,rear,11.0,-6.10239346786402,2.1000000000000183,7.1956181498178395,-1.1489142608334113,7.1956181498178395,0.159668597876125,23.284870185086618
current_front,front,11.5,5.980753115488834,2.0999999999999934,-5.083104813818906,-1.8428358593425287,5.083104813818906,0.3625413850079588,59.90621623900419
current_front,rear,11.5,-5.980753115488798,2.1000000000001786,5.0831048138211266,-1.8428358593403082,5.0831048138211266,0.3625413850073636,59.90621623887037
current_front,front,12.0,5.644416209142513,2.099999999999732,-2.4072995126789287,-2.9964441991436885,2.4072995126789287,1.2447326073726233,158.38387707254358
current_front,rear,12.0,-5.644416209142357,2.100000000000106,2.4072995126789287,-2.996444199145909,2.4072995126789287,1.2447326073735459,158.3838770728347
current_front,front,13.0,,,,,,,
current_front,rear,13.0,,,,,,,
cone,front,0.0,60.89482537154267,2.1000000000000005,-0.5626767630939611,0.0,0.5626767630939611,0.0,0.0
cone,rear,0.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
cone,front,0.5,60.12189191190821,2.1000000000000005,-0.562676698314668,-1.4848813197043675,0.562676698314668,2.638960035402019,38.89395149282722
cone,rear,0.5,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
cone,front,1.0,58.58828952780406,2.099999999999995,-0.5626765223287755,-1.8782428231278736,0.5626765223287755,3.3380508135550113,62.23032325041699
cone,rear,1.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
cone,front,2.0,55.06702390338929,2.0999999999999934,-0.5626757028820428,-2.0372403806767636,0.5626757028820428,3.6206297343957696,73.21214522316203
cone,rear,2.0,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
cone,front,3.5,49.56602161444109,2.0999999999999934,-0.5626711858752742,-2.0788338655219896,0.5626711858752742,3.694580276557469,76.23214624138049
cone,rear,3.5,-6.160294646012737,2.100000000000002,9.11476952632384,0.0,9.11476952632384,0.0,0.0
cone,front,5.0,44.007357106268,2.1000000000000045,-0.5626510643641502,-2.0895177195989767,0.5626510643641502,3.7137008208814684,77.01772706113975
cone,rear,5.0,-6.163982114209147,2.100000000000398,9.17677467488609,0.06819719634565402,9.17677467488609,0.007431499493202991,0.08204112787718268
