efficiency,cells,amplitude,auxiliary_energy_with_guide_margin,guide_flux,calculation
1.0,1024,0.0,73.91104625702687,0.6777108404437998,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.005,83.23036187095984,0.6890229638888741,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.01,92.57759355762578,0.7003689728759709,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.02,111.35580514915554,0.7231626474762308,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.03,130.24568103161585,0.7460918642445792,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.05,168.3604256693293,0.7923569242855427,Guide envelope only; reflected waves require separate propagation
1.0,1024,0.1,265.6014123549017,0.9103915623295047,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.0,67.91305284804363,0.6696630648801359,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.005,77.12170214827441,0.6808408575380933,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.01,86.35793601954968,0.6920521333492952,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.02,104.91315747523231,0.7145751344314305,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.03,123.57871721509126,0.7372320681265416,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.05,161.240851547339,0.7829477333556923,Guide envelope only; reflected waves require separate propagation
0.98,1024,0.1,257.32710735104706,0.8995807171556496,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.0,62.22670373345731,0.6578187447545413,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.005,68.20761360413323,0.668798835969069,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.01,77.28048635178756,0.6798118181208348,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.02,95.50752189660211,0.7019364552360793,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.03,113.84294417409129,0.7241926561002745,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.05,150.83894892709432,0.7690997490755179,Guide envelope only; reflected waves require separate propagation
0.95,1024,0.1,245.2257286314112,0.8836698471202674,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.0,65.56769345680938,0.6618106612242981,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.005,73.41621187984585,0.6728573841779001,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.01,82.54414257535926,0.6839371976645638,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.02,100.88178731756499,0.7061960962370745,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.03,119.32847652800962,0.7285873569418297,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.05,156.54898835361644,0.7737669647480753,Guide envelope only; reflected waves require separate propagation
0.9,1024,0.1,251.50854611181734,0.8890323215779741,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.0,98.48548595715988,0.7007407001198452,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.005,108.12148904022793,0.712437230306012,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.01,117.78635683547739,0.7241687975271853,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.02,137.20268656251878,0.7477370430745496,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.03,156.7344751382837,0.7714454367619376,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.05,196.14442883598502,0.8192826685567858,Guide envelope only; reflected waves require separate propagation
0.85,1024,0.1,296.6898429329037,0.9413283404943257,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.0,136.95045887548335,0.7445369938773354,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.005,147.18871215124318,0.7569645572001377,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.01,157.4576341836958,0.7694293473726344,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.02,178.0874845186772,0.7944706082667088,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.03,198.84000988042737,0.8196607765595585,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.05,240.71308568423504,0.8704878353415847,Guide envelope only; reflected waves require separate propagation
0.8,1024,0.1,347.542588162211,1.0001613617752207,Guide envelope only; reflected waves require separate propagation
