efficiency,cells,amplitude,auxiliary_energy_with_guide_margin,guide_flux,calculation
1.0,512,0.0,72.84211703792272,0.6763877938347388,Guide envelope only; reflected waves require separate propagation
1.0,512,0.005,82.14325218147128,0.6876778334268301,Guide envelope only; reflected waves require separate propagation
1.0,512,0.01,91.47224893803131,0.6990016924086135,Guide envelope only; reflected waves require separate propagation
1.0,512,0.02,110.21382729018453,0.7217508685412554,Guide envelope only; reflected waves require separate propagation
1.0,512,0.03,129.06685209438214,0.7446353222326639,Guide envelope only; reflected waves require separate propagation
1.0,512,0.05,167.10724105891106,0.7908100622917822,Guide envelope only; reflected waves require separate propagation
1.0,512,0.1,264.15852638101245,0.9086142697179994,Guide envelope only; reflected waves require separate propagation
0.98,512,0.0,66.88367882184242,0.6683871886102499,Guide envelope only; reflected waves require separate propagation
0.98,512,0.005,76.07479614558197,0.6795436847668025,Guide envelope only; reflected waves require separate propagation
0.98,512,0.01,85.2934455232122,0.690733600282786,Guide envelope only; reflected waves require separate propagation
0.98,512,0.02,103.81334044014363,0.7132136893930442,Guide envelope only; reflected waves require separate propagation
0.98,512,0.03,122.44336357263637,0.7358274559410242,Guide envelope only; reflected waves require separate propagation
0.98,512,0.05,160.03379448430672,0.7814560213501507,Guide envelope only; reflected waves require separate propagation
0.98,512,0.1,255.9371155358093,0.8978667900331027,Guide envelope only; reflected waves require separate propagation
0.95,512,0.0,61.85692536681059,0.6566066615810208,Guide envelope only; reflected waves require separate propagation
0.95,512,0.005,67.22662691663862,0.6675665211072438,Guide envelope only; reflected waves require separate propagation
0.95,512,0.01,76.27082143955319,0.6785592109665463,Guide envelope only; reflected waves require separate propagation
0.95,512,0.02,94.46429758849318,0.700643081684388,Guide envelope only; reflected waves require separate propagation
0.95,512,0.03,112.76596090977556,0.7228582737345458,Guide envelope only; reflected waves require separate propagation
0.95,512,0.05,149.6938490693682,0.7676826218318102,Guide envelope only; reflected waves require separate propagation
0.95,512,0.1,243.90684498434453,0.8820416153905049,Guide envelope only; reflected waves require separate propagation
0.9,512,0.0,63.72982285303792,0.6566271276803706,Guide envelope only; reflected waves require separate propagation
0.9,512,0.005,69.10953223105271,0.6675873288199019,Guide envelope only; reflected waves require separate propagation
0.9,512,0.01,78.15460345076968,0.6785803613158176,Guide envelope only; reflected waves require separate propagation
0.9,512,0.02,96.34864668120943,0.7006649203768008,Guide envelope only; reflected waves require separate propagation
0.9,512,0.03,114.6508804561313,0.72288080486332,Guide envelope only; reflected waves require separate propagation
0.9,512,0.05,151.5799196394221,0.7677065501129666,Guide envelope only; reflected waves require separate propagation
0.9,512,0.1,245.7958521260893,0.8820691081839647,Guide envelope only; reflected waves require separate propagation
0.85,512,0.0,93.98891369329854,0.6952522528380395,Guide envelope only; reflected waves require separate propagation
0.85,512,0.005,103.54945754321194,0.7068571716916608,Guide envelope only; reflected waves require separate propagation
0.85,512,0.01,113.1386400666651,0.7184968531579246,Guide envelope only; reflected waves require separate propagation
0.85,512,0.02,132.40292113418957,0.7418805039283775,Guide envelope only; reflected waves require separate propagation
0.85,512,0.03,151.78175689587147,0.7654032051493976,Guide envelope only; reflected waves require separate propagation
0.85,512,0.05,190.88309250170886,0.8128657589431413,Guide envelope only; reflected waves require separate propagation
0.85,512,0.1,290.64113866406234,0.9339555263124333,Guide envelope only; reflected waves require separate propagation
0.8,512,0.0,132.1727874067082,0.738705518640417,Guide envelope only; reflected waves require separate propagation
0.8,512,0.005,142.33086524724123,0.7510357449223898,Guide envelope only; reflected waves require separate propagation
0.8,512,0.01,152.51937167841027,0.763402906480295,Guide envelope only; reflected waves require separate propagation
0.8,512,0.02,172.98767031265493,0.7882480354239011,Guide envelope only; reflected waves require separate propagation
0.8,512,0.03,193.57768330944197,0.8132409054712351,Guide envelope only; reflected waves require separate propagation
0.8,512,0.05,235.12285239064417,0.8636698688770876,Guide envelope only; reflected waves require separate propagation
0.8,512,0.1,341.1157764381449,0.9923277467069606,Guide envelope only; reflected waves require separate propagation
