rate,level,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error
0.015625,3,81,40,41,0,0,-7.71716502726512e-08,120.2553191489362,-0.9812777262331697,-0.0005719965879806875,-0.0005719965879806875,-0.0005719965879806875,0.006239687144166993,0.000141508826948664,0.00013889892932691288,2.1588715995095515e-16
0.015625,4,81,40,41,0,0,-7.71689835104469e-08,120.2553191489362,-0.9812777262331697,-0.0005713314447545062,-0.0005713314447545062,-0.0005713314447545062,0.006239948782412902,0.00014150975682953392,0.00013889652939368834,2.482534153247273e-16
0.03125,3,81,40,41,0,0,-3.091248559878632e-07,60.1276595744681,-0.9814130280564974,-0.0013298192469777459,-0.0013298192469777459,-0.0013298192469777459,0.006385919140045684,0.00028694287885361336,0.00027799498915801623,3.255163048148907e-16
0.03125,4,81,40,41,0,0,-3.091444732998471e-07,60.1276595744681,-0.9814130280564974,-0.001329125749184007,-0.001329125749184007,-0.001329125749184007,0.00638616069125368,0.0002869452865970237,0.000278003809910875,2.1563901132519377e-16
0.0625,3,81,33,48,0,0,-1.2411577778502999e-06,30.06382978723405,-0.9818189335264808,-0.0023379618165686386,-0.0023379618165686386,-0.0023379618165686386,0.006610039514987034,0.0005807365448469227,0.0005570363044385667,2.2887833992611187e-16
0.0625,4,81,33,48,0,0,-1.241239586770786e-06,30.06382978723405,-0.9818189335264808,-0.002337959632648559,-0.002337959632648559,-0.002337959632648559,0.006610264848488673,0.0005807360183657774,0.0005570546622125128,2.4810490685117214e-16
0.125,3,81,25,56,0,0,-5.033539019466874e-06,15.031914893617024,-0.9829013481131028,-0.0007865646849930961,-0.0007865646849930961,-0.0007865646849930961,0.007407586563021462,0.0011785040657279662,0.0011217774979320624,3.074450932598419e-16
0.125,4,81,25,56,0,0,-5.033772192028775e-06,15.031914893617024,-0.9829013481131028,-0.0007865623077056589,-0.0007865623077056589,-0.0007865623077056589,0.007407811404561043,0.0011785030494513829,0.0011218034801190424,2.482534153247273e-16
