case,s,z,crossings,width
one_space__staged_first_draft,1.7,1.8,6,9.10000000002853e-05
one_space__staged_first_draft,1.4,1.8,7,4.500000000007276e-05
one_space__staged_first_draft,-1.5,-2.3,5,0.00018400000000040606
one_space__staged_first_draft,1.4,1.7,8,3.799999999998249e-05
one_space__staged_first_draft,1.7,1.7,8,6.200000000022854e-05
one_space__staged_first_draft,-1.5,-2.2,7,0.00018699999999993722
one_space__staged_first_draft,-0.6,-2.1,6,0.00019700000000000273
one_space__staged_first_draft,1.6,1.5,6,5.499999999969418e-05
one_space__staged_first_draft,0.6,0.5,5,6.000000000838668e-06
one_space__staged_first_draft,-0.6,-0.5,5,1.4999999999876223e-05
one_space__staged_first_draft,-1.2,-1.9,7,1.3000000000040757e-05
one_space__staged_first_draft,-1.5,-2.0,5,0.0001330000000003828
one_space__staged_first_draft,0.6,0.7,5,2.000000000279556e-06
one_space__staged_first_draft,-0.6,-0.7,5,1.4000000000180535e-05
one_space__staged_first_draft,-1.2,-1.8,5,9.000000000369823e-06
one_space__staged_first_draft,-0.6,-1.8,8,1.699999999971169e-05
one_space__staged_first_draft,1.3,1.7,8,2.800000000036107e-05
one_space__staged_first_draft,-0.6,-2.0,6,0.00014700000000011926
one_space__staged_first_draft,-1.5,-2.1,7,0.00014600000000042357
one_space__staged_first_draft,0.7,0.6,5,3.000000000419334e-06
one_space__staged_first_draft,-0.7,-0.6,5,1.1999999999900979e-05
one_space__staged_first_draft,0.5,0.4,5,2.9999999995311555e-06
one_space__staged_first_draft,-0.5,-0.4,5,1.600000000046009e-05
one_space__staged_first_draft,-1.3,-1.7,8,2.1000000000270802e-05
one_space__staged_first_draft,1.7,2.5,5,1.1999999999900979e-05
one_space__staged_first_draft,-1.2,-1.5,5,1.0000000000065512e-05
one_space__staged_first_draft,-1.4,-1.7,8,2.4999999999941735e-05
one_space__staged_first_draft,1.7,1.5,7,1.000000000139778e-06
one_space__staged_first_draft,1.2,1.5,5,8.199999999014551e-07
one_space__staged_first_draft,1.8,1.6,7,1.000000000139778e-06
one_space__staged_first_draft,1.7,1.4,7,1.000000000139778e-06
one_space__staged_first_draft,-1.1,-1.6,7,4.999999999810711e-06
one_space__staged_first_draft,1.8,1.9,5,2.000000000279556e-06
one_space__staged_first_draft,1.7,1.6,8,3.400000000031156e-05
one_space__staged_first_draft,-0.4,-0.5,5,1.5000000000320313e-05
one_space__staged_first_draft,0.4,0.5,5,2.9999999999752447e-06
one_space__staged_first_draft,1.5,1.4,5,1.000000000139778e-06
