portal,coordinate,step,relative_residual
0.14,-1.5,0.008,2.0681022285005524e-07
0.14,-2.8,0.008,4.67133638873404e-08
0.14,-4.0,0.008,2.751085117723454e-08
0.14,-5.5,0.008,8.446221907301251e-08
1.4,-1.5,0.008,2.0110128663698728e-07
1.4,-2.8,0.008,4.489922707434707e-08
1.4,-4.0,0.008,3.4308754209858673e-08
1.4,-5.5,0.008,1.1261100551260669e-07
14.0,-1.5,0.008,1.9808294768397734e-07
14.0,-2.8,0.008,4.709948349237031e-08
14.0,-4.0,0.008,4.137134856896057e-08
14.0,-5.5,0.008,1.3912567955441027e-07
