label,coordinate_half_extent,kappa,central_charge,kappa_over_reference_r0_squared,kappa_over_candidate_r0_squared,lapse_fractional_change,optical_length,required,original_supply,original_ratio,optimistic_upper_ratio,necessary_gate_excludes,radial_endpoint,clock_endpoint,sampling_relative_change,quadrature_relative_change,identity_scaled_error,original_ratio_over_reference
reference,3.0,6.400125453356783e-07,1.0000000000000002,1.5385410278871073e-07,1.5385426760873975e-07,0.0,7.776933912873584,26.45717204870605,2.3245468733682126e-05,8.786074600448086e-07,8.786074600448086e-07,True,0.0,-0.0,7.716673514777261e-08,3.405889244934177e-11,3.2712495893853375e-11,1.0
reference,3.0,6.400125453356783e-07,1.0000000000000002,1.5385410278871073e-07,1.5385426760873975e-07,0.1,7.776933912873584,26.45717204870605,2.3245468733682126e-05,8.786074600448086e-07,1.3124876872274303e-06,True,0.0,-0.0,7.716673514777261e-08,3.405889244934177e-11,3.2712495893853375e-11,1.0
reference,3.0,6.400125453356783e-07,1.0000000000000002,1.5385410278871073e-07,1.5385426760873975e-07,0.5,7.776933912873584,26.45717204870605,2.3245468733682126e-05,8.786074600448086e-07,7.907467140403277e-06,True,0.0,-0.0,7.716673514777261e-08,3.405889244934177e-11,3.2712495893853375e-11,1.0
reference,3.0,4.15986661216707e-06,6.499664174528445,1e-06,1.0000010712748378e-06,0.0,7.776933912873584,10.377852230854312,5.9260644820642125e-05,5.710299540058468e-06,5.710299540058468e-06,True,0.0,-0.0,1.2747988992303228e-08,4.853299189846767e-12,9.00001662559579e-13,1.0
reference,3.0,4.15986661216707e-06,6.499664174528445,1e-06,1.0000010712748378e-06,0.1,7.776933912873584,10.377852230854312,5.9260644820642125e-05,5.710299540058468e-06,8.53020054749475e-06,True,0.0,-0.0,1.2747988992303228e-08,4.853299189846767e-12,9.00001662559579e-13,1.0
reference,3.0,4.15986661216707e-06,6.499664174528445,1e-06,1.0000010712748378e-06,0.5,7.776933912873584,10.377852230854312,5.9260644820642125e-05,5.710299540058468e-06,5.139269586052621e-05,True,0.0,-0.0,1.2747988992303228e-08,4.853299189846767e-12,9.00001662559579e-13,1.0
reference,3.0,4.1598666121670705e-05,64.99664174528445,1e-05,1.0000010712748379e-05,0.0,7.776933912873584,3.2825330125488836,0.00018731889587298754,5.706535019050261e-05,5.706535019050261e-05,True,0.0,-0.0,1.2991760392957916e-09,5.546831527435071e-13,2.5840117603417035e-13,1.0
reference,3.0,4.1598666121670705e-05,64.99664174528445,1e-05,1.0000010712748379e-05,0.1,7.776933912873584,3.2825330125488836,0.00018731889587298754,5.706535019050261e-05,8.52457700376644e-05,True,0.0,-0.0,1.2991760392957916e-09,5.546831527435071e-13,2.5840117603417035e-13,1.0
reference,3.0,4.1598666121670705e-05,64.99664174528445,1e-05,1.0000010712748379e-05,0.5,7.776933912873584,3.2825330125488836,0.00018731889587298754,5.706535019050261e-05,0.0005135881517145235,True,0.0,-0.0,1.2991760392957916e-09,5.546831527435071e-13,2.5840117603417035e-13,1.0
reference,3.0,0.000415986661216707,649.9664174528444,0.0001,0.00010000010712748378,0.0,7.776933912873584,1.0405522433220922,0.0005898753092468073,0.0005668867786624122,0.0005668867786624122,True,0.0,-0.0,1.506443122209715e-10,5.889594813966367e-14,2.0912329411909565e-14,1.0
reference,3.0,0.000415986661216707,649.9664174528444,0.0001,0.00010000010712748378,0.1,7.776933912873584,1.0405522433220922,0.0005898753092468073,0.0005668867786624122,0.000846830866890764,True,0.0,-0.0,1.506443122209715e-10,5.889594813966367e-14,2.0912329411909565e-14,1.0
reference,3.0,0.000415986661216707,649.9664174528444,0.0001,0.00010000010712748378,0.5,7.776933912873584,1.0405522433220922,0.0005898753092468073,0.0005668867786624122,0.00510198100796171,True,0.0,-0.0,1.506443122209715e-10,5.889594813966367e-14,2.0912329411909565e-14,1.0
reference,3.0,0.00415986661216707,6499.664174528445,0.001,0.001000001071274838,0.0,7.776933912873584,0.3397487411416358,0.0018006931767164448,0.005300073138360106,0.005300073138360106,True,0.0,-0.0,7.410631514198886e-11,3.010513358146172e-15,1.1437218496030066e-15,1.0
reference,3.0,0.00415986661216707,6499.664174528445,0.001,0.001000001071274838,0.1,7.776933912873584,0.3397487411416358,0.0018006931767164448,0.005300073138360106,0.007917393206686085,True,0.0,-0.0,7.410631514198886e-11,3.010513358146172e-15,1.1437218496030066e-15,1.0
