label,coordinate,stencil_step,analytic_density,analytic_radial_pressure,analytic_angular_pressure,four_dimensional_density,four_dimensional_radial_pressure,four_dimensional_angular_pressure,normalized_tensor_error,absolute_static_current
reference,-2.5,0.0005,-0.011515879059620137,-0.01051120765548768,0.07185519744821231,-0.011515868499441098,-0.010511249629130002,0.07185537667618103,2.494293733525005e-06,0.0
reference,-2.5,0.00025,-0.011515879059620137,-0.01051120765548768,0.07185519744821231,-0.011515875812185954,-0.01051121811080554,0.0718552633918138,9.177290417100234e-07,0.0
reference,-2.5,0.000125,-0.011515879059620137,-0.01051120765548768,0.07185519744821231,-0.011515877680019507,-0.010511210231197714,0.07185523514962179,5.24685907482516e-07,0.0
reference,-0.5,0.0005,0.008905155942431273,-0.00890652699671208,2.3477620565155587e-06,0.00890515584484664,-0.008906526897739249,2.347755753309443e-06,1.1112393383292279e-08,0.0
reference,-0.5,0.00025,0.008905155942431273,-0.00890652699671208,2.3477620565155587e-06,0.008905155844513155,-0.008906526898364098,2.3477578731785153e-06,1.1042237066357408e-08,0.0
reference,-0.5,0.000125,0.008905155942431273,-0.00890652699671208,2.3477620565155587e-06,0.008905155844435648,-0.008906526898520313,2.347758399101737e-06,1.1024697646276345e-08,0.0
reference,0.0,0.0005,0.009563552919721706,-0.009564916884899214,3.2641842674066195e-05,0.0095635529181693,-0.009564916618190894,3.264192959646057e-05,2.7884018603500482e-08,0.0
reference,0.0,0.00025,0.009563552919721706,-0.009564916884899214,3.2641842674066195e-05,0.009563552819516218,-0.009564916718222334,3.264176633167845e-05,1.742585770859247e-08,0.0
reference,0.0,0.000125,0.009563552919721706,-0.009564916884899214,3.2641842674066195e-05,0.009563552794844382,-0.009564916743230227,3.264172555027378e-05,1.4811313993624789e-08,0.0
reference,0.5,0.0005,0.007758679773481693,-0.009637499270229513,0.01905825167653096,0.007758759417610442,-0.009637449553249685,0.01905799308442896,1.3568511235518674e-05,0.0
reference,0.5,0.00025,0.007758679773481693,-0.009637499270229513,0.01905825167653096,0.007758699628517075,-0.00963748676765031,0.019057934399030127,1.6647775788646815e-05,0.0
reference,0.5,0.000125,0.007758679773481693,-0.009637499270229513,0.01905825167653096,0.007758684682812016,-0.009637496070970034,0.019057919725243868,1.741771977448813e-05,0.0
reference,2.5,0.0005,-0.01151587954168583,-0.010511207610253568,0.0718551959865921,-0.011515868981511468,-0.0105112495839012,0.07185537521454316,2.494293538593577e-06,0.0
reference,2.5,0.00025,-0.01151587954168583,-0.010511207610253568,0.0718551959865921,-0.01151587629425343,-0.010511218065570751,0.07185526193019451,9.177290731246661e-07,0.0
reference,2.5,0.000125,-0.01151587954168583,-0.010511207610253568,0.0718551959865921,-0.011515878162094954,-0.010511210185963344,0.07185523368800364,5.246859469324385e-07,0.0
radius205,-2.5,0.0005,-0.0024547755364865993,-0.00723665688612742,0.022524263677350997,-0.0024547142170374594,-0.007236619382911075,0.022524329528626832,2.9235706337980363e-06,0.0
radius205,-2.5,0.00025,-0.0024547755364865993,-0.00723665688612742,0.022524263677350997,-0.0024547602584418346,-0.007236647480327397,0.022524252520455514,6.782927505862525e-07,0.0
radius205,-2.5,0.000125,-0.0024547755364865993,-0.00723665688612742,0.022524263677350997,-0.00245477174020092,-0.007236654504675562,0.022524233261757967,1.350347938826583e-06,0.0
radius205,-0.5,0.0005,0.006523265716955521,-0.006524032465435593,2.5693133384377555e-06,0.006523265645216303,-0.006524032392191061,2.569309920228581e-06,1.1226880362012581e-08,0.0
radius205,-0.5,0.00025,0.006523265716955521,-0.006524032465435593,2.5693133384377555e-06,0.0065232656447335524,-0.006524032392786106,2.569310647882013e-06,1.113567222503869e-08,0.0
radius205,-0.5,0.000125,0.006523265716955521,-0.006524032465435593,2.5693133384377555e-06,0.006523265644595766,-0.006524032392934866,2.5693107880927246e-06,1.1112870323743933e-08,0.0
radius205,0.0,0.0005,0.006874259168780498,-0.00687511599955654,2.821081552007829e-05,0.006874259199197021,-0.006875115801172427,2.821088156675955e-05,2.8855384108338044e-08,0.0
radius205,0.0,0.00025,0.006874259168780498,-0.00687511599955654,2.821081552007829e-05,0.006874259113870047,-0.006875115887357114,2.8210744110613407e-05,1.631964114824982e-08,0.0
radius205,0.0,0.000125,0.006874259168780498,-0.00687511599955654,2.821081552007829e-05,0.006874259092558273,-0.006875115908903314,2.82107097567691e-05,1.538349450335458e-08,0.0
radius205,0.5,0.0005,0.005732455615647241,-0.007032486750755281,0.01784085130623902,0.005732528625632441,-0.007032434731358066,0.017840619960569806,1.296718778965516e-05,0.0
radius205,0.5,0.00025,0.005732455615647241,-0.007032486750755281,0.01784085130623902,0.005732473825838768,-0.007032473691831198,0.017840557025114244,1.6494791628844577e-05,0.0
radius205,0.5,0.000125,0.005732455615647241,-0.007032486750755281,0.01784085130623902,0.005732460122054703,-0.0070324834316759415,0.017840541293440496,1.7376569828683494e-05,0.0
radius205,2.5,0.0005,-0.002454775608017302,-0.007236656859384181,0.022524262740386016,-0.002454714288550374,-0.007236619356153403,0.022524328591634724,2.923569551040181e-06,0.0
radius205,2.5,0.00025,-0.002454775608017302,-0.007236656859384181,0.022524262740386016,-0.0024547603299738567,-0.0072366474535850295,0.022524251583469018,6.78292720231401e-07,0.0
radius205,2.5,0.000125,-0.002454775608017302,-0.007236656859384181,0.022524262740386016,-0.002454771811722373,-0.0072366544779254895,0.02252423232478933,1.3503481573476453e-06,0.0
