half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
15.0,2.0,2.0,matter,7.0,1.920858765274797,left sideways,28.928290258691707,74.49183461951989
15.0,2.0,2.0,matter,10.0,1.8385978146686608,left sideways,30.64704551530592,74.99966749987145
15.0,2.0,2.0,matter,12.5,1.5078859932299136,left sideways,33.05335883306714,77.62589126737471
15.0,5.0,0.5,light,0.05,3.0817910358459106,left sideways,42.030479302518735,49.74732101963474
15.0,5.0,0.5,light,0.2,2.063434418333049,left sideways,44.41277549299388,43.10994048426921
15.0,5.0,0.5,light,0.5,1.6614890343057265,left sideways,47.82629125501693,37.67825286911538
15.0,5.0,0.5,light,1.0,1.5200862065369427,left sideways,50.628899357488585,34.83680197439373
15.0,5.0,0.5,light,2.0,1.4648804091912586,left sideways,53.21349924018848,33.51214293797517
15.0,5.0,0.5,light,4.0,1.4463085855096998,left sideways,56.66367775474179,33.03261134593511
15.0,5.0,0.5,light,7.0,1.4341772042625236,left sideways,61.53261730596629,32.70920779878386
15.0,5.0,0.5,light,10.0,1.3212621699665812,left sideways,68.64215143077809,29.233486911120803
15.0,5.0,0.5,light,12.5,1.0158037131188158,passed,87.52338918188795,7.319718381155444
15.0,5.0,0.5,matter,0.05,3.5216328995120265,left sideways,31.882780748463162,69.16916444593387
15.0,5.0,0.5,matter,0.2,2.5895667100723743,left sideways,31.929006019270208,71.5254680266588
15.0,5.0,0.5,matter,0.5,2.140555303084099,left sideways,32.51245015122015,73.32339223744226
15.0,5.0,0.5,matter,1.0,1.9584402714292715,left sideways,33.165867734134444,74.27389565645386
15.0,5.0,0.5,matter,2.0,1.8795728578798914,left sideways,33.92464552593181,74.74117481039282
15.0,5.0,0.5,matter,4.0,1.8498995529610383,left sideways,35.08899158536181,74.92722430729788
15.0,5.0,0.5,matter,7.0,1.816480640079612,left sideways,36.829277491070165,75.14406377102293
15.0,5.0,0.5,matter,10.0,1.5141596070321606,left sideways,40.027307969820555,77.56427609308808
15.0,5.0,0.5,matter,12.5,1.0154882146891795,passed,46.01712524408,87.60756528459247
15.0,5.0,2.0,light,0.05,12.588036508152836,left sideways,41.270088239437335,58.815059442091375
15.0,5.0,2.0,light,0.2,6.620366578804051,left sideways,40.387125740853854,56.26783403984353
15.0,5.0,2.0,light,0.5,3.9846792407225538,left sideways,40.519139637805225,52.58048678969081
15.0,5.0,2.0,light,1.0,2.6203665526813893,left sideways,41.939300105982085,47.46116263910832
15.0,5.0,2.0,light,2.0,1.8584234594134277,left sideways,45.61671217572345,40.70763773908894
15.0,5.0,2.0,light,4.0,1.5616057668241985,left sideways,51.030437855600596,35.745433814418725
15.0,5.0,2.0,light,7.0,1.4793481984896335,left sideways,56.547257866562546,33.873334540562574
15.0,5.0,2.0,light,10.0,1.419594412852826,left sideways,61.98427615600104,32.30922222354839
15.0,5.0,2.0,light,12.5,1.1853896978664298,left sideways,72.35703433955317,23.35322959237532
15.0,5.0,2.0,matter,0.05,9.613296776271838,left sideways,32.994923143820415,64.59695298575711
15.0,5.0,2.0,matter,0.2,6.216531947555141,left sideways,31.729663047837768,66.11749958883708
15.0,5.0,2.0,matter,0.5,4.443611724319139,left sideways,31.054084335343344,67.74417821737863
15.0,5.0,2.0,matter,1.0,3.2958165037834584,left sideways,30.83647236686726,69.62775567684811
15.0,5.0,2.0,matter,2.0,2.459728969057283,left sideways,31.28579966367696,71.9822691415309
15.0,5.0,2.0,matter,4.0,2.0430016741182535,left sideways,32.60089657314223,73.81219313491005
15.0,5.0,2.0,matter,7.0,1.904806494251127,left sideways,34.34320826263911,74.58750689182231
15.0,5.0,2.0,matter,10.0,1.7457702477687422,left sideways,36.372235849824364,75.63068874020021
15.0,5.0,2.0,matter,12.5,1.2521440440110416,left sideways,41.96919916354701,80.83179015974186
22.0,2.0,0.5,light,0.05,19.615699322265254,left sideways,31.199371430877523,59.80834493681797
