front,peak_nec_content,nec_content_over_sigma,pattern_window_over_sigma,front_window_over_sigma,peak_front_window_content,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,max_source_speed_vs_static,violating_share_r,violating_share_z,violating_share_phi
current_front,198.29696640867954,2294.5543584705156,2294.5543584705156,0.0,0.0,0.0013016440253339988,0.0,2.908149676836745,649.1604902527682,0.9931361454031172,0.4094504365124218,0.36135103592307105,0.17265385409126283
shelf_running,248.4726662040599,2746.9097580994844,2365.3404989238215,382.82415055305796,44.03138292279931,0.0013016440253339988,0.0,2.908149676836745,651.8340774607924,0.9931361454031172,0.4630223614870696,0.3638758803755826,0.19319879962862507
shelf_static,250.9785605948689,2783.1181637677732,2365.07138622336,418.66514385906544,47.17162865279027,0.0013016440253339988,0.0,2.908149676836745,651.8340774607924,0.9931361454031172,0.47136596928848196,0.36419025999610344,0.1956827776968593
cone,333.21517162373084,3114.0443578313484,2617.1116239885487,517.6382644241053,82.82212232288238,0.0013016440253339988,0.0,2.908149676836745,1693.5294950011942,0.9931361454031172,0.46469291607701757,0.358890487723835,0.1867262431246974
