decel,z0,r0,final_gamma,sigma_at_max
18.0,7.75,5.0,1.5634105276999906,18.825
18.0,7.75,8.0,14.176589386799082,18.8
18.0,7.75,11.0,12.175638962740837,8.57
18.0,13.75,8.0,1.7532075847294832,18.814999999999998
18.0,13.75,11.0,11.31242166920774,10.165000000000001
18.0,25.75,5.0,1.5631519207860498,18.84
18.0,25.75,11.0,1.796843634875513,4.58
18.0,37.75,8.0,1.839351469722313,4.99
36.0,7.75,5.0,14.866189621820238,28.4
36.0,7.75,8.0,14.764248549960149,19.65
36.0,7.75,11.0,12.175638962740837,8.57
36.0,13.75,8.0,14.714256242335477,21.49
36.0,13.75,11.0,11.31242166920774,10.165000000000001
36.0,25.75,5.0,14.863952578300852,36.085
36.0,25.75,11.0,1.796843634875513,4.58
36.0,37.75,8.0,1.839351469722313,4.99
