s,front,nec_content,negative_energy,positive_energy
-3.5,current_front,0.0,0.0,0.0
-3.4,current_front,0.0,0.0,0.0
-3.3,current_front,0.0,0.0,0.0
-3.2,current_front,0.0,0.0,0.0
-3.1,current_front,0.0,0.0,0.0
-3.0,current_front,0.0,0.0,0.0
-2.9,current_front,0.0,0.0,0.0
-2.8,current_front,0.0,0.0,0.0
-2.7,current_front,0.0,0.0,0.0
-2.6,current_front,0.0,0.0,0.0
-2.5,current_front,0.0,0.0,0.0
-2.4,current_front,0.45621920866134646,0.0,0.0
-2.3,current_front,9.47404415306058,0.0,0.0
-2.2,current_front,39.887682022709726,0.0,0.0
-2.1,current_front,78.54939704683734,0.0,0.0
-2.0,current_front,116.05603196020216,0.0,0.0
-1.9,current_front,149.13205608945282,0.0,0.0
-1.8,current_front,177.3214023224268,0.0,0.0
-1.7,current_front,194.05479941312342,0.0,0.0
-1.6,current_front,198.10094059765737,0.0,0.0
-1.5,current_front,198.2969664062637,0.0,0.0
-1.4,current_front,198.2969664062637,0.0,0.0
-1.3,current_front,198.2969664062637,0.0,0.0
-1.2,current_front,198.2969664062637,0.0,0.0
-1.1,current_front,198.2969664062637,0.0,0.0
-1.0,current_front,198.2969664062637,0.0,0.0
-0.9,current_front,198.2969664062637,0.0,0.0
-0.8,current_front,198.2969664062637,0.0,0.0
-0.7,current_front,198.2969664062637,0.0,0.0
-0.6,current_front,198.2969664062637,0.0,0.0
-0.5,current_front,198.2969664062637,0.0,0.0
-0.4,current_front,198.2969664062637,0.0,0.0
-0.3,current_front,198.2969664062637,0.0,0.0
-0.2,current_front,198.2969664062637,0.0,0.0
-0.1,current_front,198.2969664062637,0.0,0.0
0.0,current_front,198.2969664062637,0.0,0.0
0.1,current_front,198.2969664062637,-1.0382167447910372e-15,0.0
0.2,current_front,198.2969664062637,-3.988148469442517e-09,0.0
0.3,current_front,198.2969664062637,-6.872153652161244e-07,0.0
0.4,current_front,198.2969664062637,-9.232235536957636e-06,0.0
0.5,current_front,198.2969664062637,-4.3317504893856506e-05,0.0
0.6,current_front,198.29696640635177,-0.00011945587792529374,0.0
0.7,current_front,198.29696640626204,-0.0002445325380127209,0.0
0.8,current_front,198.2969664063412,-0.0004178249920640503,0.0
0.9,current_front,198.2969664062646,-0.0006324579571456303,0.0
1.0,current_front,198.29696640621967,-0.0008700553439659174,0.0
1.1,current_front,198.2969664064008,-0.0010916313363946333,0.0
1.2,current_front,198.2969664062184,-0.0012425145281766666,0.0
1.3,current_front,198.29696640626673,-0.0012970911945800346,0.0
1.4,current_front,198.29696640721858,-0.0013016417003501996,0.0
1.5,current_front,198.29696640627296,-0.0013016440253339986,0.0
1.6,current_front,198.29696640506145,-0.0013016440253339988,0.0
1.7,current_front,198.29696640488453,-0.0013016440253339988,0.0
1.8,current_front,198.29696640778536,-0.0013016440253339988,0.0
1.9,current_front,198.29696640633426,-0.0013016440253339986,0.0
2.0,current_front,198.29696640627128,-0.0013016440253339986,0.0
2.1,current_front,198.29696640569998,-0.0013016440253339988,0.0
2.2,current_front,198.29696640768637,-0.0013016440253339986,0.0
2.3,current_front,198.29696640796476,-0.0013016440253339986,0.0
2.4,current_front,198.29696640646011,-0.0013016440253339986,0.0
2.5,current_front,198.2969664058679,-0.0013016440253339988,0.0
2.6,current_front,198.29696640698438,-0.0013016440253339986,0.0
2.7,current_front,198.2969664065339,-0.0013016440253339986,0.0
2.8,current_front,198.29696640650477,-0.0013016440253339986,0.0
2.9,current_front,198.29696640472454,-0.0013016440253339986,0.0
3.0,current_front,198.29696640472164,-0.0013016440253339986,0.0
3.1,current_front,198.296966404586,-0.0013016440253339986,0.0
3.2,current_front,198.2969664084865,-0.0013016440253339986,0.0
3.3,current_front,198.29696640449922,-0.0013016440253339986,0.0
3.4,current_front,198.2969664044993,-0.0013016440253339986,0.0
3.5,current_front,198.29696640653142,-0.0013016440253339986,0.0
3.6,current_front,198.29696640651485,-0.0013016440253339986,0.0
3.7,current_front,198.2969664064981,-0.0013016440253339986,0.0
3.8,current_front,198.29696640448162,-0.0013016440253339986,0.0
3.9,current_front,198.29696640448174,-0.0013016440253339986,0.0
4.0,current_front,198.29696640867954,-0.0013016440253339988,0.0
4.1,current_front,198.2969664044822,-0.0013016440253339986,0.0
4.2,current_front,198.29696640650033,-0.0013016440253339986,0.0
4.3,current_front,198.29696640652878,-0.0013016440253339986,0.0
4.4,current_front,198.29696640652878,-0.0013016440253339986,0.0
4.5,current_front,198.29696640650053,-0.0013016440253339986,0.0
4.6,current_front,198.29696640652887,-0.0013016440253339986,0.0
4.7,current_front,198.29696640652898,-0.0013016440253339986,0.0
4.8,current_front,198.29696640652898,-0.0013016440253339986,0.0
4.9,current_front,198.29696640652898,-0.0013016440253339986,0.0
5.0,current_front,198.29696640650073,-0.0013016440253339986,0.0
5.1,current_front,198.29696640652907,-0.0013016440253339986,0.0
5.2,current_front,198.29696640652114,-0.0013016440253339986,0.0
5.3,current_front,198.29696640649223,-0.0013016440253339986,0.0
5.4,current_front,198.29696640648365,-0.0013016440253339986,0.0
5.5,current_front,198.29696640651798,-0.0013016440253339986,0.0
5.6,current_front,198.29696640653086,-0.0013016440253339986,0.0
5.7,current_front,198.29696640652799,-0.0013016440253339986,0.0
5.8,current_front,198.296966406529,-0.0013016440253339986,0.0
5.9,current_front,198.2969664066976,-0.0013016440253339986,0.0
6.0,current_front,198.2969664063551,-0.0013016440253339986,0.0
6.1,current_front,198.29696640691745,-0.0013016417003502002,0.0
6.2,current_front,198.29696640700212,-0.0012970911945800337,0.0
6.3,current_front,198.2969664063116,-0.0012425145281766672,0.0
6.4,current_front,198.29696640626742,-0.0010916313363946329,0.0
6.5,current_front,198.29696640635578,-0.0008700553439659174,0.0
6.6,current_front,198.2969664063118,-0.0006324579571456313,0.0
6.7,current_front,198.29696640691782,-0.0004178249920640496,0.0
6.8,current_front,198.29696640652054,-0.00024453253801272134,0.0
6.9,current_front,198.2969664065651,-0.00011945587792529347,0.0
7.0,current_front,198.29696640631192,-4.331750489385649e-05,0.0
7.1,current_front,198.29696640700251,-9.232235536957731e-06,0.0
7.2,current_front,198.29696640700251,-6.872153652161157e-07,0.0
7.3,current_front,198.29696640691793,-3.988148469443018e-09,0.0
7.4,current_front,198.29696640631192,-1.0382167451036283e-15,0.0
7.5,current_front,198.29696640700251,0.0,0.0
7.6,current_front,198.29696640700251,0.0,0.0
7.7,current_front,198.29696640700251,0.0,0.0
7.8,current_front,198.29696640700251,0.0,0.0
7.9,current_front,198.29696640652057,0.0,0.0
8.0,current_front,198.29696640700251,0.0,0.0
8.1,current_front,198.29696640700251,0.0,0.0
8.2,current_front,198.29696640700251,0.0,0.0
8.3,current_front,198.29696640700251,0.0,0.0
8.4,current_front,198.29696640700251,0.0,0.0
8.5,current_front,198.29696640700251,0.0,0.0
8.6,current_front,198.29696640652057,0.0,0.0
