clock_rate,clock_log,samples,type_i,type_iv,other,min_null,peak_nec_content,nec_content_over_sigma,peak_negative_energy,peak_stress,radius_without_static_frame,passenger_time_test_trip,passenger_years_per_light_year
0.1,-2.3025850929940455,11288,1615638,0,0,-1.452558535188018,201.37137812328874,2331.033491016156,0.0013016440253339988,6.752707163737391,2.45,0.75,0.047619047619047616
0.2,-1.6094379124341003,11288,1615638,0,0,-1.2956485087530365,200.71623688372915,2323.1121144625063,0.0013016440253339988,5.405686652353247,2.4000000000000004,1.5,0.09523809523809523
0.3,-1.2039728043259361,11288,1615638,0,0,-1.20323764208649,200.2216056159679,2317.216800887863,0.0013016440253339988,4.686969967374332,2.35,2.25,0.14285714285714285
0.5,-0.6931471805599453,11288,1615638,0,0,-1.0861576330834841,199.4813245330201,2308.4621532456545,0.0013016440253339988,3.854249197213884,2.3000000000000003,3.75,0.23809523809523808
0.7,-0.35667494393873245,11288,1615638,0,0,-1.0086393892795267,198.91647189377795,2301.827421598887,0.0013016440253339988,3.3571360792352474,2.25,5.25,0.3333333333333333
1.0,0.0,11288,1615638,0,0,-0.9261202000010909,198.29696640796476,2294.55435846985,0.0013016440253339988,2.908149676836745,2.2,7.5,0.47619047619047616
1.5,0.4054651081081644,11288,1615638,0,0,-0.8318799177212668,197.5384755858195,2285.6564155959236,0.0013016440253339988,2.4354646568701352,2.1,11.25,0.7142857142857143
2.0,0.6931471805599453,11288,1615638,0,0,-0.7647358661880954,196.94051621467045,2278.66253336358,0.0013016440253339988,2.1244287050838064,1.9000000000000001,15.0,0.9523809523809523
3.0,1.0986122886681098,11288,1615638,0,0,-0.6733460230334484,196.02131580379208,2267.931584893466,0.0013016440253339988,1.751585396756889,0.0,22.5,1.4285714285714286
5.0,1.6094379124341003,11288,1615638,0,0,-0.611461222327658,194.75134110678886,2253.135000151474,0.0013016440253339988,1.751585396756889,0.0,37.5,2.380952380952381
