front,decel,launch,z,signal_arrival,pattern_arrival,element_arrival,lead_over_pattern,lead_over_element,packet_arrival
current_front,6.0,0.0,8.0,1.6345066817588312,1.3452355934243163,1.3452355934243163,-0.28927108833451487,-0.28927108833451487,7.5
current_front,6.0,0.0,10.0,2.5784325852034975,2.2976190476190474,2.2976190476190474,-0.28081353758445005,-0.28081353758445005,7.5
current_front,6.0,0.0,12.0,3.530812073576292,3.2499999999999996,3.2499999999999996,-0.28081207357629223,-0.28081207357629223,7.5
current_front,6.0,0.0,14.0,4.48319302570826,4.2023809523809526,4.2023809523809526,-0.28081207332730784,-0.28081207332730784,7.5
current_front,6.0,0.0,16.0,5.435573978089172,5.154761904761904,5.154761904761904,-0.2808120733272679,-0.2808120733272679,7.5
current_front,6.0,0.0,18.0,6.389722190846281,6.107142873529439,6.107142873529439,-0.28257931731684227,-0.28257931731684227,7.5
current_front,6.0,3.0,13.0,4.388431186588013,3.726190476190476,3.726190476190476,-0.6622407103975374,-0.6622407103975374,7.5
current_front,6.0,3.0,15.0,4.959797275756732,4.678571428571429,4.678571428571429,-0.2812258471853033,-0.2812258471853033,7.5
current_front,6.0,3.0,17.0,5.91176452444331,5.630952380952381,5.630952380952381,-0.28081214349092853,-0.28081214349092853,7.5
current_front,6.0,3.0,19.0,7.045096156398287,6.639537385739497,6.639537385739497,-0.4055587706587902,-0.4055587706587902,7.5
current_front,18.0,0.0,8.0,1.6345066817588312,1.345235593424841,1.345235593424841,-0.2892710883339902,-0.2892710883339902,19.5
current_front,18.0,0.0,10.0,2.5784325852034975,2.2976190476190474,2.2976190476190474,-0.28081353758445005,-0.28081353758445005,19.5
current_front,18.0,0.0,12.0,3.530812073576292,3.25,3.25,-0.2808120735762918,-0.2808120735762918,19.5
current_front,18.0,0.0,14.0,4.48319302570826,4.2023809523809526,4.2023809523809526,-0.28081207332730784,-0.28081207332730784,19.5
current_front,18.0,0.0,16.0,5.435573978089172,5.154761904761904,5.154761904761904,-0.2808120733272679,-0.2808120733272679,19.5
current_front,18.0,0.0,18.0,6.387954930470124,6.107142857142857,6.107142857142857,-0.280812073327267,-0.280812073327267,19.5
current_front,18.0,0.0,20.0,7.340335882851075,7.059523809523808,7.059523809523808,-0.280812073327267,-0.280812073327267,19.5
current_front,18.0,0.0,22.0,8.292716835232039,8.011904761904761,8.011904761904761,-0.28081207332727764,-0.28081207332727764,19.5
current_front,18.0,0.0,24.0,9.245097787612993,8.964285714285714,8.964285714285714,-0.2808120733272794,-0.2808120733272794,19.5
current_front,18.0,0.0,26.0,10.197478739993945,9.916666666666666,9.916666666666666,-0.2808120733272794,-0.2808120733272794,19.5
current_front,18.0,0.0,28.0,11.149859692374898,10.869047619047619,10.869047619047619,-0.2808120733272794,-0.2808120733272794,19.5
current_front,18.0,0.0,30.0,12.102240644755849,11.821428571428571,11.821428571428571,-0.28081207332727764,-0.28081207332727764,19.5
current_front,18.0,0.0,32.0,13.054621597136801,12.773809523809524,12.773809523809524,-0.28081207332727764,-0.28081207332727764,19.5
current_front,18.0,0.0,34.0,14.00700254951775,13.726190476190474,13.726190476190474,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,0.0,36.0,14.959383501898705,14.678571428571429,14.678571428571429,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,0.0,38.0,15.911764454279657,15.63095238095238,15.63095238095238,-0.28081207332727764,-0.28081207332727764,19.5
current_front,18.0,0.0,40.0,16.8641454066606,16.583333333333332,16.583333333333332,-0.28081207332726876,-0.28081207332726876,19.5
current_front,18.0,0.0,42.0,17.81652635904155,17.535714285714285,17.535714285714285,-0.2808120733272652,-0.2808120733272652,19.5
current_front,18.0,0.0,44.0,18.868566877781493,18.508832500310874,18.508832500310874,-0.35973437747061965,-0.35973437747061965,19.5
current_front,18.0,3.0,13.0,4.388431186588013,3.7261904761904763,3.7261904761904763,-0.662240710397537,-0.662240710397537,19.5
current_front,18.0,3.0,15.0,4.959797275756732,4.678571428571429,4.678571428571429,-0.2812258471853033,-0.2812258471853033,19.5
current_front,18.0,3.0,17.0,5.91176452444331,5.6309523809523805,5.6309523809523805,-0.2808121434909294,-0.2808121434909294,19.5
current_front,18.0,3.0,19.0,6.8641454066725345,6.583333333333333,6.583333333333333,-0.28081207333920144,-0.28081207333920144,19.5
current_front,18.0,3.0,21.0,7.816526359041555,7.535714285714286,7.535714285714286,-0.28081207332726965,-0.28081207332726965,19.5
current_front,18.0,3.0,23.0,8.768907311422513,8.488095238095237,8.488095238095237,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,3.0,25.0,9.721288263803466,9.44047619047619,9.44047619047619,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,3.0,27.0,10.673669216184418,10.392857142857142,10.392857142857142,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,3.0,29.0,11.62605016856537,11.345238095238095,11.345238095238095,-0.28081207332727587,-0.28081207332727587,19.5
current_front,18.0,3.0,31.0,12.578431120946322,12.297619047619047,12.297619047619047,-0.2808120733272741,-0.2808120733272741,19.5
current_front,18.0,3.0,33.0,13.53081207332727,13.25,13.25,-0.28081207332727054,-0.28081207332727054,19.5
current_front,18.0,3.0,35.0,14.483193025708223,14.20238095238095,14.20238095238095,-0.2808120733272723,-0.2808120733272723,19.5
current_front,18.0,3.0,37.0,15.435573978089176,15.154761904761905,15.154761904761905,-0.28081207332727054,-0.28081207332727054,19.5
current_front,18.0,3.0,39.0,16.387954930470123,16.107142857142858,16.107142857142858,-0.2808120733272652,-0.2808120733272652,19.5
current_front,18.0,3.0,41.0,17.340335882851075,17.05952380952381,17.05952380952381,-0.2808120733272652,-0.2808120733272652,19.5
current_front,18.0,3.0,43.0,18.29292463969535,18.01190476190476,18.01190476190476,-0.281019877790591,-0.281019877790591,19.5
shelf_running,6.0,0.0,8.0,1.5462935560214652,1.3452355934243163,-2.5,-0.20105796259714892,-4.046293556021466,7.5
shelf_running,6.0,0.0,10.0,2.269899572996036,2.2976190476190474,-2.142857142857143,0.027719474623011386,-4.412756715853179,7.5
