front,s,z,alpha_axis,nec_content_per_length,max_abs_component,max_abs_energy
shelf_running,3.0,16.4125,2.718281828459045,1.575131150454464,0.0262085354962559,0.0
shelf_static,3.0,16.4125,2.718281828459045,1.575131150454464,0.0262085354962559,0.0
