front,decel,kind,launches,mean_final_energy,median_final_energy,max_final_energy,max_energy_along_path,share_above_10,share_above_1e3
current_front,6.0,light,32,6145.853154369791,1.0,99039.33889590963,99039.33889590963,0.1351643598615917,0.1351643598615917
current_front,6.0,matter,32,4.4411018148800194e+20,116368.89770041847,1.002409167814272e+22,1.002409167814272e+22,0.5406574394463668,0.4835640138408305
current_front,12.0,light,72,2.4740511282630895e+28,1.0,1.3080117560136374e+30,1.3080117560136374e+30,0.18021914648212226,0.18021914648212226
current_front,12.0,matter,72,2.4314331567425975e+45,147888.41878112432,1.3127719194710653e+47,1.3127719194710653e+47,0.48058439061899266,0.48058439061899266
current_front,18.0,light,104,2.182552205723143e+53,1.0,1.7060097323416817e+55,1.7060097323416817e+55,0.20794516901783341,0.20794516901783341
current_front,18.0,matter,104,2.1663104499608392e+70,598799861721.5431,1.6952598322515305e+72,1.6952598322515305e+72,0.49906840564280014,0.49906840564280014
shelf_running,6.0,light,48,4.124000001591422,2.8582119906532233,8.710613948458747,8.710613948458747,0.0,0.0
shelf_running,6.0,matter,48,3.1818790387534874,3.2069788522297946,10.763957183312984,10.763957183312984,0.09010957324106113,0.0
shelf_running,12.0,light,80,4.7316838118994555,6.887980568904365,8.71061395155845,8.71061395155845,0.0,0.0
shelf_running,12.0,matter,80,3.2267337326256658,3.218247632847644,10.763957187131485,10.763957187131485,0.05406574394463668,0.0
shelf_running,18.0,light,112,4.9921197300937985,7.43867169973702,8.710613955157067,8.710613955157067,0.0,0.0
shelf_running,18.0,matter,112,3.4175942690168575,3.218247632854831,10.763957187133867,10.763957187133867,0.03861838853188334,0.0
shelf_static,6.0,light,48,2.17934528224241,2.718232338739522,2.7182818264414004,2.7182818264414004,0.0,0.0
shelf_static,6.0,matter,48,4.910758702271222,6.573880017511589,10.766215466096202,10.766215466096202,0.3604382929642445,0.0
shelf_static,12.0,light,80,2.274393109748141,2.7182818274058707,2.7182818274079823,2.7182818274079823,0.0,0.0
shelf_static,12.0,matter,80,5.708504147459174,10.676684263948642,10.76621546993354,10.76621546993354,0.43252595155709345,0.0
shelf_static,18.0,light,112,2.3338956450049038,2.71828182740547,2.718281827407481,2.718281827407481,0.0,0.0
shelf_static,18.0,matter,112,6.163104980710752,10.764473376403426,10.766215472607747,10.766215472607747,0.4634206623826001,0.0
cone,6.0,light,96,1.998523408744716,1.0080474593434912,11.64189007185587,11.64189007185587,2.18065167243368e-05,0.0
cone,6.0,matter,96,1.4707114071767975,1.0004597972568634,6.675414329619351,6.675414329619351,0.0,0.0
cone,12.0,light,112,2.230254328916501,1.0091761169194118,11.64189007185587,11.64189007185587,7.476520019772616e-05,0.0
cone,12.0,matter,112,1.797605081656424,1.4250534931087153,12.175638962740837,12.175638962740837,0.03262481463173505,0.0
cone,18.0,light,136,2.097747014241762,1.0,11.64189007185587,11.64189007185587,9.235701200895587e-05,0.0
cone,18.0,matter,136,1.8623001804910568,1.5624100056644736,14.176589386799082,14.176589386799082,0.03663749236718909,0.0
