family,unload_fraction,route,time,required_negative_null,peak_x,peak_null_cosine,auxiliary_ADM
dec_floor,0.0,delivery_drift050,0.0,0.1128134983795393,-0.50078125,0.40966056230925474,148.40970874237746
dec_floor,0.0,delivery_drift050,0.5,0.08418915724871257,-0.50078125,0.018498797935894918,160.14159794364755
dec_floor,0.0,delivery_drift050,1.285,0.4070488589769503,-0.51328125,-0.033507757780026945,199.47104020986998
dec_floor,0.0,delivery_drift090,0.0,0.1128134983795393,-0.50078125,0.40966056230925474,148.40970874237746
dec_floor,0.0,delivery_drift090,0.5,0.08418915724871257,-0.50078125,0.018498797935894918,160.14159794364755
dec_floor,0.0,delivery_drift090,1.285,0.4070488589769503,-0.51328125,-0.033507757780026945,199.47104020986998
dec_floor,0.0,guide_omitted_tensor_bound,0.0,0.09710410889387144,-0.50078125,1.0,-402.2629832951569
dec_floor,0.0,guide_omitted_tensor_bound,0.5,0.049919733340373175,-2.0992187500000004,-1.0,-149.6928318037984
dec_floor,0.0,guide_omitted_tensor_bound,1.285,0.35219509366171003,-0.51328125,-1.0,170.32178947388775
dec_floor,0.025,delivery_drift050,0.0,0.11197777631376264,-0.50078125,0.40155920737230466,147.1172326480075
dec_floor,0.025,delivery_drift050,0.5,0.08385733536033341,-0.50078125,0.015698424554005178,157.40874950059248
dec_floor,0.025,delivery_drift050,1.285,0.39952110888530906,-0.51328125,-0.03933143786456937,195.18591875829898
dec_floor,0.025,delivery_drift090,0.0,0.11197777631376264,-0.50078125,0.40155920737230466,147.1172326480075
dec_floor,0.025,delivery_drift090,0.5,0.08385733536033341,-0.50078125,0.015698424554005178,157.40874950059248
dec_floor,0.025,delivery_drift090,1.285,0.39952110888530906,-0.51328125,-0.03933143786456937,195.18591875829898
dec_floor,0.025,guide_omitted_tensor_bound,0.0,0.0957562405858635,-0.50078125,1.0,-403.5554593895269
dec_floor,0.025,guide_omitted_tensor_bound,0.5,0.0498419720931418,-2.0992187500000004,-1.0,-152.42568024685343
dec_floor,0.025,guide_omitted_tensor_bound,1.285,0.3456300727767395,-0.51328125,-1.0,166.0366680223168
dec_floor,0.05,delivery_drift050,0.0,0.11118733538360076,-0.50078125,0.394156510253158,145.8564402598077
dec_floor,0.05,delivery_drift050,0.5,0.08353108583947384,-0.50078125,0.012994537978439908,154.70541659497977
