q,analytic_ratio,energy_stiffness_ratio,quadrature_error_estimate,bvp_stiffness_ratio,bvp_nodes,bvp_maximum_residual,energy_absolute_error,bvp_absolute_error
0.05,-0.9988012837863964,-0.9988012837863964,7.425851267075276e-11,-0.9988012838495283,3075,9.991461003784678e-11,0.0,6.313183309458736e-11
0.1,-0.9954036196495263,-0.9954036196495264,1.3091672879916352e-13,-0.9954036196610071,3187,9.992932142241369e-11,1.1102230246251565e-16,1.1480816297648744e-11
0.2,-0.9831181727904666,-0.9831181727904664,9.710955131593964e-13,-0.9831181727925296,3293,9.998363442875402e-11,2.220446049250313e-16,2.0629054020560034e-12
0.5,-0.9183673469387755,-0.9183673469387755,2.0940570287956034e-12,-0.9183673469389864,3336,9.992117365327722e-11,0.0,2.1083135237631723e-13
1.0,-0.782608695652174,-0.7826086956521738,1.911855075857672e-14,-0.7826086956522323,3093,9.995235405507834e-11,1.1102230246251565e-16,5.839773109528323e-14
2.0,-0.5625,-0.5624999999999998,1.3697425022837496e-14,-0.562500000000008,3067,9.99965672668749e-11,2.220446049250313e-16,7.993605777301127e-15
3.0,-0.425531914893617,-0.4255319148936169,5.583106284622906e-13,-0.42553191489361797,3501,9.988789467045103e-11,1.1102230246251565e-16,9.43689570931383e-16
5.0,-0.2793791574279379,-0.279379157427938,3.457525832184037e-12,-0.2793791574279384,3424,9.97027856857093e-11,1.1102230246251565e-16,4.996003610813204e-16
10.0,-0.14688427299703263,-0.14688427299703266,2.0006223573769244e-15,-0.1468842729970327,3676,9.967301484649718e-11,2.7755575615628914e-17,5.551115123125783e-17
30.0,-0.04986929418861854,-0.04986929418861855,4.116016099312812e-14,-0.049869294188618546,5133,9.998700309579782e-11,1.3877787807814457e-17,6.938893903907228e-18
