width,angular_index,wave_number,q,k_width,k_radius,k_over_screening_momentum,gravitational_curvature_proxy_over_k_squared,screening_mass_over_chemical,local_estimate_window,chemical_profile_maximum_relative_difference,wall_tension_coefficient,cloud_coefficient,local_total_stiffness,destabilizing_cloud_over_wall_tension
0.025,10,1.5423659531913994,0.8113208953349025,0.038559148829784985,10.488088481701515,0.03173071445329278,0.2148651549181582,0.2247158639920782,False,0.0729237425122351,0.00013563018379609737,-0.001405452500516061,-0.0030207710821625435,10.362387347561064
0.025,11,1.689577248981773,0.8887575115004279,0.04223943122454433,11.489125293076057,0.03475925614364732,0.17905429576513185,0.2247158639920782,False,0.0729237425122351,0.00013563018379609737,-0.0013696281970038376,-0.003522658688222788,10.09825511305727
0.025,12,1.8367641171759996,0.9661812781738234,0.04591910292939999,12.489995996796797,0.03778729529108944,0.15150748103203462,0.2247158639920782,False,0.0729237425122351,0.00013563018379609737,-0.0013342603845318142,-0.00404382161147863,9.837488582465566
0.025,13,1.9839319945929474,1.0435950552501372,0.04959829986482369,13.490737563232042,0.040814943745953174,0.1298635551703154,0.2247158639920782,False,0.07040683331271758,0.00013563018379609737,-0.0012995348130416505,-0.004581112511303865,9.581457288263612
0.025,14,2.1310848156160938,1.1210009123079403,0.05327712039040235,14.491376746189436,0.04384228244933969,0.11254841448094002,0.2247158639920782,False,0.06654220819074008,0.00013563018379609737,-0.0012655890534214466,-0.00513173362070336,9.331175539244995
0.025,15,2.278225497769069,1.1984003840335238,0.05695563744422673,15.491933384829668,0.04686937142274326,0.09847986267082248,0.2247158639920782,False,0.06330405023545105,0.00013563018379609737,-0.0012325218324657438,-0.005693209249150416,9.08737124708673
0.025,16,2.42535625036333,1.2757946325768592,0.06063390625908325,16.492422502470642,0.04989625611778373,0.08689399647425515,0.2247158639920782,False,0.06056066825875639,0.00013563018379609737,-0.001200400786007665,-0.0062633564835974575,8.850543090115648
0.025,17,2.5724787771376323,1.3531845541447454,0.06431196942844081,17.4928556845359,0.05292297158505844,0.07723910797711571,0.2247158639920782,False,0.058213316886471134,0.00013563018379609737,-0.0011692688481051863,-0.006840255866751323,8.621007620715403
0.025,18,2.7195944130745486,1.430570850969524,0.06798986032686372,18.49324200890693,0.05594954528883468,0.06910867555847192,0.2247158639920782,False,0.056186989099060725,0.00013563018379609737,-0.0011391494819283665,-0.007422223182552684,8.39893783260614
0.025,19,2.86670421906146,1.507954081102998,0.0716676054765365,19.493588689617926,0.05897599905448697,0.062197808002624734,0.2247158639920782,False,0.054423697350799216,0.00013563018379609737,-0.001110050938426805,-0.00800778301815893,8.184394559957425
0.025,20,3.0138090488116465,1.5853346936185018,0.07534522622029116,20.493901531919196,0.06200235044524811,0.05627420724047001,0.2247158639920782,False,0.05287814904581567,0.00013563018379609737,-0.0010819697063827085,-0.00859564445256005,7.977351914595291
0.025,21,3.1609095970889234,1.6627130539782013,0.07902273992722308,21.494185260204677,0.06502861375432276,0.051158370218609084,0.2247158639920782,False,0.0515144912274913,0.00013563018379609737,-0.0010548932947712817,-0.009184679006715728,7.777717800317802
