radius,energy_relative_error,pressure_relative_error
6.8,1.3322676295501878e-15,5.773159728050814e-15
6.97452469597174,2.220446049250313e-16,4.440892098500626e-16
7.525437053962186,8.881784197001252e-16,5.551115123125783e-16
8.328265125462805,3.3306690738754696e-16,3.3306690738754696e-16
9.695914214532236,1.1102230246251565e-16,4.1744385725905886e-14
