w,energy,axial_pressure,hoop_pressure,normal_pressure_integral,condensate_integral,current_magnitude,center_condensate,max_normal_pressure,minimum_potential,max_bvp_residual,outer_tail_derivative,nodes,current_mode_speed_squared,axial_transverse_speed_squared,hoop_transverse_speed_squared,envelope_derivative_error
0.0,0.5166533442957821,-0.5166533442957821,-0.5166533442957821,-7.180630181117145e-11,2.8911786299091116,0.0,0.7071270157913594,1.2528499071517984e-11,2.465190328815662e-32,9.72868711658906e-09,3.4837763613654967e-08,603,1.0,1.0,1.0,-0.00033999955379737656
0.003095166612513632,0.5210746115072469,-0.5210746115072469,-0.5123371543178344,-7.578593502069224e-11,2.822935978337125,0.1570518457681193,0.7029134861671581,1.3209079663401013e-11,4.6344180525230835e-51,9.973693203251545e-09,3.01703118541675e-08,594,0.9523633858907001,1.0,0.9832318501104118,0.00016748708599734208
0.006190333225027264,0.525391838286068,-0.525391838286068,-0.5083269249067098,-7.571480114179732e-11,2.7567035180538073,0.2168937683479167,0.6986750513912147,1.3470564941275853e-11,1.0483268676215958e-51,9.903052047865666e-09,2.6159153815685415e-08,594,0.9052721149839824,1.0,0.9675196450804656,0.00015802217756744064
0.009285499837540897,0.529608046406862,-0.529608046406862,-0.5046080672029303,-7.564630599201588e-11,2.692367631396399,0.2594400408461436,0.6944112185589789,1.3741181803528235e-11,8.094242556811153e-52,9.829736505225219e-09,2.270719014322792e-08,594,0.8586229443734688,1.0,0.9527953183990602,0.00014931899656023262
0.012380666450054529,0.533726089021724,-0.533726089021724,-0.5011671171299309,-7.558699236784064e-11,2.6298238485901404,0.29261640549807505,0.6901214820438907,1.4076177723421068e-11,2.465190328815662e-32,9.75545741947248e-09,1.9732468835513036e-08,594,0.8123194000773869,1.0,0.9389968514533905,0.00014129896353143323
0.01547583306256816,0.5377486640674789,-0.5377486640674789,-0.4979916218663997,-7.582603386150329e-11,2.568975901997851,0.3195854867625939,0.6858053227439941,1.4421921989971054e-11,2.34016280430655e-51,9.869241729553292e-09,1.7165689370237185e-08,593,0.7662707742493041,1.0,0.9260676132593976,0.00013389326678914237
0.018570999675081794,0.541678326305878,-0.541678326305878,-0.49507004031421914,-7.809910779537087e-11,2.5097348988809105,0.34201526563925244,0.6814622073043832,1.5064692548971692e-11,5.179986524146563e-51,9.947190682217706e-09,1.4948141822546652e-08,592,0.7203912489927442,1.0,0.9139557856975437,0.00012704141320640794
0.021666166287595424,0.5455174981614365,-0.5455174981614365,-0.4923916555362871,-7.80976994457658e-11,2.4520185952586155,0.3609231968239904,0.6770915873084586,1.546808514607534e-11,7.93650351708552e-53,9.87741732066412e-09,1.303000077188976e-08,592,0.6745991253558787,1.0,0.9026138615091176,0.00012069007214732252
0.024761332900109057,0.5492684795069486,-0.5492684795069486,-0.4899464974755823,-7.836950022544504e-11,2.395750756660796,0.3769889697832863,0.6726928984449635,1.5907636319312246e-11,2.465190328815662e-32,9.943345365970062e-09,1.1368909307423645e-08,591,0.6288161391326715,1.0,0.8919982044398093,0.00011479232422217933
0.02785649951262269,0.5529334565180958,-0.5529334565180958,-0.48772527454124415,-7.84014490783529e-11,2.340860593316968,0.39069587091682206,0.6682655596315399,1.6330457819346833e-11,1.832958025060786e-52,9.793336475654096e-09,9.928801035700004e-09,591,0.5829668482373213,1.0,0.8820686626787294,0.00010930649022711236
