w,energy,axial_pressure,hoop_pressure,normal_pressure_integral,condensate_integral,current_magnitude,center_condensate,max_normal_pressure,minimum_potential,max_bvp_residual,outer_tail_derivative,nodes,current_mode_speed_squared,axial_transverse_speed_squared,hoop_transverse_speed_squared,envelope_derivative_error
-0.0803300858899107,0.8276428772526564,-0.4079067032690054,-0.4079067032690054,-5.359318955575503e-11,5.225142850698347,1.4809393872370848,0.8042331619344932,1.663914145355605e-11,1.6594312150905948e-50,9.952338749012105e-09,4.009304425107305e-08,629,0.3053774919136265,0.49285351747730055,0.49285351747730055,-0.0028417440414898465
-0.077652416360247,0.8057689588115496,-0.4147731690176067,-0.4147731690176067,-5.3836110500856034e-11,5.0352044163059375,1.4031192848533907,0.8006006416668043,1.9227147651790233e-11,6.162975822039155e-33,9.980132339959917e-09,3.409277855999021e-08,629,0.3232057691230202,0.5147544646412873,0.5147544646412873,0.001356077843180259
-0.07497474683058332,0.7858912320926263,-0.4213965789668168,-0.4213965789668168,-5.514596297808764e-11,4.861565640887589,1.3311704180621187,0.7969639501985947,2.2125898335723093e-11,6.162975822039155e-33,9.904058395349309e-09,2.9149507205733567e-08,630,0.34232475071302615,0.536202163554804,0.536202163554804,0.0011404463220836547
-0.07229707730091962,0.7677111287813198,-0.42779694267740487,-0.42779694267740487,-5.80347035473457e-11,4.701631086538972,1.264180012554288,0.7933219814122697,2.538552701381036e-11,1.737906769696156e-51,9.872960038204528e-09,2.5039477977470135e-08,631,0.3610356498832583,0.5572368650647261,0.5572368650647261,0.000972544405049014
-0.06961940777125593,0.7509948736166239,-0.4339912015720012,-0.4339912015720012,-6.076575261131984e-11,4.553380762533655,1.201431821594764,0.7896737590610189,2.8907369553632378e-11,3.570744484455813e-51,9.964004939658009e-09,2.1595906612746337e-08,631,0.3794391807613726,0.5778883675756618,0.5778883675756618,0.0008392349792289977
-0.06694173824159225,0.7355558147636642,-0.4399938859900624,-0.4399938859900624,-6.878928037541463e-11,4.415211444120572,1.1423521393894074,0.7860184095862631,3.234811724039943e-11,1.5293682346871544e-57,9.945189899830006e-09,1.8691856478214606e-08,633,0.39762350463142626,0.5981787882832977,0.5981787882832977,0.0007316131045560503
-0.06426406871192855,0.7212424199452402,-0.4458175967591803,-0.4458175967591803,-7.895105682569567e-11,4.285829215400054,1.0864730801346207,0.7823551417433352,1.2351689115952524e-11,1.3029131508087928e-51,9.997265556494901e-09,1.6229023719550257e-08,635,0.4156675546509333,0.6181244813540344,0.6181244813540344,0.0006434682408751335
-0.06158639918226486,0.7079298844797811,-0.4514733662800854,-0.4514733662800854,-7.694011994138013e-11,4.164174584078428,1.033406848733073,0.7786832310143867,1.2408817029463393e-11,1.6637217047361864e-51,9.779496467314483e-09,1.4130152118058683e-08,634,0.43364352395186917,0.637737403347294,0.637737403347294,0.0005703617643795234
-0.058908729652601174,0.6955141177442076,-0.4569709346398019,-0.4569709346398019,-7.556962563263964e-11,4.049368990150555,0.9828272322614927,0.7750020075739207,1.2584482067534708e-11,4.7448496544345496e-52,9.713779207374634e-09,1.2333760665239367e-08,632,0.45161878893427876,0.6570261091491807,0.6570261091491807,0.0005090522954418475
-0.056231060122937486,0.6839073401469903,-0.4623189643870176,-0.4623189643870176,-7.72012512402038e-11,3.940675763101675,0.9344559603011753,0.7713108466259121,1.3002376952897521e-11,6.162975822039155e-33,9.86777490342446e-09,1.0790391083468837e-08,629,0.469657448808222,0.6759964943316045,0.6759964943316045,0.0004571277479312741
-0.0535533905932738,0.6730347979426757,-0.46752521013102705,-0.46752521013102705,-7.608104042684572e-11,3.8374710832494023,0.888052419937982,0.7676091607251544,1.318502945713007e-11,2.2142231536006488e-52,9.759478911799995e-09,9.459881774542253e-09,628,0.48782160471971,0.6946523590758639,0.6946523590758639,0.00041276311546067923
-0.05087572106361011,0.6628322706617958,-0.4725966542640344,-0.4725966542640344,-7.54749974484414e-11,3.739222018296491,0.8434057182037092,0.7638963935187327,1.3409960641919128e-11,5.149726954044453e-53,9.68873894193558e-09,8.30935144728228e-09,626,0.5061724594558775,0.7129958440197499,0.7129958440197499,0.0003745569429425277
