scope,case,points,channel,description,weight,total_burden,live_packet_burden,geometric_packet_burden,live_packet_fraction,geometric_packet_fraction,point_peak,live_packet_point_peak,stage,region,V,variant
stage,V10_tuned_w0569_eta200,1460,abs_j_l,radial current magnitude,volume,0.0270502651584846,0.0002244772360666,0.0002244772360666,0.0082985225746011,0.0082985225746011,0.0020626455820152,2.2148659996293164e-06,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,abs_j_l,radial current magnitude,volume,0.0513689354994567,0.0018883266414686,0.0018883266414686,0.036760089013109,0.036760089013109,0.0038847394609976,0.0001236270277199,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,abs_j_l,radial current magnitude,volume,0.0828069365218846,0.0,0.0100763570953759,0.0,0.1216849399169951,0.006162195724875,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,abs_j_l,radial current magnitude,volume,0.0998880122915061,0.0,0.0190589843643673,0.0,0.1908035201335961,0.009050198735481,0.0,reset_decompression,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,1460,abs_pOmega,angular pressure magnitude,volume,1.5360646839653995,0.0038772691157237,0.0038772691157237,0.0025241574500069,0.0025241574500069,0.0835713567910318,1.606962516212971e-05,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,abs_pOmega,angular pressure magnitude,volume,0.5930388036114808,0.0033374687054171,0.0033374687054171,0.0056277408579213,0.0056277408579213,0.0779777528033351,0.000116241540896,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,abs_pOmega,angular pressure magnitude,volume,0.3601269929508063,0.0,0.014970936924959,0.0,0.0415712712959677,0.0636385180679547,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,abs_pOmega,angular pressure magnitude,volume,0.3954760020012045,0.0,0.0699308375271243,0.0,0.1768270063752473,0.0441556474995205,0.0,reset_decompression,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,1460,abs_p_l,radial pressure magnitude,volume,45.032323288576976,12.7537403549309,12.7537403549309,0.2832130217488923,0.2832130217488923,0.0115533557033858,0.0095305610972361,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,abs_p_l,radial pressure magnitude,volume,4.880347534611333,1.0780973377481828,1.0780973377481828,0.2209058535488173,0.2209058535488173,0.0111572809762657,0.0092851777995831,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,abs_p_l,radial pressure magnitude,volume,1.000321859656328,0.0,0.1591547838109322,0.0,0.15910357478903,0.0097878156959535,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,abs_p_l,radial pressure magnitude,volume,0.2107949749367399,0.0,0.0244848650610662,0.0,0.1161548802025008,0.0091172810699512,0.0,reset_decompression,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,1460,neg_Tkk_radial,negative radial null contraction,volume,276.7514640476562,63.84693728726868,63.84693728726868,0.2307013533134347,0.2307013533134347,0.1426859507291613,0.1426859507291613,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,neg_Tkk_radial,negative radial null contraction,volume,34.16960518690825,8.532511266608214,8.532511266608214,0.2497105605972106,0.2497105605972106,0.0983289835205809,0.0965217903526839,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,neg_Tkk_radial,negative radial null contraction,volume,5.388307305159319,0.0,1.4681287855820553,0.0,0.2724656747354253,0.0764217853813591,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,neg_Tkk_radial,negative radial null contraction,volume,0.9935025352747824,0.0,0.240314581460638,0.0,0.2418862286991265,0.056233946347344,0.0,reset_decompression,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,1460,neg_rho_euler,negative Eulerian density,volume,0.1794201363707417,0.0,0.0,0.0,0.0,0.0123701092201406,0.0,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,neg_rho_euler,negative Eulerian density,volume,0.0784195575514471,0.0,0.0,0.0,0.0,0.0116326025579939,0.0,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,neg_rho_euler,negative Eulerian density,volume,0.055133546368424,0.0,0.0,0.0,0.0,0.0104765566022953,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,neg_rho_euler,negative Eulerian density,volume,0.0313319977148591,0.0,7.731216846581951e-05,0.0,0.002467514812474,0.0086638860309026,0.0,reset_decompression,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,1460,neg_rho_packet,negative packet-comoving density,volume,0.2566428710316936,0.0,0.0,0.0,0.0,0.2901041936041418,0.0,catch_rematch,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,657,neg_rho_packet,negative packet-comoving density,volume,0.1264594848127692,0.0,0.0,0.0,0.0,0.0207140577168819,0.0,release_shift_fade,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,511,neg_rho_packet,negative packet-comoving density,volume,0.0899932621217111,0.0,0.0,0.0,0.0,0.020767535031507,0.0,post_release_buffer,,10.0,tuned_w0569_eta200
stage,V10_tuned_w0569_eta200,365,neg_rho_packet,negative packet-comoving density,volume,0.0549421278611768,0.0,0.0043092949142538,0.0,0.0784333458132927,0.020501463950855,0.0,reset_decompression,,10.0,tuned_w0569_eta200
