scope,points,type_i,type_iv,other_type,uncertified,min_radial_null_at,min_angular_null_at,max_abs_p_omega_at,min_null_energy_product,min_product_s,min_product_l,imaginary_eigenvalue_integral,max_imaginary_eigenvalue,min_radial_null_energy,min_angular_null_energy,angular_null_deficit_integral,min_rho,max_abs_p_omega,min_dec_type_i,max_abs_j_l,opening_integral_sigma15,max_abs_rho_plus_p_finest,max_abs_j_finest,max_abs_channel
map/beta075_repaired_reference,141661,128074,13587,0,0,"(1.925, -1.8)","(1.55, 2.05)","(1.575, 2.25)",-0.0020794850302293206,1.875,-1.8,0.03383434766254213,0.022800685462444542,-0.05730900848169176,-0.3117862324907891,0.40102922522420664,-0.013079238974924008,0.6888823103435266,-0.6956579703739894,0.023028871630299316,,,,
map/constant_radius_repaired_service,141661,141661,0,0,0,"(-1.5, -5.7)","(1.55, 2.05)","(1.575, 2.25)",0.0,-1.5,-7.975,0.0,0.0,-0.05771692633707866,-0.2928157908082701,0.4956746814603891,-0.048615178709973554,0.6984944662216991,-0.6855022259692994,0.0,,,,
map/constant_radius_smooth,141661,141661,0,0,0,"(-1.5, -5.7)","(1.55, 2.05)","(1.575, 2.25)",0.0,-1.5,-7.975,0.0,0.0,-0.05771692633707866,-0.2928157908100652,0.4998860269799232,-0.048615178709973554,0.6984944662216991,-0.6855022259692994,0.0,,,,
late/beta075_repaired_reference,963,963,0,0,0,,,,,,,,,,,,-0.012992190122857647,,,2.6253823272124278e-08,,,,
late/constant_radius_repaired_service,963,963,0,0,0,,,,,,,,,,,,-0.04856171075121739,,,0.0,,,,
late/constant_radius_smooth,963,963,0,0,0,,,,,,,,,,,,-0.04856171075121739,,,0.0,2.0000005262170717,,,
variation/transition_width_0p75,40071,40071,0,0,0,"(-1.5, -5.35)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.118010335330321,-0.2928157908100652,0.5414022287316701,-0.1081836065452855,0.6643533433229002,-0.6513611030705005,0.0,,,,
variation/transition_width_3p0,40071,40071,0,0,0,"(-1.5, -6.3)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.027827515984756322,-0.2928157908100652,0.4295831670773584,-0.019617073487859456,0.6643533433229002,-0.6513611030705005,0.0,,,,
variation/track_half_length_4p5,40071,40071,0,0,0,"(-1.5, -5.2)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.05771692633707866,-0.2928157908100652,0.4958470189922436,-0.04856171075121739,0.6643533433229002,-0.6513611030705005,0.0,,,,
variation/track_half_length_6p0,40071,40071,0,0,0,"(-1.5, -6.7)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.05771692633707866,-0.2928157908100652,0.49584701899222794,-0.04856171075121739,0.6643533433229002,-0.6513611030705005,0.0,,,,
variation/track_radius_1p4,40071,40071,0,0,0,"(-1.5, -5.7)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.0713662305021445,-0.28550765566809044,0.47945573607661923,-0.057492808128384074,0.6643533433229002,-0.6440529679285257,0.0,,,,
variation/track_radius_2p14,40071,40071,0,0,0,"(-1.5, -5.7)","(1.55, 2.05)","(1.55, 2.25)",0.0,-1.5,-9.0,0.0,0.0,-0.04757745093032787,-0.29711977536917855,0.5002889955556705,-0.041367128542697924,0.6643533433229002,-0.655665087629614,0.0,,,,
ladder/beta075_repaired_reference/legacy,129,95,34,0,0,,,,,,,,,,,,,,,,,0.03988435659361837,0.02301278891158145,
ladder/beta075_repaired_reference/warped,129,95,34,0,0,,,,,,,,,,,,,,,,,0.03988536089489098,0.02301279932979178,
ladder/constant_radius_repaired_service/legacy,129,86,16,27,27,,,,,,,,,,,,,,,,,0.05725003921658724,7.169910519378094e-07,
ladder/constant_radius_repaired_service/warped,129,129,0,0,0,,,,,,,,,,,,,,,,,0.057250038445919735,0.0,
ladder/constant_radius_smooth/legacy,129,85,17,27,27,,,,,,,,,,,,,,,,,0.05725003921658724,7.169910519378094e-07,
ladder/constant_radius_smooth/warped,129,129,0,0,0,,,,,,,,,,,,,,,,,0.057250038445919735,0.0,
holding/constant_radius_smooth,5128,5128,0,0,0,,,,,,,,,,,,,,,0.0,,,,
exterior/constant_radius_smooth,140,140,0,0,0,,,,,,,,,,,,,,,,,,,5.5054287717933956e-09
