arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner,1.0,-1.5,-6.820087145776335e-07,4.349415675943173e-07,2.4699909629876184e-07,-6.805068455439288e-11,-4.9892382832193283e-05
inner,1.0,-2.8,-0.00013924380997779818,-6.23494360791989e-05,0.000201590288772723,-2.957284274071343e-09,-7.334833936907464e-06
inner,1.0,-4.0,-2.747758049100796e-05,-4.043377117808575e-09,2.7481623339395186e-05,-5.287305796907848e-13,-9.619711471822126e-09
inner,1.0,-5.5,-4.082868582616136e-06,-6.57802734275029e-16,4.0828690274196564e-06,4.441457179590728e-13,5.4391377623674003e-08
inner,8.0,-1.5,-9.555177077493997e-07,5.992230422566131e-07,3.5614702058479606e-07,-1.4764490799045556e-10,-7.726508603108944e-05
inner,8.0,-2.8,-0.0002255855715626933,-0.0001010940105891328,0.00032667328361319514,-6.298538630976694e-09,-9.640332140583228e-06
inner,8.0,-4.0,-3.5766111453265294e-05,-5.2739717887052225e-09,3.577138023908609e-05,-5.1859679135106244e-12,-7.24876633628664e-08
inner,8.0,-5.5,-4.859709599643435e-06,-7.833252912583735e-16,4.85971004251347e-06,4.4208670961330557e-13,4.5484887560587885e-08
inner,64.0,-1.5,-1.0106530097400148e-06,6.304846867368994e-07,3.7999707951328546e-07,-1.7124348982998497e-10,-8.47264080873028e-05
inner,64.0,-2.8,-0.00025110875475051463,-0.00011352150651164792,0.00036462266766728457,-7.593594877951335e-09,-1.0412841110009434e-05
inner,64.0,-4.0,-3.7699052671200334e-05,-5.574980455797461e-09,3.770462072359621e-05,-6.928059918830977e-12,-9.187281491463073e-08
inner,64.0,-5.5,-5.0129491103835005e-06,-8.090697447677298e-16,5.012949541973141e-06,4.3078057058456264e-13,4.2966778888049326e-08
inner_pair,1.0,-1.5,4.765815557450965e-06,-6.550548394116991e-06,1.784572472263474e-06,-1.6036440255158068e-10,-1.2240682449223073e-05
inner_pair,1.0,-2.8,-0.00014002874541717096,-6.270381467556606e-05,0.00020272959676979972,-2.9633229372931502e-09,-7.3085068165752435e-06
inner_pair,1.0,-4.0,-2.7711743832290514e-05,-4.0762775370137875e-09,2.771581962012164e-05,-4.897058880095045e-13,-8.834411004170984e-09
inner_pair,1.0,-5.5,-4.120423740098239e-06,-6.635813701324526e-16,4.120424189811049e-06,4.4904922811314467e-13,5.4490658230351376e-08
inner_pair,8.0,-1.5,5.7521020835313645e-06,-7.829462982031826e-06,2.077105191286107e-06,-2.5570721435499665e-10,-1.6330072104503708e-05
inner_pair,8.0,-2.8,-0.00022560546307863377,-0.00010110230252616466,0.0003267014669004132,-6.298704385268496e-09,-9.63975418761512e-06
inner_pair,8.0,-4.0,-3.577141041525281e-05,-5.274694517593102e-09,3.577667992455015e-05,-5.1852202476924784e-12,-7.246647652707022e-08
inner_pair,8.0,-5.5,-4.860519190271115e-06,-7.83447607504221e-16,4.86051963324115e-06,4.4218658750328106e-13,4.548758579156455e-08
inner_pair,64.0,-1.5,5.916272807782951e-06,-8.047726535752414e-06,2.131171881113037e-06,-2.818468564255097e-10,-1.7511267975446255e-05
inner_pair,64.0,-2.8,-0.00025110908941096936,-0.00011352164402614608,0.0003646231398394098,-7.593597705604811e-09,-1.0412831503365085e-05
inner_pair,64.0,-4.0,-3.769913999215022e-05,-5.574992305954432e-09,3.770470805640709e-05,-6.928049090361779e-12,-9.187245852030416e-08
inner_pair,64.0,-5.5,-5.012962341456055e-06,-8.090717379401566e-16,5.012962773047487e-06,4.307823603651802e-13,4.296684399799132e-08
spanning_pair,1.0,-1.5,1.4374999288708377e-06,-2.500654443788768e-06,1.063094334064106e-06,-6.018085382443726e-11,-1.2033165585932513e-05
spanning_pair,1.0,-2.8,-3.1375809233941444e-05,-2.4554044661630513e-05,5.592971365420823e-05,-1.4024136372185097e-10,-1.253727032865921e-06
spanning_pair,1.0,-4.0,-4.0219131051924455e-05,-9.096241850224645e-09,4.022832832205548e-05,1.0102828080002903e-10,1.2556873709884655e-06
spanning_pair,1.0,-5.5,-0.0003744994647205914,-8.670557719777928e-14,0.00037451588491763766,1.6420110340647706e-08,2.192226146857706e-05
spanning_pair,8.0,-1.5,1.4837834581814605e-06,-2.5877695216189514e-06,1.1039195745079093e-06,-6.648892958159409e-11,-1.2846929219293296e-05
spanning_pair,8.0,-2.8,-3.7470413500674814e-05,-3.172261482405679e-05,6.91928980537693e-05,-1.3027096231171126e-10,-9.413599035743395e-07
spanning_pair,8.0,-4.0,-6.84750541766022e-05,-1.5957587357065416e-08,6.849126680193237e-05,2.550379731079515e-10,1.8618318791161905e-06
spanning_pair,8.0,-5.5,-0.0010774781148590656,-2.4758654717391263e-13,0.0010775403411288464,6.222602219434215e-08,2.8874937017032276e-05
