s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-2.076521584245993,0.023478415754005787,0.14548324305929258,6.940851126856741e-12,0.25004998699422004,0.0,0.0,0.00502672871871241,0.0,0.00502672871871241,1.726521584245993,0.0,0.0,0.0,0.25004998699422004
0.005,-2.07654025406347,0.023478415754005787,0.14564282151733998,-0.012744972414177581,0.25007800664101365,0.0,0.0,0.006173937422253792,0.0,0.006173937422253792,1.7315402540634697,2.8001665352415506e-05,0.0,2.8001665352415506e-05,0.2500779886595725
0.01,-2.0765962429920433,0.023478415754005787,0.14580374306916244,-0.025492963922396254,0.2501118124535524,0.0,0.0,0.007301453021626864,0.0,0.007301453021626864,1.736596242992043,6.169014146211714e-05,0.0,6.169014146211714e-05,0.25011167713568216
0.015,-2.0766895691227685,0.023478415754005787,0.14596619853572199,-0.038240007390036114,0.25015149362278594,0.0,0.0,0.008399839622924867,0.0,0.008399839622924867,1.7416895691227685,0.00010094337307349645,0.0,0.00010094337307349645,0.2501509303672935
0.02,-2.076820242906011,0.023478415754005787,0.1461299091115967,-0.050982404426327475,0.2501967253223784,0.0,0.0,0.009459762524815628,0.0,0.009459762524815628,1.746820242906011,0.0001455923784428477,0.0,0.0001455923784428477,0.2501955793726629
0.025,-2.0769882655237644,0.023478415754005787,0.14629482097754942,-0.06371645461318919,0.2502472776207746,0.0,0.0,0.010471980789971828,0.0,0.010471980789971828,1.7519882655237642,0.00019542173672981635,0.0,0.00019542173672981635,0.25024540873094986
0.03,-2.0771936282550745,0.023478415754005787,0.14646090790805058,-0.07643853262680328,0.25030283591394786,0.0,0.0,0.011427412815623527,0.0,0.011427412815623527,1.7571936282550742,0.0002501702207438047,0.0,0.0002501702207438047,0.25030015721496385
0.035,-2.077436322376676,0.023478415754005787,0.14662819738308364,-0.08914494543534641,0.25036306950468135,0.0,0.0,0.012317166620479065,0.0,0.012317166620479065,1.7624363223766761,0.00030953166933406125,0.0,0.00030953166933406125,0.2503595186635541
0.04,-2.077716330341614,0.023478415754005787,0.1467967073677654,-0.10183216323377149,0.2504275458688574,0.0,0.0,0.013132621555011333,0.0,0.013132621555011333,1.7677163303416141,0.00037315613977278723,0.0,0.00037315613977278723,0.25042314313399283
0.045,-2.0780336296457937,0.023478415754005787,0.14696642125658985,-0.11449682462751203,0.2504957384701785,0.0,0.0,0.013865491831691472,0.0,0.013865491831691472,1.7730336296457936,0.00044065142323954423,0.0,0.00044065142323954423,0.2504906384174596
