ledger,audit,metric,value
constant_radius_repaired_service,service_time,packet_coord_proxy_advantage_ratio,1.2333124324042934
constant_radius_repaired_service,service_time,request_schedule_factor_advantage_ratio,2.4872784325318253
constant_radius_repaired_service,service_time,request_packet_coord_proxy_advantage_ratio,1.1940974107062237
constant_radius_smooth,packet_safety,live_points,238.0
constant_radius_smooth,packet_safety,positive_live_packet_norm,0.0
constant_radius_smooth,packet_safety,max_live_packet_norm,-9.93512860272053
constant_radius_smooth,radial_escape,traces,1832.0
constant_radius_smooth,radial_escape,expected_escape,1696.0
constant_radius_smooth,radial_escape,escaped,1696.0
constant_radius_smooth,radial_escape,stalled,0.0
constant_radius_smooth,entry_reachability,reachable_packet_hits,0.0
constant_radius_smooth,entry_reachability,service_stage_hits,0.0
constant_radius_smooth,entry_reachability,carry_stage_hits,0.0
constant_radius_smooth,scheduled_probe,traces,235.0
constant_radius_smooth,scheduled_probe,escaped,224.0
constant_radius_smooth,scheduled_probe,max_packet_norm,-0.7499999999999998
constant_radius_smooth,scheduled_probe,min_areal_expansion_proxy,-0.3325024074378567
constant_radius_smooth,trace_expansion,traces,235.0
constant_radius_smooth,trace_expansion,radial_escape_count,224.0
constant_radius_smooth,trace_expansion,traces_entering_both_shrinking,0.0
constant_radius_smooth,trace_expansion,traces_sustained_to_end,0.0
constant_radius_smooth,trace_expansion,max_integrated_trapped_like_strength,0.0
constant_radius_smooth,dense_bundles_reference_centers,bundles,8.0
constant_radius_smooth,dense_bundles_reference_centers,rays,136.0
constant_radius_smooth,dense_bundles_reference_centers,escaped,136.0
constant_radius_smooth,dense_bundles_reference_centers,crossing_samples,0.0
constant_radius_smooth,dense_bundles_reference_centers,caustic_like_flags,0.0
constant_radius_smooth,dense_bundles_reference_centers,min_common_l_width_ratio,0.2757803494416494
constant_radius_smooth,dense_bundles_reference_centers,min_common_adjacent_l_gap_ratio,0.156557876113566
constant_radius_smooth,dense_bundles_reference_centers,min_all_both_l_width_ratio,
constant_radius_smooth,dense_bundles_reference_centers,max_initial_radius_width,0.0
constant_radius_smooth,dense_bundles_all_centers,bundles,8.0
constant_radius_smooth,dense_bundles_all_centers,rays,136.0
constant_radius_smooth,dense_bundles_all_centers,escaped,136.0
constant_radius_smooth,dense_bundles_all_centers,crossing_samples,0.0
constant_radius_smooth,dense_bundles_all_centers,caustic_like_flags,1.0
constant_radius_smooth,dense_bundles_all_centers,min_common_l_width_ratio,0.1810368193863865
constant_radius_smooth,dense_bundles_all_centers,min_common_adjacent_l_gap_ratio,0.1380207739949451
constant_radius_smooth,dense_bundles_all_centers,min_all_both_l_width_ratio,
constant_radius_smooth,dense_bundles_all_centers,max_initial_radius_width,2.220446049250313e-16
constant_radius_smooth,service_time,prepared_service_time,3.045
constant_radius_smooth,service_time,schedule_factor_distance,7.822459800874579
constant_radius_smooth,service_time,packet_coord_proxy_distance,3.755415997909369
constant_radius_smooth,service_time,schedule_factor_advantage_ratio,2.568952315558154
constant_radius_smooth,service_time,packet_coord_proxy_advantage_ratio,1.2333057464398585
constant_radius_smooth,service_time,request_schedule_factor_advantage_ratio,2.487268617130232
constant_radius_smooth,service_time,request_packet_coord_proxy_advantage_ratio,1.194090937332073
