audit,metric,beta075_rematch_w6_t1p5,constant_radius_repaired_service,constant_radius_smooth
packet_safety,live_points,238.0,238.0,238.0
packet_safety,positive_live_packet_norm,0.0,0.0,0.0
packet_safety,max_live_packet_norm,-9.93512860272052,-9.93512860272053,-9.93512860272053
radial_escape,traces,1832.0,1832.0,1832.0
radial_escape,expected_escape,1696.0,1696.0,1696.0
radial_escape,escaped,1696.0,1696.0,1696.0
radial_escape,stalled,0.0,0.0,0.0
entry_reachability,reachable_packet_hits,0.0,0.0,0.0
entry_reachability,service_stage_hits,0.0,0.0,0.0
entry_reachability,carry_stage_hits,0.0,0.0,0.0
scheduled_probe,traces,235.0,235.0,235.0
scheduled_probe,escaped,223.0,224.0,224.0
scheduled_probe,max_packet_norm,-0.7499999999999998,-0.7499999999999998,-0.7499999999999998
scheduled_probe,min_areal_expansion_proxy,-0.628456924752192,-0.3325024074378567,-0.3325024074378567
trace_expansion,traces,235.0,235.0,235.0
trace_expansion,radial_escape_count,224.0,224.0,224.0
trace_expansion,traces_entering_both_shrinking,77.0,0.0,0.0
trace_expansion,traces_sustained_to_end,0.0,0.0,0.0
trace_expansion,max_integrated_trapped_like_strength,0.2033680994552296,0.0,0.0
dense_bundles,escaped,136.0,,
dense_bundles,bundles,8.0,,
dense_bundles,rays,136.0,,
dense_bundles,crossing_samples,0.0,,
dense_bundles,caustic_like_flags,0.0,,
dense_bundles,min_common_l_width_ratio,0.2757916025045791,,
dense_bundles,min_common_adjacent_l_gap_ratio,0.1565787979512972,,
dense_bundles,min_all_both_l_width_ratio,0.2757916025045791,,
dense_bundles,max_initial_radius_width,0.2056287829624401,,
dense_bundles_all_centers,escaped,136.0,136.0,136.0
dense_bundles_all_centers,bundles,8.0,8.0,8.0
dense_bundles_all_centers,rays,136.0,136.0,136.0
dense_bundles_all_centers,crossing_samples,0.0,0.0,0.0
dense_bundles_all_centers,caustic_like_flags,0.0,1.0,1.0
dense_bundles_all_centers,min_common_l_width_ratio,0.2757916025045791,0.1810595517192454,0.1810368193863865
dense_bundles_all_centers,min_common_adjacent_l_gap_ratio,0.1565787979512972,0.1380305984552037,0.1380207739949451
dense_bundles_all_centers,min_all_both_l_width_ratio,0.2757916025045791,,
dense_bundles_all_centers,max_initial_radius_width,0.2056287829624401,2.220446049250313e-16,2.220446049250313e-16
service_time,prepared_service_time,3.045,3.045,3.045
service_time,schedule_factor_distance,7.8224906703125905,7.822490670312591,7.822459800874579
service_time,packet_coord_proxy_distance,3.7554363566710736,3.7554363566710736,3.755415997909369
service_time,schedule_factor_advantage_ratio,2.568962453304628,2.568962453304628,2.568952315558154
service_time,packet_coord_proxy_advantage_ratio,1.2333124324042934,1.2333124324042934,1.2333057464398585
service_time,request_schedule_factor_advantage_ratio,2.4872784325318253,2.4872784325318253,2.487268617130232
service_time,request_packet_coord_proxy_advantage_ratio,1.1940974107062237,1.1940974107062237,1.194090937332073
dense_bundles_reference_centers,escaped,,136.0,136.0
dense_bundles_reference_centers,bundles,,8.0,8.0
dense_bundles_reference_centers,rays,,136.0,136.0
dense_bundles_reference_centers,crossing_samples,,0.0,0.0
dense_bundles_reference_centers,caustic_like_flags,,0.0,0.0
dense_bundles_reference_centers,min_common_l_width_ratio,,0.2757916025045791,0.2757803494416494
dense_bundles_reference_centers,min_common_adjacent_l_gap_ratio,,0.1565787979512972,0.156557876113566
dense_bundles_reference_centers,max_initial_radius_width,,0.0,0.0
