s,l,required_negative_null,worst_direction_cosine,geometry_rho,geometry_pr,geometry_j,geometry_pt,endpoint_rho,endpoint_pr,endpoint_j,endpoint_pt,supply_rho,supply_pr,supply_j,supply_pt
0.0,-2.1,3.077803100920685,-7.924829713940135e-05,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,1.8551501565071034,-0.6197311240577055,5.019028019506512e-12,1.233644627464336
0.0,-2.075,2.724867459616296,-6.421083493328795e-05,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,1.5744154415075533,-0.7522026310730552,5.912161394030756e-12,1.1599374222436556
0.0,-2.0500000000000003,2.441131599302856,-5.079209828308823e-05,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,1.3521135121940393,-0.848249348882563,5.617945025415612e-12,1.0971973053594841
0.0,-2.025,2.2150395723400953,-3.809518983819595e-05,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,1.1783902423268728,-0.9141952818609849,4.037365075175336e-12,1.043659716671819
0.0,-2.0,2.0358903544412748,-2.630838326587038e-05,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,1.0441366988581633,-0.9559927044700028,1.6451697147353835e-12,0.9977474616219467
0.0,-1.975,1.9656257354130335,-1.5924739801460166e-05,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,0.9879021205673786,-0.9819758082314829,1.1983106707761985e-13,0.9829039009008176
0.0,-1.9500000000000002,2.007605117877863,-7.969615539635595e-06,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,1.0083293631865393,-1.0030226426458222,9.846797946726804e-14,1.0038915178307553
0.0,-1.925,2.050567087488853,-2.9755678055239622e-06,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,1.0294328638850065,-1.0245749265176103,5.5610469845547655e-14,1.02544068532401
0.0,-1.9000000000000001,2.095188269642004,-2.565757494474176e-07,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,1.0516030977064224,-1.0466932800270101,-2.510424716499384e-14,1.0477793995198181
0.0,-1.875,2.1407841437169863,1.342654929576463e-06,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,1.0743010730296638,-1.0694105491182537,-1.8858039193012383e-13,1.0706570933297879
0.0,-1.85,2.1870006730227325,2.2459524846450636e-06,0.004935758484661719,-0.005254446652765733,-1.7888641492039334e-05,0.00040738086519760485,-0.0003613926532464115,-0.00031290844609892666,-2.2791093840750823e-05,0.0014981517501384684,1.0972692195653144,-1.0927074718982233,-4.679988812423971e-13,1.0939378336993746
0.0,-1.8250000000000002,2.23438659208882,2.6166067481083283e-06,0.0050305208410209995,-0.005270972423623562,-1.4134620536244917e-05,0.00029049020685782245,-0.00032614489290730853,-0.00028381572413040465,-1.9970889314637773e-05,0.001369434972785143,1.1208639121509765,-1.1165804390301106,-9.514691550873877e-13,1.1178004008905738
0.0,-1.8,2.2830203595361516,2.594093082857382e-06,0.005115940808593638,-0.005297304400671625,-1.116525738577696e-05,0.00020755181087607938,-0.0002897863606429758,-0.0002537611474111484,-1.707801039534216e-05,0.0012357437730702338,1.1451209983142718,-1.1410532745345359,-1.7977614850462813e-12,1.1422768964135845
0.0,-1.7750000000000001,2.3329405795999194,2.294757901166552e-06,0.005194505715049918,-0.005331409430103398,-8.826342243638477e-06,0.00014907227070471232,-0.00025293800687783264,-0.0002232283293980614,-1.4171698847189585e-05,0.0010987693532416608,1.1700513827475556,-1.166150114549555,-3.2839684226383417e-12,1.1673869434794881
0.0,-1.75,2.384120806644325,1.8110890058924826e-06,0.005268140855280507,-0.005371675311497343,-6.989376053648017e-06,0.00010802267153342798,-0.00021613516308023844,-0.00019264319324942237,-1.1301014150075086e-05,0.0009601697475732611,1.195625417253332,-1.1918907163018573,-5.8332299413396865e-12,1.1931275183255052
0.0,-1.725,2.436506514456943,1.2178666954067584e-06,0.005338319587273901,-0.005416842437900631,-5.549095065081052e-06,7.9272935622738e-05,-0.00017989175597953904,-0.00016241723954885475,-8.512470212786192e-06,0.0008215946983453563,1.2217983857484647,-1.218287124107933,-9.997138903458641e-12,1.2194840182853999
0.0,-1.7000000000000002,2.490053639137703,5.758204875040176e-07,0.005406158705696318,-0.0054659387661892935,-4.420485519943504e-06,5.912757555955629e-05,-0.00014472171230507964,-0.00013296196887998098,-5.852580944110363e-06,0.0006846939478382644,1.2485357103588304,-1.2453444235345503,-1.6341266264770057e-11,1.2464432428237706
0.0,-1.675,2.5447791468959022,-6.777028964565651e-08,0.005472498057671539,-0.005518221667724671,-3.535687544851803e-06,4.495601229868615e-05,-0.00011109878940597808,-0.00010465919127061465,-3.3633786633074836e-06,0.0005510406841089129,1.2758449474591478,-1.2730653674445371,-2.5311339094822837e-11,1.2740117116120098
0.0,-1.6500000000000001,2.600832397466116,-6.819226021568344e-07,0.00553796511703101,-0.005573128218430285,-2.8410466295369952e-06,3.490573650589012e-05,-7.93360671104438e-05,-7.777195452533276e-05,-1.0689693315272027e-06,0.0004219018783206639,1.3038203363406946,-1.301459208183194,-3.7851416585817504e-11,1.3022423661665397
0.0,-1.625,2.658684897838138,-1.2442502889456904e-06,0.005603026169953192,-0.00563023413478169,-2.2944592028146914e-06,2.7684719169775992e-05,-4.9706455866457974e-05,-5.2533615892902304e-05,1.0110226796084868e-06,0.00029846794741348486,1.332763299880225,-1.3305591243884942,-6.161734939219093e-11,1.3313035473513763
0.0,-1.6,2.7182704760846095,-1.737767576994955e-06,0.005668025999929248,-0.0056892206065655634,-1.8630772254780341e-06,2.239958923204094e-05,-2.2482866122002697e-05,-2.9177532622091023e-05,2.856972998477517e-06,0.00018192930832734705,1.3626136003395404,-1.3604087541545502,-1.0649287413363831e-10,1.3611878548838232
0.0,-1.5750000000000002,2.7792522953256458,-2.1507025870788454e-06,0.0057332183408597085,-0.005749848221951768,-1.5213822930576427e-06,1.8437364686122283e-05,2.0868674843494202e-06,-7.921975353868457e-06,4.451572128428446e-06,7.352078042102379e-05,1.3931389531095926,-1.3910270365161228,-1.7464063999646219e-10,1.3917893902608478
0.0,-1.55,2.841694977063275,-2.4777752812300883e-06,0.005798788807692475,-0.005811936655247801,-1.2496068763662672e-06,1.538033377607451e-05,2.3855213551660938e-05,1.107513170198641e-05,5.786770072692117e-06,-2.5345207271489975e-05,1.4243796734089422,-1.4224179469627591,-2.7522239309024296e-10,1.4231309627720878
0.0,-1.525,2.9056858412513726,-2.716735214299576e-06,0.005864872084651621,-0.00587534914883722,-1.032463347413848e-06,1.2945621858225028e-05,4.269971648840282e-05,2.767095094349192e-05,6.8568317094699185e-06,-0.00011321182329739201,1.4563897042345717,-1.4545901960223138,-4.2443953084263696e-10,1.4552444668086881
0.0,-1.5,2.9713039835354236,-2.8669481759588256e-06,0.0059315646955091905,-0.005939980767099294,-8.581352049791041e-07,1.0942799462765372e-05,5.849792070304611e-05,4.172264476866646e-05,7.656021916963242e-06,-0.00018862223620388054,1.4892162273585021,-1.4875566046590687,-6.520940756331303e-10,1.4881603879629866
0.0,-1.475,3.038609929775161,-2.9312014222927827e-06,0.0059989343625654005,-0.006005749504539806,-7.174851496148463e-07,9.244464489874601e-06,7.118456586028849e-05,5.3141851453653526e-05,8.185343868694116e-06,-0.00025053328219811914,1.5228936353853275,-1.5213321467154404,-1.0127105706966407e-09,1.5219038219071337
0.0,-1.4500000000000002,3.1076281000291126,-2.9216563767119156e-06,0.006067026852495764,-0.006072589614592934,-6.034386289013574e-07,7.766023974663346e-06,8.092317264973259e-05,6.205811278709571e-05,8.472753919466998e-06,-0.0002995564681271253,1.557433358105022,-1.555931489266324,-1.5930328798926754e-09,1.5564881680695257
0.0,-1.425,3.1783595639011675,-2.8522809913037896e-06,0.00613587108227764,-0.0061404467403089425,-5.10507011192885e-07,6.451917143996881e-06,8.793445701720743e-05,6.865544643576054e-05,8.552946719406968e-06,-0.00033671696849788116,1.592832390850574,-1.5913667439575776,-2.5192892699977845e-09,1.5919182785356512
0.0,-1.4,3.2507980812199064,-2.7363946689079053e-06,0.006205482670639434,-0.006209274120802246,-4.344204598382522e-07,5.266294462625102e-06,9.243913490854188e-05,7.311787006641532e-05,8.460616918639084e-06,-0.0003630399578173675,1.6290840205317458,-1.6276466300549266,-3.96751124544658e-09,1.628195410451842
0.0,-1.375,3.3249222439995068,-2.5802232350866472e-06,0.006275866643209608,-0.006279029893782159,-3.718461966201704e-07,4.186740662739062e-06,9.449538306414832e-05,7.546559032512615e-05,8.20927899219619e-06,-0.0003781313764197107,1.6661719352382767,-1.6647758954700818,-6.1323534417094625e-09,1.665313998116333
0.0,-1.35,3.400753212055676,-2.364812567508288e-06,0.006347019317410008,-0.006349675006500622,-3.2017276081955583e-07,3.2000463586626725e-06,9.351122140277288e-05,7.506356977515373e-05,7.727726714742159e-06,-0.00037592022794761566,1.7041058943753529,-1.7027562211184397,-9.352193014885992e-09,1.7032799460316272
0.0,-1.3250000000000002,3.478349916750155,-2.066951378285332e-06,0.006418929689045147,-0.006421171676406116,-2.7734503497086553e-07,2.299331965436792e-06,8.873213063774524e-05,7.111295995905744e-05,6.923573685848625e-06,-0.0003489162818709321,1.742920099240662,-1.7415890439622186,-1.4424818916330063e-08,1.742111230666883
0.0,-1.3,3.55771023897758,-1.665739003897736e-06,0.006491580448431787,-0.006493482248898931,-2.417381870473773e-07,1.4820414580663278e-06,7.940359148239477e-05,6.281491241939641e-05,5.704433505087204e-06,-0.00028962930765950813,1.7826083936390256,-1.7812748141261348,-2.2416444741389482e-08,1.781805133534754
0.0,-1.275,3.638804131964303,-1.1621066578825564e-06,0.006564948566677467,-0.006566568187047633,-2.120613763814402e-07,7.484773694964448e-07,6.533961675763977e-05,4.996226014646207e-05,4.049558640331307e-06,-0.00019588829898789414,1.823150112433226,-1.8218111873164966,-3.463335727517216e-08,1.8223502652524413
0.0,-1.25,3.7216065208824514,-6.340648436307092e-07,0.006639005998029432,-0.006640389588662607,-1.8728417557297956e-07,1.006610854052384e-07,4.86283477147534e-05,3.471456192147427e-05,2.2247570326614606e-06,-8.679914634944441e-05,1.8645411113565196,-1.8631942318182788,-5.320908257597762e-08,1.8637426869821856
0.0,-1.225,3.8061438761720745,-1.7096903687492357e-07,0.006713719777018893,-0.006714904399559877,-1.6658028870036838e-07,-4.586131861094479e-07,3.1926457712597234e-05,1.9823057973384566e-05,5.674754914599177e-07,1.3213035557788278e-05,1.9068148344641807,-1.9054198617781402,-8.35705746790068e-08,1.9059971633783446
0.0,-1.2000000000000002,3.8925145151667175,1.4827178672517716e-07,0.0067890525065175044,-0.006790068238983879,-1.4928439154681887e-07,-9.265984989164109e-07,1.7890620110032974e-05,8.038988531144702e-06,-5.848391738910465e-07,7.972313203575014e-05,1.9500520706877422,-1.9484856643503736,-1.413590505729664e-07,1.949152956634763
0.0,-1.175,3.9805581146386952,2.77160245840478e-07,0.006864962323016542,-0.0068658338651023075,-1.3485886631948145e-07,-1.301309132712997e-06,8.528426065390453e-06,1.3791897555201357e-06,-9.97935578164452e-07,9.577102260556366e-05,1.9941583309929638,-1.992384156236884,-2.396810355249005e-07,1.9931591452106387
0.0,-1.15,4.0700364817949986,2.717435542343822e-07,0.006941403068865731,-0.006942150967784169,-1.2286792737820298e-07,-1.5821140760637637e-06,3.2511379348722536e-06,-1.0771184654686313e-06,-8.503440327545195e-07,7.425656366505894e-05,2.0389737853153487,-2.0370936153412,-3.780183559663474e-07,2.037925009732539
0.0,-1.125,4.160897037028096,2.0905922839976331e-07,0.007018324456958271,-0.007018966043203713,-1.129571696058368e-07,-1.7701723076640967e-06,8.209358741488936e-07,-9.851203119876101e-07,-4.2379027321080183e-07,3.5544605831244855e-05,2.0844607533153923,-2.082583466181948,-5.586482564020961e-07,2.0834164724554687
0.0,-1.1,4.253119523385662,1.590133869457711e-07,0.007095671963755059,-0.007096222063615386,-1.0483692857450767e-07,-1.8686532966778057e-06,3.8890852872842024e-14,3.579720722231861e-14,-3.508284192624135e-14,-2.7887039193131057e-13,2.1306036372882495,-2.128821528927429,-7.808563674307741e-07,2.129609689408003
0.0,-1.075,4.346763269665809,1.7722939812506642e-07,0.007173386938575362,-0.007173858413678243,-9.826792820454032e-08,-1.882659707018491e-06,-2.6281007196919585e-07,5.391830893949395e-07,2.0128514882335462e-07,-1.664978069086221e-05,2.1774426187618334,-2.1757763555968856,-1.069631871744374e-06,2.176509067773471
