s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.0,0,0.2500000000000001,-2.1,0.20214036673420838,0.9991468360444864,0.0021490754871863658,0.1641496547740229,1.0,0.15000000000000002,20618.325133585513,762.1675496045277,0.0,26.23890052525374,0.0,0.0,0.0,46.353621632336264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.68092299941912e-05,2.9090888779058206,-1.3,0.00418178040893797,1.0210785740059045,0.00809799146823021,5.566437726558948,5.556901443879582,727.8427561503559,490.2001079284704,1.3757286656775835e-06
0.005,10,0.2500000000000001,-2.1,0.19657604239257814,0.9991477226069717,0.0021483280118644076,0.16432055358367265,0.9999945036538462,0.15500000000000003,20596.507724457457,763.2623311896615,0.0,26.22951018051431,-1.2212422758927423e-11,-1.6187051699034782e-13,-2.7507837880779016e-15,46.44945133674237,-1.6290980760353508,-0.10707617805797148,-0.0007472598913083082,0.0,-3.5455874972983175,5.121112904137857,-0.5253221982097986,-7.6186008243557824e-06,2.9056454222971793,-1.2999999903498562,0.004194655084024065,1.0198996890868837,0.007944131696388095,5.578041849702081,5.568495656995986,728.9499383422349,490.7104630373524,1.3795929352986026e-06
0.01,20,0.2500000000000001,-2.1,0.19125189474758336,0.9991486269711278,0.0021484911639919036,0.16449525066116996,0.9999599179036114,0.16000000000000003,20573.446095805088,764.3860884241689,0.0,26.22196859379734,-1.6421931249174042e-11,-2.913225216616411e-13,-3.199029388017292e-15,46.54751343859191,-3.378730933350871,-0.1926294186292338,-0.0013474002936894832,0.0,-7.126318818081403,10.24294187853959,-1.033372376134091,1.6915668866369223e-05,2.9028937117270903,-1.2999999218363996,0.004207837543831134,1.0188061541789721,0.007793784204973297,5.589916308040205,5.580359985153717,730.0839633716341,491.23216091336593,1.3839053017365043e-06
0.015,30,0.2500000000000001,-2.1,0.18614521843470647,0.9991495491359811,0.0021495204753865377,0.16467376890536145,0.9998640036396358,0.16500000000000004,20549.196216611246,765.5388462032148,0.0,26.21626154593001,-2.0331483048591916e-11,-3.885780586188048e-13,-3.703135381870102e-15,46.64782742416538,-5.244108776830951,-0.2569956466894959,-0.001801552732963046,0.0,-10.73868940442882,15.365501917042147,-1.5236131394803842,5.757103815174702e-05,2.900835170507934,-1.2999997329668358,0.004221330379028227,1.0177886631050606,0.007645649211863496,5.602063488634526,5.59249681407808,731.2449084674785,491.7652699393359,1.388662247251355e-06
0.02,40,0.2500000000000001,-2.1,0.1812353449910627,0.9991504890954136,0.0021513715305735313,0.16485613079386457,0.9996775881577182,0.17000000000000004,20523.798519303902,766.7206739722335,0.0,26.21237404425109,-1.590468035091936e-11,-4.551914400963142e-13,-9.024859738597334e-15,46.75041274344877,-7.221667559280802,-0.3005213990476392,-0.0021109102872018427,0.0,-14.379106662338048,20.488807432015612,-1.9957627880387956,0.00011511712619096114,2.8994708498158692,-1.299999359413661,0.004235135986001702,1.0168391057447246,0.007499261797679079,5.614485774877413,5.604908525849617,732.4328901839042,492.3098572401702,1.393859428323996e-06
0.025,50,0.2500000000000001,-2.1,0.17650372323014477,0.9991514468383197,0.0021539999414255115,0.1650423584105388,0.9993728044200925,0.17500000000000004,20497.277107939957,767.9316803177702,0.0,26.21029032276389,-1.537173404442364e-11,-5.115907697472721e-13,-7.92400124391336e-15,46.85528882753493,-9.309132189531836,-0.3235636269692328,-0.0022767275745592475,0.0,-18.044230182548215,25.612872242931978,-2.4498043585470803,0.00019031526597192426,2.8988014223894183,-1.299998734049054,0.0042492565674886965,1.015950450096815,0.007354883018663205,5.627185548569054,5.61759750097915,733.6480585973093,492.8659887648977,1.3994911914127632e-06
0.03,60,0.2500000000000001,-2.1,0.17193197316561284,0.9991524223505021,0.0021573629421801094,0.16523247381191478,0.9989241754228875,0.18000000000000005,20469.65592193811,769.1719915561254,0.0,26.2099938463937,-1.220684216933061e-11,-5.870859354217828e-13,-1.9673758246579937e-15,46.962475295599226,-11.504230548556672,-0.3264894110720891,-0.002300320414472544,0.0,-21.731096555203262,30.737709566893074,-2.8859784550809335,0.0002839180323272949,2.8988271824553653,-1.2999977869857502,0.004263694172324871,1.0151162743387323,0.007212838164553734,5.640165215061053,5.6305661435303005,734.8905769113181,493.43373038093495,1.4055510269843863e-06
0.035,70,0.2500000000000001,-2.1,0.16750125426353074,0.9991534156120395,0.0021614163717268344,0.16542649851276972,0.998309022830949,0.18500000000000005,20440.956476793683,770.441742284837,0.0,26.211467306827913,8.29136099346612e-12,-6.625811010962934e-13,-1.2485479263965274e-14,47.07199167041293,-13.804873406091545,-0.3096758329039834,-0.0021830661586940193,0.0,-25.437103946223026,35.86333201081285,-3.304762627888847,0.00039666872205768613,2.8995480342401385,-1.2999964456182975,0.004278450645030861,1.0143306019311265,0.007073544223280458,5.653427168576101,5.643816846468725,736.1606130512503,494.0131463378604,1.412030822032284e-06
0.04,80,0.2500000000000001,-2.1,0.16319300140300724,0.9991544266002312,0.0021642094667913285,0.16562445405745455,0.9975077844710758,0.19000000000000006,20411.20099812932,771.7410784555151,0.0,26.214692629682766,1.1138856835240367e-11,-7.212008767965017e-13,-9.973123986493431e-15,47.183857699869066,-16.208905383430114,-0.273509612315193,-0.0019264031209856704,0.0,-29.159988639991628,40.98975156531773,-3.7068220343568647,0.0005293008534181631,2.9009634952617507,-1.299994634666363,0.00429352768874371,1.0135879945007304,0.006937415464933509,5.666973831307082,5.657352030728352,737.4583435741783,494.6043009735685,1.4189208267566628e-06
0.045,90,0.2500000000000001,-2.1,0.15898965673757234,0.9991554552880924,0.0021621822102106964,0.1658263617246341,0.9965042909005453,0.19500000000000006,20380.416448544638,773.0701507751708,0.0,26.21965097376541,1.615510930907638e-11,-7.549516567451064e-13,-8.06569590164496e-15,47.29809319495411,-18.7137847211278,-0.21838689324754007,-0.0015318306358340882,0.0,-32.897747075120535,46.116979600483305,-4.092959944416938,0.0006825374800669438,2.9030726888267666,-1.2999922762230651,0.004308926843130875,1.0128836280615983,0.006804774172184761,5.680807633637082,5.671174125448359,738.7839481710341,495.2072578325352,1.426210133779735e-06
