l,weight,drive,minimum_field_coefficient
-2.1,1.0,-0.03551249385641975,7.6187795117096435
-2.09921875,1.0053237327068187,-0.03550912004957989,7.629470122281495
-2.0984375,1.0106842330381063,-0.035498459377255175,7.6401447022366
-2.09765625,1.0160817746462887,-0.035480609088188446,7.650803251574971
-2.0968750000000003,1.0215166333803507,-0.03545566759958972,7.6614457702966
-2.09609375,1.026989087304151,-0.035423734451951364,7.672072258401494
-2.0953125,1.032499416714847,-0.035384910264345745,7.682682715889652
-2.09453125,1.0380479041615105,-0.035339296690201666,7.693277142761062
-2.09375,1.0436348344639046,-0.03528699637355759,7.7038555390157395
-2.0929687500000003,1.0492604947313866,-0.035228112905788776,7.714417904653676
-2.0921875,1.054925174382026,-0.03516275078280575,7.7249642396748746
-2.09140625,1.0606291651618345,-0.035091015362721356,7.735494544079338
-2.090625,1.0663727611641973,-0.03501301282398421,7.746008817867055
-2.08984375,1.0721562588494689,-0.03492885012397511,7.756507061038041
-2.0890625000000003,1.0779799570647057,-0.034838634958065086,7.76698927359228
-2.08828125,1.0838441570636197,-0.03474247571913138,7.777455455529788
-2.0875,1.0897491625266493,-0.03464048145752958,7.787905606850556
-2.08671875,1.0956952795812425,-0.03453276184151908,7.7983397275545805
-2.0859375,1.101682816822309,-0.034419427118139195,7.808757817641871
-2.0851562500000003,1.1077120853328182,-0.034300588074534344,7.819159877112417
-2.084375,1.113783398704624,-0.03417635599972391,7.829545905966228
-2.08359375,1.119897073059418,-0.03404684264681735,7.839915904203304
-2.0828125,1.126053427069897,-0.03391216019566873,7.850269871823635
-2.08203125,1.1322527819811137,-0.03377242121597046,7.860607808827229
-2.0812500000000003,1.1384954616319758,-0.03362773863078384,7.870929715214083
-2.08046875,1.1447817924769823,-0.03347822568050191,7.8812355909842005
-2.0796875,1.1511121036080953,-0.03332399588724552,7.89152543613758
-2.07890625,1.1574867267768352,-0.03316516301968699,7.901799250674217
-2.078125,1.1639059964165657,-0.03300184105830049,7.91205703459412
-2.0773437500000003,1.1703702496649353,-0.032834144161037915,7.9222987878972795
-2.0765625,1.1768798263865672,-0.03266218662942492,7.932524510583703
-2.07578125,1.1834350691958884,-0.03248608287507798,7.94273420265339
-2.075,1.1900363234801934,-0.03230594738663795,7.952927864106331
-2.07421875,1.196683936434011,-0.0321218842639916,7.96310309491834
-2.0734375000000003,1.2033782560604436,-0.031933997720328386,7.97325749506521
-2.07265625,1.2101196321387506,-0.03174240243504793,7.983391064546948
-2.071875,1.21690841722456,-0.03154721303941052,7.9935038033635495
-2.07109375,1.223744966672351,-0.03134854408557771,8.00359571151501
-2.0703125,1.2306296386581224,-0.031146510016050195,8.013666789001341
-2.0695312500000003,1.2375627942022058,-0.030941225133501053,8.023717035822527
-2.06875,1.2445447971923236,-0.030732803571000923,8.033746451978583
-2.06796875,1.2515760144067778,-0.030521359262634124,8.043755037469506
-2.0671875,1.258656815537865,-0.030307005914502656,8.053742792295285
-2.06640625,1.2657875732154846,-0.030089856976116096,8.063709716455932
-2.0656250000000003,1.2729686630308994,-0.029870025612166486,8.073655809951438
-2.06484375,1.2802004635607487,-0.029647624674682887,8.083581072781815
-2.0640625,1.2874833563911983,-0.02942276667556816,8.093485504947058
-2.06328125,1.294817726142328,-0.02919556375951079,8.103369106447154
-2.0625,1.3022039604927158,-0.028966127677272857,8.113231877282125
-2.0617187500000003,1.3096424502041848,-0.028734569759351805,8.123073817451948
-2.0609375,1.31713358914681,-0.028501000890011487,8.132894926956645
-2.06015625,1.3246777743240703,-0.028265531481683884,8.142695205796205
-2.059375,1.332275405898244,-0.0280282714497357,8.152474653970623
-2.05859375,1.3399268872160133,-0.027789330187600197,8.16223327147991
-2.0578125000000003,1.347632624834233,-0.027548816542271808,8.171971058324056
-2.05703125,1.355393028545976,-0.027306838790159438,8.18168801450307
-2.05625,1.3632085114067232,-0.027063504613299448,8.191384140016948
-2.05546875,1.3710794897608107,-0.026818921075923017,8.201059434865687
-2.0546875,1.3790063832680945,-0.026573194601377574,8.210713899049292
-2.0539062500000003,1.3869896149307848,-0.026326430949400348,8.220347532567757
-2.053125,1.3950296111205676,-0.026078735193739797,8.229960335421092
-2.05234375,1.403126801605878,-0.025830211700125744,8.239552307609289
-2.0515625,1.4112816195794426,-0.02558096410458329,8.249123449132348
-2.05078125,1.4194945016860434,-0.025331095292089344,8.258673759990275
-2.0500000000000003,1.4277658880504625,-0.025080707375571075,8.268203240183057
-2.04921875,1.4360962211646418,-0.024829892440339108,8.277709447381959
-2.0484375,1.4444859447350016,-0.02457874188286951,8.287189939258221
-2.04765625,1.4529355047979702,-0.02432735556573628,8.296644715811839
-2.046875,1.4614453508748697,-0.02407583250161605,8.30607377704282
-2.0460937500000003,1.4700159359990699,-0.023824270833906813,8.31547712295116
-2.0453125,1.4786477167434202,-0.02357276781766817,8.32485475353686
-2.04453125,1.4873411532478182,-0.023321419800885,8.334206668799922
-2.04375,1.496096709247037,-0.023070322206048995,8.343532868740336
-2.04296875,1.5049148520987636,-0.02281956951205758,8.35283335335812
-2.0421875000000003,1.5137960528118029,-0.022569255236428793,8.362108122653257
-2.04140625,1.5227407860745668,-0.022319471917827148,8.37135717662576
-2.040625,1.5317495302837099,-0.022070311098902153,8.380580515275623
-2.03984375,1.5408227675730275,-0.02182186330943366,8.389778138602841
-2.0390625,1.5499609838425774,-0.021574218049783503,8.398950046607423
-2.0382812500000003,1.5591646687879686,-0.02132746377465268,8.408096239289359
-2.0375,1.5684343159299492,-0.021081687877137788,8.41721671664866
-2.03671875,1.5777704226441431,-0.020836976673089494,8.426311478685326
-2.0359375,1.587173490191061,-0.020593415385766242,8.435380525399342
-2.03515625,1.5966440237463406,-0.020351088130783578,8.444423856790726
-2.0343750000000003,1.60618253243116,-0.0201100779013572,8.453441472859465
-2.03359375,1.615789529342965,-0.019870466553834263,8.462433373605567
-2.0328125,1.6254655315863429,-0.019632334793514984,8.47139955902903
-2.03203125,1.6352110603041872,-0.0193957621607585,8.480340029129849
-2.03125,1.6450266407090959,-0.01916082701737211,8.489254783908033
-2.0304687500000003,1.6549128021149513,-0.018927606533283056,8.498143823363572
-2.0296875,1.6648700779688212,-0.01869617667348673,8.507007147496473
-2.02890625,1.674899005883017,-0.018466612185273255,8.51584475630674
-2.028125,1.685000127667448,-0.018238986585726775,8.524656649794357
-2.02734375,1.69517398936222,-0.01801337214949574,8.53344282795934
-2.0265625000000003,1.7054211412704212,-0.017789839896834015,8.542203290801679
-2.02578125,1.715742137991242,-0.01756845958190619,8.550938038321384
-2.025,1.7261375384532542,-0.017349299681359006,8.559647070518446
-2.02421875,1.736607904668952,-0.017132419752097762,8.568327939219714
-2.0234375,1.7471538004429408,-0.016917878181329043,8.576978196252036
-2.0226562500000003,1.7577757926218163,-0.016705739742981715,8.585597841615403
-2.021875,1.7684744523899636,-0.01649606789155441,8.594186875309832
-2.02109375,1.7792503553018106,-0.01628892475187882,8.602745297335314
-2.0203125,1.7901040813143647,-0.01608437110912975,8.611273107691842
-2.01953125,1.8010362148199752,-0.015882466399079836,8.619770306379428
-2.0187500000000003,1.812047344679262,-0.01568326869859795,8.62823689339806
-2.01796875,1.8231380642543629,-0.015486834716385834,8.63667286874775
-2.0171875,1.8343089714423193,-0.015293219783953729,8.645078232428492
-2.01640625,1.8455606687087531,-0.015102477846829082,8.653452984440284
-2.015625,1.8568937631217766,-0.014914661455998013,8.66179712478313
-2.0148437500000003,1.8683088663860716,-0.014729821759576489,8.670110653457026
-2.0140625,1.8798065948773006,-0.014548008494707065,8.678393570461981
-2.01328125,1.8913875696766538,-0.014369269979680698,8.686645875797986
-2.0125,1.9030524166057015,-0.014193653106279142,8.694867569465037
-2.01171875,1.9148017662614845,-0.014021203332335409,8.703058651463147
-2.0109375000000003,1.9266362540517763,-0.01385196467451132,8.711219121792304
-2.01015625,1.9385565202306896,-0.013685979701285763,8.719348980452521
-2.009375,1.9505632099344217,-0.013523289526155152,8.727448227443789
-2.00859375,1.9626569732173131,-0.013363933801039493,8.735516862766106
-2.0078125,1.9748384650881519,-0.013207950709892946,8.743554886419478
-2.0070312500000003,1.9871083455466543,-0.013055376962516747,8.751562298403899
-2.00625,1.9994672796202981,-0.012906247788568893,8.759539098719378
-2.00546875,2.0119159374013025,-0.012760596931770778,8.767485287365908
-2.0046875,2.024454994083924,-0.012618456644305286,8.775400864343487
-2.00390625,2.0370851300020116,-0.012479857681404308,8.783285829652122
-2.0031250000000003,2.0498070306667366,-0.0123448292961237,8.791140183291807
-2.00234375,2.0626213868046914,-0.012213399234299652,8.798963925262544
-2.0015625,2.0755288943961316,-0.012085593729687101,8.80675705556434
-2.00078125,2.0885302547135516,-0.011961437499273989,8.81451957419718
-2.0,2.101626174360516,-0.011840953738769516,8.822251481161079
-1.99921875,2.1148173639305043,-0.011724158229021397,8.829950383139103
-1.9984375,2.1281045366140754,-0.011611065332055127,8.837613886814333
-1.9976562500000001,2.1414884095480535,-0.011501693820552938,8.845241992186775
-1.9968750000000002,2.1549697052158763,-0.011396060929122268,8.852834699256425
-1.99609375,2.1685491514851427,-0.011294182350523794,8.860392008023275
-1.9953125,2.1822274816453717,-0.011196072232054429,8.86791391848734
-1.99453125,2.196005434446032,-0.011101743172080812,8.875400430648606
-1.9937500000000001,2.209883754134757,-0.011011206216721761,8.882851544507078
-1.9929687500000002,2.223863190495817,-0.010924470856674324,8.89026726006276
-1.9921875,2.2379444988888215,-0.010841545024181505,8.897647577315649
-1.99140625,2.252128440287632,-0.010762435090137908,8.904992496265741
-1.990625,2.266415781319554,-0.010687145861328885,8.912302016913046
-1.9898437500000001,2.280807294304719,-0.01061568057780115,8.919576139257554
-1.9890625000000002,2.2953037572957258,-0.010548040910360216,8.926814863299267
-1.98828125,2.309905954117516,-0.010484226958191484,8.934018189038193
-1.9875,2.3246146744074694,-0.010424237246601426,8.941186116474324
-1.98671875,2.3394307136557737,-0.010368068724875067,8.948318645607658
-1.9859375000000001,2.3543548732459993,-0.010315716764246155,8.955415776438203
-1.9851562500000002,2.3693879604959283,-0.010267175155976464,8.962477508965955
-1.984375,2.384530788698629,-0.010222436109540108,8.969503843190916
-1.98359375,2.3997841771637485,-0.01018149025090959,8.976494779113073
-1.9828125,2.415148951259089,-0.010144326620939198,8.983450316732444
-1.9820312500000001,2.4306259424523904,-0.01011093267384254,8.990370456049025
-1.9812500000000002,2.4462159883533725,-0.010081294275759718,8.997255197062808
-1.98046875,2.4619199327560244,-0.010055395703410769,9.0041045397738
-1.9796875,2.4777386256811185,-0.010033219642831069,9.010918484182001
-1.97890625,2.493672923419015,-0.010014747188184705,9.017697030287406
-1.9781250000000001,2.5097236885726697,-0.009999957840652073,9.024440178090018
-1.9773437500000002,2.5258917901009084,-0.009988829507387387,9.031147927589839
-1.9765625,2.542178103361957,-0.009981338500542211,9.037820278786869
