nodes,s,conductivity_ceiling,weighted_drive_integral,minimum_field_coefficient,terminal_weight,maximum_velocity
257,1.285,1.0,-2.1944863367656753,0.4447537073370006,1531.087987740544,1.381821693818242e-10
257,1.285,10.0,-2.1944863367656753,0.44475370716376994,1531.087987740544,1.381821693818242e-10
513,1.285,1.0,-2.1946166190913305,0.4447067683355296,1531.1334764287403,1.381821693818242e-10
513,1.285,10.0,-2.1946166190913305,0.444706768145623,1531.1334764287403,1.381821693818242e-10
1025,1.285,1.0,-2.194649190104454,0.44469693113249564,1531.1448488119604,1.381821693818242e-10
1025,1.285,10.0,-2.194649190104454,0.4446969309511175,1531.1448488119604,1.381821693818242e-10
2049,1.285,1.0,-2.194657332884784,0.4446935230580698,1531.1476919209779,1.381821693818242e-10
2049,1.285,10.0,-2.194657332884784,0.44469352287247604,1531.1476919209779,1.381821693818242e-10
