scenario,preload_fraction,initial_drift,points,pressure_cap,family,feasible_points,infeasible_points,all_points_algebraically_feasible,min_support_radial_enthalpy,max_support_radial_enthalpy,min_support_angular_enthalpy,negative_support_radial_points,negative_support_angular_points,max_normalized_tensor_error,minimum_host_margin,initial_ordinary_coordinate_mass,reference_coordinate_mass,reference_proper_energy,complete_material_candidate_pass,host_coordinate_mass,host_proper_energy,vacuum_coordinate_mass,vacuum_proper_energy,support_coordinate_mass,support_proper_energy,max_host_required_static_force,max_vacuum_required_static_force,max_ordinary_required_static_force,max_total_required_static_force,force_sum_identity_error,closed_form_weight_error,inner_pressure_matching_error,inner_normal_acceleration_matching_error,outer_pressure_matching_error,outer_normal_acceleration_matching_error
zero_preload,0.0,0.0,513,1.0,radial_only,98,415,False,-0.02221959316574411,-1.3385028430727697e-06,-0.0003550991000402261,513,291,1.5295113087877593e-16,-1.734723475976807e-18,0.0,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,513,1.0,two_orientations,513,0,True,-0.02221959316574411,-1.3385028430727697e-06,-0.0003550991000402261,513,291,2.1941018541445324e-16,-2.7755575615628914e-17,0.0,-0.829940676517362,43.35437612884015,False,4.8184960969439015,54.22172962915797,-5.648436773461264,-10.867353500317806,-0.829940676517362,43.35437612884015,0.16151054853984428,0.1615098427063135,0.0,3.793483653150263e-06,4.810804092060788e-16,6.938893903907228e-18,0.0,0.0,0.0,0.0
zero_preload,0.0,0.0,513,0.5,radial_only,95,418,False,-0.02221959316574411,-1.3385028430727697e-06,-0.0003550991000402261,513,291,2.1995327374811902e-16,-8.673617379884035e-19,0.0,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,513,0.5,two_orientations,513,0,True,-0.02221959316574411,-1.3385028430727697e-06,-0.0003550991000402261,513,291,5.713112839867707e-16,-5.551115123125783e-17,0.0,-0.829940676517362,43.35437612884015,False,18.210635064322695,86.97530096182533,-19.040575740840055,-43.62092483298515,-0.829940676517362,43.35437612884015,0.3612298765213018,0.36123362288094135,0.0,3.793483653150263e-06,1.1832404410520294e-15,,0.0,0.0,0.0,0.0
zero_preload,0.0,0.0,1025,1.0,radial_only,196,829,False,-0.02221959316574411,-1.3385028430727697e-06,-0.00035513327328080737,1025,581,1.5442359771392017e-16,-1.734723475976807e-18,0.0,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,1025,1.0,two_orientations,1025,0,True,-0.02221959316574411,-1.3385028430727697e-06,-0.00035513327328080737,1025,581,2.2200514273755643e-16,-2.7755575615628914e-17,0.0,-0.8299406762207305,43.35437073860058,False,4.818337179102701,54.221035259200214,-5.648277855323432,-10.866664520599633,-0.8299406762207305,43.35437073860058,0.1625504254247218,0.1625511034691794,0.0,3.7387630223447547e-06,1.319019610738657e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
zero_preload,0.0,0.0,1025,0.5,radial_only,190,835,False,-0.02221959316574411,-1.3385028430727697e-06,-0.00035513327328080737,1025,581,2.1995327374811902e-16,-8.673617379884035e-19,0.0,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,1025,0.5,two_orientations,1025,0,True,-0.02221959316574411,-1.3385028430727697e-06,-0.00035513327328080737,1025,581,5.713112839867707e-16,-8.326672684688674e-17,0.0,-0.8299406762207305,43.35437073860058,False,18.210458045634567,86.97599085372761,-19.040398721855293,-43.62162011512704,-0.8299406762207305,43.35437073860058,0.3625108782743111,0.36251297383988507,0.0,3.7387630223447547e-06,2.3244576717666417e-15,,0.0,0.0,0.0,0.0
zero_preload,0.0,0.0,2049,1.0,radial_only,391,1658,False,-0.02221963108229399,-1.3384973404050038e-06,-0.00035513327328080737,2049,1162,1.564551893319868e-16,-1.734723475976807e-18,0.0,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,2049,1.0,two_orientations,2049,0,True,-0.02221963108229399,-1.3384973404050038e-06,-0.00035513327328080737,2049,1162,2.2200514273755643e-16,-2.7755575615628914e-17,0.0,-0.8299406760788179,43.35437039828398,False,4.818510828968859,54.2212969264068,-5.648451505047676,-10.86692652812282,-0.8299406760788179,43.35437039828398,0.16433744083036453,0.16433675648039425,0.0,1.9391737208651954e-06,2.4990114686797293e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
