case,route,cells,temporal_factor,initial_wave_slice_energy,initial_wave_material_inventory,absorbed_boundary_energy,recovered_boundary_energy,final_wave_slice_energy,peak_wave_null
left_n128_t1,left,128,1,53.93405515505132,54.729577244222966,1.9289350924133228,0.3556006283984956,80.38664012631104,2.3772180987566633
left_n256_t1,left,256,1,53.92526639467335,54.71404311333201,1.9264763391748103,0.35611834088734096,80.63952671414559,3.4743765947450025
right_n128_t1,right,128,1,18.399253817534614,16.817194638778737,16.867818385246984,2.695239586455762,1.6713753404538696,0.051423812649244297
right_n256_t1,right,256,1,18.123635393730336,16.59014635572685,17.054221372077123,2.7027114247796957,1.6714379256149456,0.053595527516949584
split_n128_t1,split,128,1,32.18349636134629,30.60818894013869,18.795457878679724,3.050840214854326,1.7739421535108415,0.0911954921423229
split_n256_t1,split,256,1,31.9188911599376,30.392160247748,18.976444105186594,3.0588297656670367,1.7734489909520434,0.09289091678979383
right_n1024_t1,right,1024,1,18.019432228688068,16.504503312767515,17.114109409784664,2.7059184703073575,1.6714558434428968,0.0557737539304526
right_n512_t1,right,512,1,18.041102189007677,16.522305980565942,17.10279939465314,2.7052008750845893,1.6714490412657097,0.05526466480532519
right_n256_t2,right,256,2,18.123471521661983,16.590007925784015,17.054321961249574,2.7027099832948642,1.6714379256149456,0.05359799859138754
