cells,x,finite_volume,independent_ray,ray_quadrature_relative_change,relative_FV_difference
512,-1.95,0.014673257473210388,0.014676753066571346,0.002366583666744188,0.00023817211784534902
512,-1.7,0.10050441339705837,0.10049915952549472,8.201215777789935e-05,5.227776618687549e-05
512,-1.4,0.28913891261135377,0.28913896373326975,4.737495056169389e-07,1.7680742615299994e-07
512,-1.1,0.5436575108064217,0.5436074885481411,1.6794758266499962e-07,9.20190750391339e-05
512,-0.9,1.0996454352850829,1.0995862915710974,5.1008779501513685e-08,5.378724201890975e-05
512,-0.7,2.4616070339197735,2.4617937187457213,2.704817090333392e-08,7.583284680848999e-05
512,-0.55,4.0859123130859665,4.079231117971688,4.5415972096277905e-06,0.0016378564786005499
1024,-1.95,0.014661242122547505,0.014676753066571346,0.002366583666744188,0.0010568375684653457
1024,-1.7,0.1005008955615277,0.10049915952549472,8.201215777789935e-05,1.7274134840340974e-05
1024,-1.4,0.28913837213566584,0.28913896373326975,4.737495056169389e-07,2.0460666949432117e-06
1024,-1.1,0.543620479118304,0.5436074885481411,1.6794758266499962e-07,2.3896966904562726e-05
1024,-0.9,1.0996020492109344,1.0995862915710974,5.1008779501513685e-08,1.4330516811419759e-05
1024,-0.7,2.461742168293541,2.4617937187457213,2.704817090333392e-08,2.094019973638139e-05
1024,-0.55,4.082794188200187,4.079231117971688,4.5415972096277905e-06,0.0008734661325762006
