case,time,required_negative_null,peak_x,peak_null_cosine,added_support_ADM
zero_added_capacitor_material,0.0,0.09874860314462296,-0.50078125,0.24427099992769477,0.0
zero_added_capacitor_material,0.5,0.08407612231384282,-0.50078125,0.014475901540627152,0.0
zero_added_capacitor_material,1.285,0.20375190670901622,-0.50078125,-0.02215822772343084,0.0
prepared_skin_directional_backing_coverage,0.0,0.18311734489450038,-0.50078125,1.0,173.12282189744266
prepared_skin_directional_backing_coverage,0.5,0.10065288270280494,-0.50078125,0.023747152495756294,235.01856266310457
prepared_skin_directional_backing_coverage,1.285,6.277668724724066,-0.51328125,-1.0,1864.412886425266
dec_floor_retained,0.0,0.11935657596091956,-0.50078125,0.4403602436657273,97.21199922063815
dec_floor_retained,0.5,0.09088961181999801,-0.50078125,0.01891406505205153,131.01628490102613
dec_floor_retained,1.285,0.5173165269278649,-0.50078125,-0.03155217594822014,194.98109171060264
dec_floor_controlled_floor,0.0,0.10195926417001211,-0.50078125,0.368415384523549,83.83601580347029
dec_floor_controlled_floor,0.5,0.08408094541067163,-0.50078125,0.01884016013981222,63.684588054116006
dec_floor_controlled_floor,1.285,0.20376946696887374,-0.50078125,-0.03155217666485115,8.88187802213115
directional_retained,0.0,0.13669559360272324,-0.50078125,0.5120640331302168,166.76556051792696
directional_retained,0.5,0.10093687649425134,-0.50078125,0.019023123444599405,200.32034477849496
directional_retained,1.285,0.6531189371241243,-0.50078125,-0.03155217563783542,264.28515081898524
directional_controlled_floor,0.0,0.10683233595397625,-0.50078125,0.38856749005000507,143.26913369248436
directional_controlled_floor,0.5,0.09184000692616173,-0.50078125,0.01892438114960883,117.41634609638359
directional_controlled_floor,1.285,0.21632793316335838,-0.50078125,-0.031552176636148004,16.883589389944255
stiff_fluid_retained,0.0,0.1545529785331502,-0.50078125,0.5859114791556818,236.73873873441488
stiff_fluid_retained,0.5,0.11101299340940274,-0.50078125,0.01913249501482457,270.0428760365967
stiff_fluid_retained,1.285,0.789311306150362,-0.50078125,-0.03155217532655942,334.00768130492054
stiff_fluid_controlled_floor,0.0,0.1117424006340802,-0.50078125,0.4088725760330986,202.7022515814984
stiff_fluid_controlled_floor,0.5,0.09959906924743316,-0.50078125,0.01900860216815182,171.14810413865118
stiff_fluid_controlled_floor,1.285,0.22888639935784297,-0.50078125,-0.03155217660744486,24.88530075775736
radiation_fluid_retained,0.0,0.19180722578241946,-0.50078125,0.7399727274111375,377.21393541651304
radiation_fluid_retained,0.5,0.1311935346075377,-0.50078125,0.01935154541860806,410.0156526226933
radiation_fluid_retained,1.285,1.0620786013928345,-0.50078125,-0.03155217470313306,473.98045634368776
radiation_fluid_controlled_floor,0.0,0.12167520651402476,-0.50078125,0.4499487105823855,321.5684873595265
radiation_fluid_controlled_floor,0.5,0.11511719630732037,-0.50078125,0.01917704423147696,278.6116202231864
radiation_fluid_controlled_floor,1.285,0.25400333174681217,-0.50078125,-0.03155217655003857,40.888723493383566
