case,time,required_negative_null,peak_x,peak_null_cosine,added_support_ADM
zero_added_capacitor_material,0.0,0.09411615379792522,-0.50078125,0.2648091544076651,0.0
zero_added_capacitor_material,0.5,0.08043943046582273,-0.50078125,0.015477845607823858,0.0
zero_added_capacitor_material,1.285,0.21310526836322322,-0.50078125,-0.02129449791155222,0.0
prepared_skin_directional_backing_coverage,0.0,0.1876033098745507,-0.50078125,1.0,240.22208253895766
prepared_skin_directional_backing_coverage,0.5,0.09769916432887722,-0.50078125,0.027250685998185295,328.2362890094009
prepared_skin_directional_backing_coverage,1.285,7.919073451158549,-0.76328125,-1.0,2649.3678121945322
dec_floor_retained,0.0,0.11652636609884333,-0.50078125,0.5049951496598079,131.56392174547767
dec_floor_retained,0.5,0.08756138450122991,-0.50078125,0.0208773337157849,177.7574169078646
dec_floor_retained,1.285,0.5381282903285924,-0.50078125,-0.03146391418892791,256.372084749824
dec_floor_controlled_floor,0.0,0.09794805226999091,-0.50078125,0.4188601741672124,112.73337332589871
dec_floor_controlled_floor,0.5,0.08044529159459249,-0.50078125,0.02079216974118854,79.6715954708175
dec_floor_controlled_floor,1.285,0.21312250836897234,-0.50078125,-0.03146391500571484,10.219023601901977
directional_retained,0.0,0.13511122124639324,-0.50078125,0.5911604527876715,232.46647446638357
directional_retained,0.5,0.0980516391195774,-0.50078125,0.02100287898192288,278.30403779609054
directional_retained,1.285,0.6799179657989831,-0.50078125,-0.03146391383258978,356.91870468996336
directional_controlled_floor,0.0,0.10327731035725418,-0.50078125,0.4435683107058066,200.91077083079492
directional_controlled_floor,0.5,0.08849726837970995,-0.50078125,0.020888534186590684,149.39036070847237
directional_controlled_floor,1.285,0.22598802558984105,-0.50078125,-0.03146391497338192,19.557880549485905
stiff_fluid_retained,0.0,0.15434253322405253,-0.50078125,0.6803229355159793,333.7477783044592
stiff_fluid_retained,0.5,0.10856942025354126,-0.50078125,0.021128753679886352,379.2286102986441
stiff_fluid_retained,1.285,0.8220796765241207,-0.50078125,-0.031463913475316664,457.84327624197516
stiff_fluid_controlled_floor,0.0,0.10865574570175213,-0.50078125,0.46850444865969193,289.0881683356912
stiff_fluid_controlled_floor,0.5,0.09654924612159481,-0.50078125,0.02098489864344323,219.10912594612728
stiff_fluid_controlled_floor,1.285,0.23885354281070972,-0.50078125,-0.031463914941049,28.896737497069836
radiation_fluid_retained,0.0,0.19477321960171057,-0.50078125,0.8677724647019929,536.7995476389835
radiation_fluid_retained,0.5,0.12963199049633006,-0.50078125,0.02138082630184691,581.5661149390401
radiation_fluid_retained,1.285,1.106768080106945,-0.50078125,-0.031463912759853184,660.1807789788386
radiation_fluid_controlled_floor,0.0,0.11956289630518724,-0.50078125,0.5190734700776578,465.4429633454837
radiation_fluid_controlled_floor,0.5,0.11265320447566739,-0.50078125,0.02117762759149953,358.54665642143704
radiation_fluid_controlled_floor,1.285,0.2645845772524471,-0.50078125,-0.031463914876383156,47.5744513922377
