beta,B,scalar_rho50,scalar_rho90,scalar_rho99,flux_rho90,energy_rho90,coarse_extended_B_difference,refined_extended_B_difference,virial_relative_to_total,scalar_r90_sqrt_mu_times_e,flux_r90_sqrt_mu_times_e,energy_r90_sqrt_mu_times_e
1e-12,0.08329151380923958,2319.235589593144,364516.11075718777,1981578.2762670424,28.32337106656044,312679.2262515125,5.7787136187315014e-11,3.201008902387059e-12,6.69285141211166e-13,186462.73149440766,14.488394280379264,159946.35322786006
3.1622776601683794e-12,0.0871327447137449,1704.7967103832946,217916.80147028706,1135693.1562095366,27.125289739881932,185799.76785210066,6.084907577807996e-11,3.2435304442302026e-12,5.783706020703245e-13,114013.51879685979,14.19188291477369,97209.96812329801
1e-11,0.09132823495491219,1252.2197585717474,130345.71464355833,651243.7572377127,25.931893663397368,110440.15284123775,6.109160399780933e-11,3.254063685176334e-12,5.739342775784799e-13,69819.09674990397,13.890302397313523,59156.771953588956
3.1622776601683794e-11,0.09592758176090196,919.0667022805045,78011.80735448579,373660.25534998754,24.743596555126576,65670.35166693805,6.421548015556056e-11,3.353664568273018e-12,5.809471896242428e-13,42825.95183331325,13.583431921243061,36050.89297041283
1e-10,0.10098980584149425,673.9823425492251,46720.778821959655,214526.5984734629,23.56086700549051,39066.11987351509,6.746435354809677e-11,3.369374224071464e-12,5.256485050176507e-13,26316.236379897244,13.271040446363077,22004.62558542818
3.1622776601683795e-10,0.10658563650349748,493.8096703128983,28001.29868312174,123247.7345133401,22.38423821142415,23251.536646947647,6.937134200413198e-11,3.502656498177714e-12,5.517522109715831e-13,16203.261909423249,12.952887595933097,13454.759450644284
1e-09,0.11280047679134322,361.4538842742347,16795.812893120088,70859.14201843891,21.214319880230924,13847.128376695837,7.198280860265527e-11,3.56116525157546e-12,5.156474505165051e-13,9998.421286601388,12.628725315114483,8243.09153721101
3.1622776601683795e-09,0.11973829021679845,264.3012497919376,10083.699117335047,40771.90678105981,20.051812882918732,8252.125316111804,7.671560608990546e-11,3.645875268354359e-12,4.900294395425775e-13,6184.596083031524,12.29830065042189,5061.24402492072
1e-08,0.12752675090842183,193.049047513341,6060.125931386518,23480.507111134837,18.897527441602676,4921.725124176846,8.035530574268535e-11,3.850308960551274e-12,4.502057518417874e-13,3835.811288223744,11.96136019296102,3115.2502444008796
3.162277660168379e-08,0.13632414703214807,140.84001996141237,3646.195403668744,13535.4664348077,17.752405920235525,2938.115980974836,8.390091399412825e-11,3.9961367548357885e-12,4.1418574479766155e-13,2386.16938940322,11.617657011059885,1922.782966942575
