beta,B,scalar_rho50,scalar_rho90,scalar_rho99,flux_rho90,energy_rho90,coarse_extended_B_difference,refined_extended_B_difference,virial_relative_to_total,scalar_r90_sqrt_mu_times_e,flux_r90_sqrt_mu_times_e,energy_r90_sqrt_mu_times_e
1e-07,0.1463287487493091,102.62229733801871,2196.6265965303273,7810.918208390262,16.61755174066282,1755.8352637659339,8.805403628464603e-11,4.106048834273679e-12,2.542299975929937e-13,1489.3473723476427,11.266961375638369,1190.4839177016765
3.162277660168379e-07,0.15779168761799112,74.6762391867643,1325.2609491027265,4512.787422188818,15.494266692844137,1050.5953566174817,9.235212594660425e-11,4.3668124671825126e-12,1.460743002481618e-13,933.078962665761,10.90907741815986,739.6946436834296
1e-06,0.17103490983809372,54.26480029444628,800.8615906507472,2610.7235775892727,14.384100223909025,629.5212598763916,8.999406775345165e-11,4.5818626670524054e-12,2.2618530656053564e-14,587.0495821298779,10.543869408069229,461.45326092117926
3.162277660168379e-06,0.18647656717010613,39.37527945834396,484.86392007950343,1512.5850516460007,13.288916665443063,377.8422658580824,9.952774715493717e-11,4.958200516824718e-12,1.639796702598925e-13,371.1136577609146,10.17130429210715,289.1995455472796
1e-05,0.2046674679594506,28.52865014868395,294.171215137617,877.8170306061339,12.210990686220489,227.22566687364989,9.121478572460262e-11,5.173472761299536e-12,3.7999381948869734e-13,235.8845623965563,9.791522916679881,182.20350679342394
3.1622776601683795e-05,0.22634419893079732,20.638853383304,178.9078565963633,510.4010701402633,11.153148819081332,136.96104315761207,1.0423364948941582e-10,5.5828397460544466e-12,6.9386332548432e-13,150.86518621703587,9.404963569001932,115.4932694044284
0.0001,0.25250766251126117,14.908996866396992,109.10939572472505,297.4131064941812,10.11898700324435,82.77651692755093,9.720607652141666e-11,6.357525617062265e-12,6.91939282059546e-13,97.17943454075069,9.01258254221689,73.72577819573978
0.00031622776601683794,0.28454062859722795,10.754595998415333,66.75463972963477,173.73665850945795,9.113210164160936,50.18875562778058,1.2437667562537058e-10,7.297829007768541e-12,6.044462966249013e-13,63.114411351041305,8.616253452327499,47.451889197784205
0.001,0.3243850565676954,7.7461116490887765,40.99255799328905,101.7836524129026,8.142153069482816,30.547030538501634,1.245203939959083e-11,8.78191963593622e-12,9.348041669781363e-13,41.38189512984556,8.219485217478953,30.837158649123847
0.0031622776601683794,0.37480924696679546,5.566437116273095,25.280939454973872,59.83163759507382,7.2145323447498235,18.678704016424696,4.165684464041419e-11,7.784217714856823e-12,1.0068374253381958e-12,27.43299935894209,7.828675098925173,20.26874342312598
0.01,0.43980287050690225,3.982479942382666,15.669747743937297,35.3111644054871,6.342414836505728,11.48710746332656,2.3036517138308454e-11,1.247890679678676e-12,4.687407759530567e-13,18.41899675055784,7.455188186388479,13.50251443085179
0.03162277660168379,0.5251304946829072,2.8265185076232986,9.770407708045447,20.9390862767334,5.542244295244445,7.12163908051056,1.670552585153473e-12,2.114530772701073e-12,3.2162481855696364e-13,12.54935030521817,7.118593943715088,9.147207183080544
0.1,0.6390095367773007,1.9805704032936047,6.136409137936539,12.489445782092893,4.835544375603486,4.5213875993592945,5.896338972632975e-11,7.750466934908218e-13,5.266157486097156e-13,8.694466014287942,6.851315694442619,6.406197816410799
0.31622776601683794,0.7926618633360644,1.3621622589400952,3.8885137752610484,7.508132868488033,4.24835410165183,3.0382426770314273,4.2397829691509514e-10,1.1823875212257917e-12,7.547217463270101e-13,6.136243146924228,6.704086766471178,4.794478529107236
1.0,0.999999999999954,0.913213201318414,2.4841263323130587,4.573216501600041,3.8061776692323885,2.172148806835038,5.038480743735363e-10,2.05613304160579e-12,7.175760089636799e-13,4.402999283843975,6.746274267061374,3.850033517414496
