beta,B,normalization,stretch,carrier_energy_over_bare_tension,tension_over_energy,target_fermi_momentum_over_bulk_mass,fermi_momentum_over_eta,required_yukawa_g,yukawa_loop_size_g2_over_16pi2,escape_ratio_squared_times_yukawa_loop_size,gauge_coupling,scalar_self_coupling,scalar_quartic_loop_size_g4_over_16pi2,quartic_loop_size_over_scalar_self_coupling,bulk_fermion_mass_over_vector_mass,bulk_fermion_mass_over_higgs_mass,fermion_asymptotic_tail_over_vector_length,fermion_asymptotic_tail_over_higgs_length
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.549157555371234,0.549157555371234,0.001909739795320619,0.001909739795320619,0.1,1.0000000000000002e-14,0.0005759279084153566,57592790841.535645,5.49157555371234,5491575.55371234,0.182097103139006,1.82097103139006e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.549157555371234,0.549157555371234,0.001909739795320619,0.001909739795320619,0.3,9e-14,0.0005759279084153566,6399198982.392851,1.8305251845707802,1830525.18457078,0.546291309417018,5.46291309417018e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.549157555371234,0.549157555371234,0.001909739795320619,0.001909739795320619,1.0,1e-12,0.0005759279084153566,575927908.4153565,0.549157555371234,549157.5553712341,1.82097103139006,1.82097103139006e-06
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.549157555371234,1.098315110742468,0.007638959181282476,0.001909739795320619,0.1,1.0000000000000002e-14,0.009214846534645705,921484653464.5703,10.98315110742468,10983151.10742468,0.091048551569503,9.1048551569503e-08
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.549157555371234,1.098315110742468,0.007638959181282476,0.001909739795320619,0.3,9e-14,0.009214846534645705,102387183718.28561,3.6610503691415603,3661050.36914156,0.273145654708509,2.73145654708509e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.549157555371234,1.098315110742468,0.007638959181282476,0.001909739795320619,1.0,1e-12,0.009214846534645705,9214846534.645704,1.098315110742468,1098315.1107424682,0.91048551569503,9.1048551569503e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.549157555371234,1.8305251845707802,0.021219331059117993,0.0019097397953206192,0.1,1.0000000000000002e-14,0.07110221091547614,7110221091547.612,18.3052518457078,18305251.845707804,0.0546291309417018,5.46291309417018e-08
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.549157555371234,1.8305251845707802,0.021219331059117993,0.0019097397953206192,0.3,9e-14,0.07110221091547614,790024565727.5127,6.101750615235934,6101750.615235934,0.1638873928251054,1.638873928251054e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.549157555371234,1.8305251845707802,0.021219331059117993,0.0019097397953206192,1.0,1e-12,0.07110221091547614,71102210915.47614,1.8305251845707802,1830525.1845707803,0.546291309417018,5.462913094170179e-07
1e-12,0.08329151380923958,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.1,0.549157555371234,5.49157555371234,0.1909739795320619,0.0019097397953206194,0.1,1.0000000000000002e-14,5.759279084153566,575927908415356.5,54.915755537123395,54915755.537123404,0.0182097103139006,1.82097103139006e-08
