amplitude,presheath,s,type_iv,samples_with_type_iv,unresolved,min_null
flat_lapse_1,3.0,-8.0,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-8.0,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-8.0,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-8.0,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-8.0,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-8.0,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-8.0,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.9,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.9,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.9,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.9,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.9,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.9,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.9,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.8,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.8,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.8,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.8,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.8,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.8,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.8,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.7,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.7,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.7,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.7,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.7,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.7,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.7,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.6,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.6,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.6,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.6,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.6,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.6,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.6,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.5,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.5,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.5,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.5,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.5,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.5,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.5,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.4,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.4,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.4,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.4,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.4,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.4,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.4,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.3,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.3,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.3,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.3,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.3,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.3,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.3,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.2,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.2,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.2,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.2,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.2,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.2,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.2,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.1,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.1,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.1,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-7.1,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.1,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.1,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.1,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-7.0,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-7.0,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-7.0,0,0,0,-0.996686489428693
