amplitude,presheath,type_iv,samples_with_type_iv,unresolved,transit_min_null,resolved_crossings,samples_with_band,max_band_width,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,standing_type_iv,standing_unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha,worst_packet_norm_over_alpha2,worst_field_norm_over_alpha2,arrival_track_end
flat_lapse_1,3.0,133,107,0,-3.309462068158572,60,39,0.0020010000000008077,8879.888349958315,72139.07678757996,0.0,40823.11539449302,25256.990580327725,4701.862486486328,3792.6380197505882,0.0,18834.35138586976,3270.051840330678,17435.985138096643,0,0,928.6410175808562,-928.4186092700356,-928.4186092711884,32396644.84864366,-3000.7100005427965,241710328.71247816,178.99082665003857,1424.132053775219,-0.9304875811262054,-0.3946485657453987,4.29636694177292,0.0,0.0,0.0,85197.51302869551,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,4.0,3,3,0,-3.3509053681411185,60,60,0.0020009999999999195,8879.888349958315,182045.23114390048,0.0,108673.98202593304,59764.30342658993,10306.869957747273,9115.262678957099,0.0,47932.00852325891,3714.8967178826797,46239.490768841,0,0,2916.953032614412,-2916.1262466346657,-2916.126246634503,273639295.4398038,-304729.447601855,1855661339.063968,189.38739639151078,3794.377406053343,-0.9634182103024802,-0.6514456739419412,4.134633555810517,0.0,0.0,0.0,231590.85149580578,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,5.0,1,1,0,-3.3923618289884345,60,60,0.0018299999999995542,8879.888349958315,475418.54376561637,0.0,289671.46953739616,151012.489985342,23475.78848987528,20966.45316576871,0.0,122768.83070026478,4012.2660016121986,122544.63055852361,0,0,8790.900866161324,-8788.078299712557,-8788.07829234978,2231664464.237012,-2856866.7610383006,14201498774.503166,201.62756985118253,10512.200288808739,-0.996686489428693,-0.9820837211299082,4.171869336362763,0.0,0.0,0.0,629529.2032584061,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,6.0,0,0,1,-3.4338314238664096,60,59,0.0003589999999999982,8879.888349958315,1261623.7542634867,4308.860529404613,773515.4709995508,389974.64855380927,48755.120431101095,42820.6380261991,0.0,319097.04324729973,5597.634149922684,323436.74814174924,0,0,25837.73758179089,-25828.552646514392,-25828.552614756092,17831619596.165382,-23925544.630089626,108379400527.97595,214.1564544193327,29322.739255404507,-1.0302708989741234,-1.381303915202613,5.571548737114436,0.0,0.0,0.0,1711237.7937016261,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,6.5,0,0,0,-3.4545711381962017,60,38,0.00016800000000039006,8879.888349958315,2061869.0682850082,15368.068339462377,1257676.5283292297,624521.90557336,92042.97516754216,81548.78871981689,0.0,517063.384557054,6910.241761312147,523232.7323110332,0,0,44118.01131261007,-44101.642614976365,-44101.64252365063,50137337707.19368,-68520045.61301486,299454686179.72235,220.5633841368949,49088.12730284954,-1.0471753364037573,-1.606264443469806,6.355119576950303,0.0,0.0,0.0,2821354.1497018286,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,7.0,0,0,0,-3.475314125995657,60,8,7.900000000038432e-05,8879.888349958315,3374333.642038767,13782.090058044938,2079442.1889028559,997155.0944190338,137701.242007973,132144.82345319472,0.0,848774.3010381103,8817.006767206723,860331.2973421067,0,0,75437.71491572734,-75408.72531687844,-75408.72517441695,140582744429.43423,-195507541.54270574,828750993940.2632,227.16812457296567,82358.09751231091,-1.0641514048724856,-1.8481252592242254,7.189240520644637,0.0,0.0,0.0,4651626.598791478,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_1,8.0,0,0,0,-3.5168099086513815,60,0,0.0,8879.888349958315,9062840.364628335,1165.0303766430154,5459269.015985611,2678472.794315729,310063.6881809221,296539.25695147645,0.0,2287998.8761377567,12889.57578835569,2326783.194530946,0,0,217458.75656640565,-217369.1889942118,-217369.1887696426,1097905648924.0065,-1578548438.7757094,6321247890109.267,240.5736799690669,231938.89809356572,-1.0983093699380335,-2.3825477531947463,9.009319888523303,0.0,0.0,0.0,12644432.05627163,-0.09750004872632974,-0.09750004872632974,3.3416040100250632
flat_lapse_6,3.0,64,61,0,-3.3094620005546798,60,30,0.0020010000000008077,8879.888349958315,72139.07678757996,0.0,42756.5121522719,25719.005556415344,4722.695184073403,3813.332695824687,0.0,18940.340175754893,3333.3675549983354,17348.07629399019,0,0,928.6410175808562,-928.4186092700356,-928.4186092721161,75659603.04817986,-55468.85749018621,571113258.2001699,179.30470828288045,1431.3709188039193,-0.9304875811262054,-0.3946485657453987,4.29636694177292,0.0,0.0,0.0,418301.53216359613,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_6,4.0,5,5,0,-3.350905300675066,60,60,0.0013910000000003642,8879.888349958315,182045.23114390048,0.0,113244.41896364256,60923.54029433223,10356.194838253192,9003.636578132993,0.0,48130.05987018757,3815.4037075442607,46296.811967641326,0,0,2916.953032614412,-2916.1262466346657,-2916.12624663574,639105575.017712,-761177.123248262,4374280896.843665,189.22680438658483,3813.594053750201,-0.9634182103024802,-0.6514456739419412,4.134633555810517,0.0,0.0,0.0,1137061.45369688,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_6,5.0,0,0,0,-3.3923617616599393,60,60,0.00023499999999998522,8879.888349958315,475418.54376561637,0.0,300813.51353891054,153441.76718955053,23592.122395861727,21500.48807196181,0.0,123047.65899129468,4350.4726628406925,122700.44573160802,0,0,8790.900866161324,-8788.078299712557,-8788.078292351327,5212549430.434775,-6701489.709465008,33427550007.538895,200.96526019499584,10560.534756716577,-0.996686489428693,-0.9820837211299082,4.537975701501765,0.0,0.0,0.0,3090853.4874254554,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
