zone,axial_zone,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
service_region,beyond,28.863382504856226,28.863382504856226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
conformal_rise,beyond,103.67255756846316,103.67255756846316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
sheath_rise,beyond,589.0486225480862,589.0486225480862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
sheath_plateau,beyond,84.82300164692441,84.82300164692441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
outer_falls,beyond,848.2300164692442,848.2300164692442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
service_region,sheath_end,19.242255003237485,19.242255003237485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
conformal_rise,sheath_end,69.11503837897544,5301.67721000081,0.0,719.6860308841797,4572.373018072488,1386.177783049382,716.7703237081694,0.0,817.5512945386974,46.51290059500462,288.27590572393984,0,0,662.151883860459,-661.8839336016966,-661.8837910651621,363939.65298335406,-413.96883411305566,1440169.7711556104,5.467571102698194,548.3161340054193,-0.3788740710726792,-1.8182493516386935,5.101799568863128,0.0,0.0,0.0,1032.8528398825495
sheath_rise,sheath_end,392.6990816987241,89615.0927500537,0.0,62831.427577030474,26738.3538242494,127.18120231765846,2.9252211421302206,0.0,24390.045651883178,2500.938283992936,24723.187192662943,0,0,0.0,0.0,-7.792165136840234e-08,0.0,-1048595.1550852696,4866275062.868817,3.3145303926934617,801.5549624543037,-0.06121584796453126,-3.8239595156392766e-07,2.7796724368664285,0.0,0.0,0.0,2875105.7093292745
sheath_plateau,sheath_end,56.54866776461628,12904.573356007731,0.0,2923.959867478035,9974.958621753234,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10071.450109978068,181029.9339026071,1.874828045959071e-05,0.01738006812310652,-2.1526098464487977e-06,-0.0,2.7796724368664285,,0.0,,2875105.7093292745
outer_falls,sheath_end,565.4866776461628,15168.338172683354,521.985720700104,5541.095936421707,9044.093941172925,3905.177190645243,3759.9790640940973,0.0,7808.721178657632,184.3994899777798,8069.518571182459,0,0,1957.6468527641937,-1956.9442470152198,-1956.9442470152198,2668403139.9910502,-2580036.6632676795,10844876759.269829,53.97567154521863,1571.76120177266,-1.0641514048724856,-1.6978857542658445,6.9691505361657295,0.0,0.0,0.0,2875105.7093292745
