s,eulerian_negative,nec_content_coord,nec_content_proper
-8.0,0.0,0.0,0.0
-7.9,0.0,0.0,0.0
-7.8,-1.3936057940530574e-49,0.0,0.0
-7.7,-1.454198350720947e-39,0.0,0.0
-7.6,-1.8489354113457488e-35,0.0,0.0
-7.5,-8.242062924110444e-33,1.1678036315743158e-11,1.2505552149377763e-11
-7.4,-2.8934710649081897e-30,-5.8432814142861395e-12,-6.275513442233205e-12
-7.3,-7.792523030123745e-28,5.848477258041385e-12,7.071321306284517e-12
-7.2,-1.633541913713067e-25,-1.1121905618693973e-10,-1.030684870784171e-10
-7.1,2.2737367517653455e-14,-2.07009493990995e-09,-1.8730588635662573e-09
-7.0,-3.3960147520679025e-21,-2.5892438517211564e-08,-2.1711845469011887e-08
-6.9,-3.379467267159051e-19,-2.497234917644089e-07,-1.7560216445401291e-07
-6.8,2.2711021188547744e-14,-2.0843251828142784e-06,-9.774319221178997e-07
-6.7,6.659834464626133e-14,-1.2451827624870209e-05,1.56364378738861e-06
-6.6,-5.51750567515328e-14,-3.368382278891103e-05,0.00011752656225179852
-6.5,-2.9749729700852182e-12,0.0002829140179309429,0.0016785143242684264
-6.4,-9.006955743069821e-11,0.004392584199645444,0.015454363376750331
-6.3,-2.1562972445019907e-09,0.06416256785588799,0.14259741080604502
-6.2,-3.96214265431271e-08,1.070787473003269,1.5836293470585288
-6.1,-4.938001264486156e-07,4.961547332447072,7.47316951220916
-6.0,-3.4889752118904814e-06,12.568649117107821,20.69011237441756
-5.9,-1.6689981316319744e-05,22.991538851119003,40.78137706931806
-5.8,-7.060808173171273e-05,25.368043316658568,55.24581006499733
-5.7,-0.0002599450502081775,28.314981958119592,72.27755767192103
-5.6,-0.0007709473846608498,29.8130998162912,89.20029163795203
-5.5,-0.001818469302605816,30.648668100922634,106.1357395144906
-5.4,-0.003522991515174412,30.39820946971419,122.15149969231582
-5.3,-0.0058614300217820214,29.56655055703323,137.61223984415983
-5.2,-0.008709940143831424,29.744997851337747,154.16841816731124
-5.1,-0.011905267128607492,29.949241122422563,170.80516789730427
-5.0,-0.015284028953480609,30.032170808149758,187.34875048768225
-4.9,-0.018701336944509126,29.966936933550222,203.76133436927745
-4.8,-0.022033556456658318,29.820072959210467,220.14107801560414
-4.7,-0.025149586695114315,29.610837693813792,236.46254569014081
-4.6,-0.02785284827635319,29.369454239054434,252.71128725478522
-4.5,-0.029910292559887364,29.12772022273423,268.8390626256593
-4.4,-0.031247003730179773,29.022376074844853,284.75629364055584
-4.3,-0.03201721372776164,30.170766662644994,301.0311296548893
-4.2,-0.03243727411413799,31.00820361439709,315.18144480170963
-4.1,-0.03266128450257691,33.54989718420543,328.5992030413621
-4.0,-0.03277972752922071,33.007887459170185,336.3194648923473
-3.9,-0.032838138593712575,34.76633085011911,344.0274768237134
-3.8,-0.032865712827678244,36.38063065990041,349.8190490779945
-3.7,-0.03287402885007858,36.744770818690576,352.96467262877803
-3.6,-0.03286275270029547,35.7024272923822,353.59017469010365
-3.5,-0.03282514913753179,34.167223772872866,352.86161784157036
-3.4,-0.03275046231716055,33.78229883277109,352.7830432852069
-3.3,-0.03262372937502864,34.41490753833504,353.49749758333184
-3.2,-0.03242344818108848,34.71750525576089,353.76271492261304
-3.1,-0.03211819380765919,35.10807863858493,354.0500092116567
-3.0,-0.03166707169841131,35.353834371422444,354.1638895067609
-2.9,-0.03102271360986507,35.51966739053439,354.1886057059446
-2.8,-0.03013657895083449,35.6863056951639,354.2800166284844
-2.7,-0.028967096570441282,35.61262292064574,354.1217956446519
-2.6,-0.027489256603070333,35.049960737830055,353.4850924752875
-2.5,-0.025702918112795375,33.99119363401544,352.2986493433564
-2.4,-0.023636950980177485,33.26393188005394,351.3436363247067
-2.3,-0.021347602062321,32.947696728409134,350.6941893772105
-2.2,-0.01891171612664391,32.296157890076444,349.60807496554764
-2.1,-0.016417489576640354,32.117394723704415,348.9221169344831
-2.0,-0.013955582631542682,33.26526630148892,349.54933577840114
-1.9,-0.011611727619165466,34.2777645380593,350.09663523986376
-1.8,-0.009460390905446035,34.63566471234166,350.0981890325568
-1.7,-0.007558691690520593,34.19397791810198,349.3192487487171
-1.6,-0.005940969274548814,33.146805571386686,347.9350086958095
-1.5,-0.0046161644345642395,31.74971330899356,346.20046205694626
-1.4,-0.0035700589807554795,30.614850299466713,344.75209229791085
-1.3,-0.004231064797959241,30.84273877904912,344.6892947366385
