zone,axial_zone,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper
conformal_rise,beyond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conformal_rise,sheath_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conformal_rise,support,0.0,0.0,0.0,-5199.940952961906,5513.545785400349,0.0,-1928.1759533073343,0.0,0.0,0.0,0.0,0,0.0,2.0463630789890886e-13,-2.0918378140777353e-13,2.0132023109908917e-07,466949317.12508786,-539134.1107646831,1847506516.301499,1.739205505117219,-1.5299151133135662
conformal_rise,track,0.0,0.0,0.0,3564.9359123060053,-1010.3574946102817,0.1137818418853658,1575.4638488275255,0.0,0.0,0.0,0.0,0,0.0,1.1527845344971866e-12,8.64019966684282e-14,1.6558656625420555e-07,94255831.26944298,-108733.44354893379,372927603.80858266,0.6627317004525981,-3.5853038443968197
outer_falls,beyond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outer_falls,sheath_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outer_falls,support,0.0,0.0,0.0,-936.6609036961759,1715.226287970963,0.0,61.770158489752475,0.0,7.066361012749841,-168.30635080543925,0.1738609477391947,0,0.0,1.2732925824820997e-12,1.0004441719502212e-13,-4.000752296633437e-06,4383821824492.1025,-4269536853.1219482,18761721289363.96,89.4578214846973,1074.343118581001
outer_falls,track,0.0,0.0,0.0,1688.2369306845562,4400.25557513332,0.033617550825038055,62.02472226150611,0.0,7.677578701645034,-376.9094869565838,5.398674480893497,0,0.0,-1.7826096154749395e-12,8.185452315956355e-14,-7.12134351488203e-12,880473928297.5914,-860208760.5679129,3703138657996.191,105.1587478240916,963.770345208406
service_region,beyond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_region,sheath_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_region,support,0.0,0.0,0.0,-8.94764857650543,8.94764857650543,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-23.102291443934813,3523.161894804988,10.809687790748217,10.809687790748217
service_region,track,0.0,0.0,0.0,-36.75270705618359,46.6624683828509,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.28853070232848,741.2210069195876,13.551646064889562,13.551646064889562
sheath_plateau,beyond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheath_plateau,sheath_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheath_plateau,support,0.0,0.0,0.0,-15813.351754586338,44029.332336299216,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-207091.62275960774,30857412.312683698,2.6397902764956246e-05,0.028948815485021307
sheath_plateau,track,0.0,0.0,0.0,84958.0074658168,91159.32187938006,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,186690.47569781257,6492390.303414175,3.3068285948233864e-05,0.03626377886322712
sheath_rise,beyond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheath_rise,sheath_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheath_rise,support,0.0,0.0,0.0,-2351.5813383904683,5168.87804162887,1173041.6479734567,1172345.892692852,0.0,1478.84680661706,7114.02159018449,3278.8911386805653,0,0.0,0.0,-0.07098157689940653,-0.1766486646644448,-6466.071664120749,-1752390779.2092175,7882690765612.377,-0.00021962641880214352,-0.24084961332484003
sheath_rise,track,0.0,0.0,0.0,2857.467122103976,16218.256829319856,1593557.903734266,1592333.5778843593,0.0,9178.494854112407,13965.153603761373,6908.403899498994,0,0.0,0.0,-0.14210851196173444,-0.35371310992737864,-4863.181721820062,-353245015.96931136,1591156537374.2603,-0.0002540299590817186,-0.27857767636202885
