gas_multiplier,amplitude,wave_number,surface_pressure,energy_change,quadratic_coefficient,predicted_coefficient,absolute_error
0.0,0.01,1.8367641171759996,-0.0005557214504031276,4.686800558505816e-08,0.0004686800558505816,0.0004687097008157867,2.9644965205072663e-08
0.0,0.005,1.8367641171759996,-0.0005557214504031276,1.1717557219830048e-08,0.0004687022887932019,0.0004687097008157867,7.4120225847804436e-09
0.0,0.0025,1.8367641171759996,-0.0005557214504031276,2.929424048508136e-09,0.0004687078477613017,0.0004687097008157867,1.8530544849764373e-09
0.0,0.00125,1.8367641171759996,-0.0005557214504031276,7.323581836704889e-10,0.00046870923754911285,0.0004687097008157867,4.632666738288785e-10
0.5,0.01,1.8367641171759996,-5.46018010262096e-05,4.607637508915041e-09,4.6076375089150404e-05,4.605255709390516e-05,2.3817995245245516e-08
0.5,0.005,1.8367641171759996,-5.46018010262096e-05,1.1514628125563586e-09,4.6058512502254345e-05,4.605255709390516e-05,5.955408349186421e-09
0.5,0.0025,1.8367641171759996,-5.46018010262096e-05,2.8783778751781006e-10,4.6054046002849604e-05,4.605255709390516e-05,1.4889089444458702e-09
0.5,0.00125,1.8367641171759996,-5.46018010262096e-05,7.195770206983607e-11,4.6052929324695085e-05,4.605255709390516e-05,3.722307899262892e-10
1.0,0.01,1.8367641171759996,0.0004465178483507084,-3.765273056722808e-08,-0.00037652730567228076,-0.0003766045866279764,7.728095569563146e-08
1.0,0.005,1.8367641171759996,0.0004465178483507084,-9.41463159471733e-09,-0.0003765852637886932,-0.0003766045866279764,1.932283928322105e-08
1.0,0.0025,1.8367641171759996,0.0004465178483507084,-2.353748473472516e-09,-0.0003765997557556025,-0.0003766045866279764,4.830872373895283e-09
1.0,0.00125,1.8367641171759996,0.0004465178483507084,-5.884427795308167e-10,-0.00037660337889972267,-0.0003766045866279764,1.2077282537221144e-09
2.0,0.01,1.8367641171759996,0.0014487571471045444,-1.2217346671951432e-07,-0.0012217346671951432,-0.0012219188740717397,1.84206876596444e-07
2.0,0.005,1.8367641171759996,0.0014487571471045444,-3.0546820409264705e-08,-0.0012218728163705882,-0.0012219188740717397,4.605770115143938e-08
2.0,0.0025,1.8367641171759996,0.0014487571471045444,-7.636920995453167e-09,-0.0012219073592725067,-0.0012219188740717397,1.1514799233038053e-08
2.0,0.00125,1.8367641171759996,0.0014487571471045444,-1.909243742732122e-09,-0.0012219159953485582,-0.0012219188740717397,2.8787231814899478e-09
