scaled_coordinate,direct_energy,primary_energy,absolute_error,relative_error,adaptive_error_estimate
0.0,-26.582457217077195,-26.5824572170769,2.948752353404416e-13,1.1102230246251565e-14,1.435406807146601e-10
0.5,1.295591335977756,1.295591335977739,1.709743457922741e-14,1.3211653993039363e-14,1.0863958965567542e-11
1.0,14.399960705131484,14.399960705131335,1.4921397450962104e-13,1.0325074129013956e-14,1.598716792853448e-14
2.0,-0.45689292506173723,-0.45689292506176227,2.503552920529728e-14,5.484501741648273e-14,2.5003606401678093e-11
4.0,-0.7201343953233433,-0.7201343953233023,4.107825191113079e-14,5.706546346573305e-14,2.7542578272314865e-12
8.0,-0.07197825510502154,-0.07197825510505357,3.2029934260435766e-14,4.4497738826976274e-13,3.3247730718733374e-13
16.0,-0.008410183241159103,-0.008410183241201213,4.211041237933699e-14,5.007105841059456e-12,3.5479760464370446e-11
24.0,-0.002464375888895622,-0.0024643758888910797,4.542373421845269e-15,1.843192265482685e-12,5.4253797413551314e-11
40.0,-0.000529350968358112,-0.0005293509683880485,2.9936556705800754e-14,5.6553428606775924e-11,8.47496119584316e-11
