coordinate_half_extent,kappa_over_r0_squared,central_charge,lapse_fractional_change,minimum_optical_length,required,endpoint_term,original_supply,optimistic_supply_upper_bound,upper_bound_over_required,necessary_gate_excludes,identity_scaled_error,quadrature_relative_change
7.0,1.538541027887107e-07,0.9999999999999997,0.0,18.537849325142957,26.457648077468466,0.0,5.6736205689953716e-06,5.6736205689953716e-06,2.1444160691770142e-07,True,1.2085134330754882e-15,3.9078060678263897e-10
7.0,1.538541027887107e-07,0.9999999999999997,0.1,18.537849325142957,26.457648077468466,0.0,5.6736205689953716e-06,8.47540850430173e-06,3.203386967536034e-07,True,1.2085134330754882e-15,3.9078060678263897e-10
7.0,1.538541027887107e-07,0.9999999999999997,0.5,18.537849325142957,26.457648077468466,0.0,5.6736205689953716e-06,5.1062585120958345e-05,1.929974462259313e-06,True,1.2085134330754882e-15,3.9078060678263897e-10
7.0,1.538541027887107e-07,0.9999999999999997,0.9,18.537849325142957,26.457648077468466,0.0,5.6736205689953716e-06,0.00204817702540733,7.741342009729025e-05,True,1.2085134330754882e-15,3.9078060678263897e-10
7.0,1e-06,6.499664174528445,0.0,18.537849325142957,10.378039078171293,0.0,1.4463997953539574e-05,1.4463997953539574e-05,1.3937120340934643e-06,True,8.558248942888261e-15,3.447450955672135e-10
7.0,1e-06,6.499664174528445,0.1,18.537849325142957,10.378039078171293,0.0,1.4463997953539574e-05,2.160671299232455e-05,2.081964890435916e-06,True,8.558248942888261e-15,3.447450955672135e-10
7.0,1e-06,6.499664174528445,0.5,18.537849325142957,10.378039078171293,0.0,1.4463997953539574e-05,0.00013017598158185617,1.254340830684118e-05,True,8.558248942888261e-15,3.447450955672135e-10
7.0,1e-06,6.499664174528445,0.9,18.537849325142957,10.378039078171293,0.0,1.4463997953539574e-05,0.005221503261227788,0.0005031300443077408,True,8.558248942888261e-15,3.447450955672135e-10
7.0,1e-05,64.99664174528445,0.0,18.537849325142957,3.282592732190922,0.0,4.571972154074416e-05,4.571972154074416e-05,1.392792992331679e-05,True,1.1499319567450944e-14,2.6554878118498e-10
7.0,1e-05,64.99664174528445,0.1,18.537849325142957,3.282592732190922,0.0,4.571972154074416e-05,6.829736180777832e-05,2.080592000890533e-05,True,1.1499319567450944e-14,2.6554878118498e-10
7.0,1e-05,64.99664174528445,0.5,18.537849325142957,3.282592732190922,0.0,4.571972154074416e-05,0.0004114774938666974,0.00012535136930985112,True,1.1499319567450944e-14,2.6554878118498e-10
7.0,1e-05,64.99664174528445,0.9,18.537849325142957,3.282592732190922,0.0,4.571972154074416e-05,0.016504819476208646,0.0050279827023173625,True,1.1499319567450944e-14,2.6554878118498e-10
7.0,0.0001,649.9664174528446,0.0,18.537849325142957,1.040573173694661,0.0,0.00014397342776315396,0.00014397342776315396,0.00013835973423374122,True,5.93215371389844e-14,5.233247848462053e-11
7.0,0.0001,649.9664174528446,0.1,18.537849325142957,1.040573173694661,0.0,0.00014397342776315396,0.00021507141678199545,0.00020668552891707026,True,5.93215371389844e-14,5.233247848462053e-11
7.0,0.0001,649.9664174528446,0.5,18.537849325142957,1.040573173694661,0.0,0.00014397342776315396,0.0012957608498683855,0.0012452376081036709,True,5.93215371389844e-14,5.233247848462053e-11
7.0,0.0001,649.9664174528446,0.9,18.537849325142957,1.040573173694661,0.0,0.00014397342776315396,0.0519744074224986,0.0499478640583806,True,5.93215371389844e-14,5.233247848462053e-11
7.0,0.001,6499.664174528444,0.0,18.537849325142957,0.33976195989408187,0.0,0.0004395065443572128,0.0004395065443572128,0.0012935719598928187,True,3.4588070775553525e-13,7.688452690392053e-12
7.0,0.001,6499.664174528444,0.1,18.537849325142957,0.33976195989408187,0.0,0.0004395065443572128,0.0006565468131755895,0.0019323729277411245,True,3.4588070775553525e-13,7.688452690392053e-12
7.0,0.001,6499.664174528444,0.5,18.537849325142957,0.33976195989408187,0.0,0.0004395065443572128,0.003955558899214915,0.011642147639035368,True,3.4588070775553525e-13,7.688452690392053e-12
