suite,case,s,l,required_support_rest_divergence,acceleration,twice_abs_angular_gradient,allowed_force_per_density_low,allowed_force_per_density_high,exact_step,exact_acceleration,exact_twice_abs_angular_gradient,exact_allowed_force_per_density_low,exact_allowed_force_per_density_high
relaxed,segmented_flux_floor,1.285,-1.7375,-0.21843483615790987,0.3707140407892837,0.060493027693040255,0.31022101309624345,0.431207068482324,0.0001,0.3705149820943634,0.06063316169529764,0.30988182039906575,0.43114814378966104
relaxed,segmented_flux_floor,1.285,-1.7375,-0.21843483615790987,0.3707140407892837,0.060493027693040255,0.31022101309624345,0.431207068482324,5e-05,0.3705149835656589,0.06063316331968759,0.3098818202459713,0.4311481468853465
relaxed,segmented_n32,1.285,-1.725,-0.10891057945535912,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,0.0001,0.3566718606839394,0.06113443316476823,0.29553742751917117,0.41780629384870765
relaxed,segmented_n32,1.285,-1.725,-0.10891057945535912,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,5e-05,0.35667186214517704,0.061134436180214656,0.2955374259649624,0.4178062983253917
relaxed,segmented_n64,1.285,-1.7375,-0.21843483615790893,0.3707140407892837,0.060493027693040255,0.31022101309624345,0.431207068482324,0.0001,0.3705149820943634,0.06063316169529764,0.30988182039906575,0.43114814378966104
relaxed,segmented_n64,1.285,-1.7375,-0.21843483615790893,0.3707140407892837,0.060493027693040255,0.31022101309624345,0.431207068482324,5e-05,0.3705149835656589,0.06063316331968759,0.3098818202459713,0.4311481468853465
relaxed,segmented_reset,1.77,-1.3375000000000001,-1.6588152557618587,0.18057824617181706,0.17820054617499337,0.00237769999682369,0.3587787923468104,0.0001,0.1805855975433154,0.1781873226159812,0.002398274927334215,0.3587729201592966
relaxed,segmented_reset,1.77,-1.3375000000000001,-1.6588152557618587,0.18057824617181706,0.17820054617499337,0.00237769999682369,0.3587787923468104,5e-05,0.18058559880796732,0.17818732273520205,0.0023982760727652708,0.35877292154316937
finite,smooth_fast_discharge,1.285,-1.7125000000000001,-0.11305806717384946,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,0.0001,0.34324357037596337,0.061235423816800014,0.28200814655916334,0.4044789941927634
finite,smooth_fast_discharge,1.285,-1.7125000000000001,-0.11305806717384946,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,5e-05,0.34324357181008924,0.06123542686655038,0.2820081449435389,0.4044789986766396
