suite,case,success,cells,duration,initial_slice_energy,maximum_slice_energy,final_slice_energy,maximum_supplied_null,maximum_abs_velocity,minimum_heat,maximum_heat,maximum_collared_normal_force_density,maximum_abs_integrated_collar_force,maximum_effective_discharge_conductivity,hoop_force_cone_failures,secondary_energy_optimization_used,normalized_equality_residual,raw_equality_residual,primary_dual_gap,inequality_violation,points,energy_maximum_absolute_residual,energy_sum_relative_term_residual,force_maximum_absolute_residual,force_sum_relative_term_residual,message
finite,smooth_n64,True,64.0,1.285,431.29518129245037,431.29518129245037,79.54347577936916,0.10512741842423173,0.20214036673420838,0.24999999999999956,13.296302149578027,0.1209787655905242,3.8906718485576266,1.0000000000000004,1096.0,True,6.623691921282728e-09,2.649476768513101e-07,3.635980405647388e-15,2.042810365310288e-14,238.0,0.0010032247373700576,0.01176372067562719,0.0003384034358432128,0.0029451515965427167,
finite,smooth_reset,False,,,,,,,,,,,,,,,,,,,,,,,,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)
finite,smooth_space_refined,False,,,,,,,,,,,,,,,,,,,,,,,,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)
finite,smooth_time_refined,False,,,,,,,,,,,,,,,,,,,,,,,,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)
interior,continuous_recheck,True,64.0,1.285,41617.880747772644,42221.03866824006,2348.797669367392,5.287097665920822,0.20214036673420838,0.24999999999999956,60.217888151165305,0.0,,532.6848843032489,0.0,False,3.755290223922403e-08,1.5021160895689664e-06,4.796163466380676e-14,1.4210854715202004e-14,289.0,0.002571015279638017,0.0035869374629769932,0.001100612407071403,0.00048365055975369567,
interior,smooth_fast_discharge,True,64.0,1.285,332.48739827697585,332.48739827697585,71.22017911730744,0.08563392317760417,0.20214036673420838,0.24999999999999956,13.257698779024787,0.11305806721534675,3.6359425327244246,10.000000000000002,1096.0,True,6.511266192833678e-09,1.786279160316374e-06,3.587408148320037e-14,9.997846994735937e-11,238.0,0.001003695098504544,0.011791399539527254,0.00033839467282661506,0.002944834624173621,
interior,smooth_joint_refined,True,128.0,1.285,689.9882626845356,694.2372020678105,108.67068162326623,0.11015197781923845,0.20214036673420838,0.25,20.77436930249471,0.1437908389886953,4.073469736557167,1.0000000000003488,4128.0,False,9.213811494232698e-09,7.371049195386185e-07,8.756884106730922e-15,2.7977620220553945e-14,238.0,0.0005235137204280991,0.004449658012394689,9.867930106851763e-05,0.0008497401995615205,
interior,smooth_n32,True,32.0,1.285,343.22183510271293,343.22183510271293,69.99956474635127,0.09649487624147626,0.20214036673420838,0.25,10.706840409453509,0.06397967876075758,3.640544147644876,1.0,272.0,True,5.5098700343537564e-09,1.1019740068707504e-07,2.7755575615628914e-17,1.1102230246251565e-16,238.0,0.0018243435594957446,0.02595802693364372,0.0009310329070697369,0.007943061736930155,
interior,smooth_n64,True,64.0,1.285,431.29518083207006,431.29518083207006,79.54347573771508,0.10512741842438253,0.20214036673420838,0.24999999999999956,13.296302150343188,0.12097876559070775,3.890671848563521,1.0000000000000004,1096.0,True,6.623691914343834e-09,2.649476765737543e-07,1.249000902703301e-16,9.721390359374027e-15,238.0,0.0010032247373678888,0.011763720684899143,0.00033840343590087326,0.002945151596687379,
interior,smooth_reset,True,64.0,3.0,7603.054902294538,7603.054902294538,141.01130164147773,2.0757165690342325,0.20214036673420838,0.24999999999999956,21.284343618146842,5.002216665604171,28.53728175226077,1.0000000000003992,864.0,False,1.3012497976274545e-08,5.204999190509836e-07,2.930988785010413e-14,1.723066134218243e-13,238.0,0.020897166853722393,0.007073915844107118,0.005817480338491499,0.01072757071233693,
interior,smooth_space_refined,True,128.0,1.285,660.500754265154,663.5056641142991,108.32009140945947,0.10896126347456746,0.20214036673420838,0.25,21.22968000746331,0.14268744093884492,4.042211426952374,1.0000000000104865,2080.0,False,8.720089054610696e-09,6.976071243688581e-07,4.274358644806853e-15,1.531968996104638e-13,238.0,0.0010289500903820073,0.007959070709288259,9.920492938754549e-05,0.0008604205426114456,
interior,smooth_time_refined,True,64.0,1.285,663.9598739202264,668.7386354915465,94.13185012934248,0.10636274539712867,0.20214036673420838,0.24999999999999956,13.690035606221482,0.12191710877067029,3.9208489244887583,1.0000000000000804,2064.0,False,6.638830199334913e-09,2.655532079733975e-07,1.2739809207573671e-14,1.2545520178264269e-14,238.0,0.0006104293417090719,0.007701162417150847,0.00033877854489363556,0.002934170552623385,
