suite,case,success,cells,duration,initial_slice_energy,maximum_slice_energy,final_slice_energy,maximum_supplied_null,maximum_abs_velocity,minimum_heat,maximum_heat,maximum_collared_normal_force_density,maximum_abs_integrated_collar_force,maximum_effective_discharge_conductivity,hoop_force_cone_failures,secondary_energy_optimization_used,normalized_equality_residual,raw_equality_residual,primary_dual_gap,inequality_violation,points,energy_maximum_absolute_residual,energy_sum_relative_term_residual,force_maximum_absolute_residual,force_sum_relative_term_residual,message
relaxed,continuous_n32,True,32.0,1.285,41391.10911223188,41996.191052326925,2337.762583657221,5.261935728809794,0.20214036673420838,0.25,59.88980529890964,0.0,,275.2567748147402,0.0,,1.2379298678158457e-08,2.475859735631689e-07,2.113864638886298e-13,7.105427357601002e-15,289.0,0.005419270133664219,0.0079442226364432,0.003815963008825335,0.001765375864415999,
relaxed,continuous_n64,False,,,,,,,,,,,,,,,,,,,,,,,,secondary energy allocation: (HiGHS Status 0: Not Set)
relaxed,segmented_flux_floor,True,64.0,1.285,234.05304096710714,234.05304096710714,60.44717300969616,0.08518963068269454,0.20214036673420838,0.24999999999999956,10.792926218882958,0.21843483615790987,3.3463206302698114,204.4889912084035,842.0,,6.510052184772932e-09,2.604020873909182e-07,1.0269562977782698e-15,1.1102230246251565e-16,238.0,0.0010032247367114779,0.011982698344902261,0.0003383604022623302,0.0029573694113425733,
relaxed,segmented_n128,False,,,,,,,,,,,,,,,,,,,,,,,,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)
relaxed,segmented_n32,True,32.0,1.285,249.5510633033731,249.5510633033731,62.09384800182639,0.08475271166065713,0.20214036673420838,0.25,10.699868139565151,0.10891057945535912,3.4761443426105565,174.58757625600825,148.0,,5.469928591839244e-09,1.0939857183678478e-07,5.551115123125783e-17,5.551115123125783e-17,238.0,0.001824343559159428,0.027779308551671537,0.0009304030452177107,0.007945018913501222,
relaxed,segmented_n64,True,64.0,1.285,234.05222556612537,234.05222556612537,60.44712983635317,0.08518959553857011,0.20214036673420838,0.24999999999999956,10.79292621888304,0.21843483615790893,3.346320630269801,342.1260265021739,842.0,,6.510052181303485e-09,2.604020872521403e-07,8.326672684688674e-16,2.220446049250313e-16,238.0,0.001003224736813225,0.011982698345370893,0.0003383604022639327,0.0029573694113777926,
relaxed,segmented_reset,True,64.0,3.0,2303.8993129146306,2307.673211430532,89.8453036819253,1.7430034831550836,0.20214036673420838,0.24999999999999956,17.94593271533852,2.43106964351409,8.99867083851714,608.6215370442385,1161.0,,6.024543182656103e-09,2.4098172730624497e-07,3.04867242562068e-12,4.744815651491763e-14,238.0,0.02085120828950024,0.015997610450462694,0.005818773162533625,0.0114690767811808,
relaxed,segmented_time_refined,False,,,,,,,,,,,,,,,,,,,,,,,,secondary energy allocation: (HiGHS Status 0: Not Set)
finite,continuous_recheck,True,64.0,1.285,41617.88074778253,42221.03866825007,2348.7976693677397,5.287097665921888,0.20214036673420838,0.24999999999999956,60.217888151178165,0.0,,532.6848843032553,0.0,False,3.755290223922403e-08,1.5021160895689664e-06,1.226574397605873e-12,5.684341886080802e-14,289.0,0.0025710152741280773,0.003586937460504143,0.0011006124070229834,0.000483650559708576,
finite,smooth_fast_discharge,True,64.0,1.285,332.4874929752022,332.4874929752022,71.22018359283226,0.08563392312929927,0.20214036673420838,0.24999999999999956,13.257700566401585,0.11305806717384946,3.6359425313898663,10.0,1096.0,True,6.511266192833678e-09,1.7862119941298282e-06,2.067790383364354e-15,1.003770400131998e-10,238.0,0.0010036950981313257,0.011791399548915985,0.0003383946728026234,0.002944834620270823,
finite,smooth_n32,True,32.0,1.285,343.22183510271293,343.22183510271293,69.99956474635127,0.09649487624147626,0.20214036673420838,0.25,10.706840409453509,0.06397967876075758,3.640544147644876,1.0,272.0,True,5.5098700343537564e-09,1.1019740068707504e-07,6.38378239159465e-16,1.1102230246251565e-16,238.0,0.0018243435594957446,0.02595802693364372,0.0009310329070697369,0.007943061736930155,
