case,s,center,l,pressure,pressure_x,required_rest_force,required_rest_heat
smooth_joint_refined,0.0,-1.7,-1.75,0.0516900711053912,-1.1551891498158957,-0.0,-0.0036898583668433732
smooth_joint_refined,0.0,-1.7,-1.749609375,0.05124082693031934,-1.1449564769658083,-3.05117107183839e-08,-0.0036518237094080343
smooth_joint_refined,0.0,-1.7,-1.74921875,0.050795560500235495,-1.1348229237662055,-2.4077211016611855e-07,-0.0036141859759988037
smooth_joint_refined,0.0,-1.7,-1.748828125,0.05035423183728251,-1.1247949067926024,-8.015114423617155e-07,-0.0035769406875700844
smooth_joint_refined,0.0,-1.7,-1.7484375,0.04991679853632451,-1.1148784386780681,-1.873853716524337e-06,-0.0035400832160740183
smooth_joint_refined,0.0,-1.7,-1.748046875,0.04948321592071543,-1.1050791384211043,-3.6095684952540183e-06,-0.003503608796815745
smooth_joint_refined,0.0,-1.7,-1.74765625,0.04905343719407272,-1.0954022415518414,-6.15131889778021e-06,-0.003467512540411752
smooth_joint_refined,0.0,-1.7,-1.747265625,0.0486274135881047,-1.08585261015764,-9.632905854111938e-06,-0.0034317894443585822
smooth_joint_refined,0.0,-1.7,-1.746875,0.048205094506549084,-1.0764347427693706,-1.4179508645650262e-05,-0.003396434404219695
smooth_joint_refined,0.0,-1.7,-1.746484375,0.04778642766527908,-1.067152784109629,-1.9907921767523286e-05,-0.0033614422244382792
smooth_joint_refined,0.0,-1.7,-1.74609375,0.04737135922862475,-1.0580105347039581,-2.6926788147730456e-05,-0.003326807628782775
smooth_joint_refined,0.0,-1.7,-1.745703125,0.0469598339419702,-1.0490114603564054,-3.5336828757783776e-05,-0.003292525270433201
smooth_joint_refined,0.0,-1.7,-1.7453125,0.04655179526067324,-1.040158701490467,-4.523106864942039e-05,-0.003258589741714853
smooth_joint_refined,0.0,-1.7,-1.744921875,0.0461471854753625,-1.0314550823566448,-5.669505945162031e-05,-0.003224995583486782
smooth_joint_refined,0.0,-1.7,-1.74453125,0.04574594583366586,-1.0229031201078014,-6.980709836184036e-05,-0.003191737294192181
smooth_joint_refined,0.0,-1.7,-1.744140625,0.04534801665841626,-1.0145050337433454,-8.463844366535631e-05,-0.003158809338577171
smooth_joint_refined,0.0,-1.7,-1.74375,0.04495333746239223,-1.0062627529235277,-0.00010125352681599312,-0.0031262061560853507
smooth_joint_refined,0.0,-1.7,-1.743359375,0.044561847059638664,-0.9981779266548471,-0.00011971016111164076,-0.00309392216893434
smooth_joint_refined,0.0,-1.7,-1.74296875,0.044173483673419514,-0.9902519318477319,-0.00014005974699748066,-0.0030619517898811833
smooth_joint_refined,0.0,-1.7,-1.742578125,0.04378818504085486,-0.9824858817476431,-0.00016234747402951887,-0.0030302894296832658
smooth_joint_refined,0.0,-1.7,-1.7421875,0.043405888514285826,-0.9748806342405875,-0.00018661251953117953,-0.002998929504260773
smooth_joint_refined,0.0,-1.7,-1.741796875,0.04302653115942264,-0.9674368000342481,-0.0002128882439748482,-0.002967866441567563
smooth_joint_refined,0.0,-1.7,-1.74140625,0.0426500498503191,-0.9601547507157125,-0.00024120238312064012,-0.0029370946881762754
